genea1	chr	chrom	DE	a1expmean	a2expmean	dNa1	dNa1se	dSa1	dSa1se	dndsa1	genea2	dNa2	dNa2se	dSa2	dSa2se	dndsa2	dndiff	dsdiff	dndsdiff
MvSl-1064-A1-R4_A1g00039	bPAR	bPAR	NON	8.25173	7.95095	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00039	0	0.00006	0.00002	0	0	0	-0.00001	0
MvSl-1064-A1-R4_A1g00040	bPAR	bPAR	NON	1.1263	1.27685	0.00002	0	0.01873	0	0.0010678	MvSl-1064-A2-R4_A2g00040	0.00002	0	0.01925	0	0.00103896	0	-0.00052	0.00002884
MvSl-1064-A1-R4_A1g00046	bPAR	bPAR	NON	3.98661	3.8159	0.70356	0.09123	2.57358	0.81752	0.273378	MvSl-1064-A2-R4_A2g00046	0.70356	0.09121	2.57358	0.81722	0.273378	0	0	0
MvSl-1064-A1-R4_A1g00047	bPAR	bPAR	NON	5.03772	4.94039	0.00763	0.00536	0.04008	0.0275	0.190369	MvSl-1064-A2-R4_A2g00047	0.00763	0.00536	0.04008	0.02749	0.190369	0	0	0
MvSl-1064-A1-R4_A1g00048	bPAR	bPAR	NON	4.8138	4.8064	0.005	0.00224	0.00362	0.00256	1.38118	MvSl-1064-A2-R4_A2g00048	0.005	0.00223	0.00362	0.00253	1.38118	0	0	0
MvSl-1064-A1-R4_A1g00049	bPAR	bPAR	NON	5.34395	5.32019	0.0078	0.00228	0.01226	0.00361	0.63621	MvSl-1064-A2-R4_A2g00049	0.0078	0.0023	0.01226	0.00364	0.63621	0	0	0
MvSl-1064-A1-R4_A1g00050	bPAR	bPAR	NON	5.25409	5.64667	0.00358	0.0016	0.00125	0.00124	2.86377	MvSl-1064-A2-R4_A2g00050	0.00358	0.00154	0.00125	0.00096	2.86377	0	0	0
MvSl-1064-A1-R4_A1g00051	bPAR	bPAR	NON	7.06914	6.55226	0.02342	0.01018	0.0463	0.02548	0.50583	MvSl-1064-A2-R4_A2g00051	0.02342	0.01082	0.0463	0.0282	0.50583	0	0	0
MvSl-1064-A1-R4_A1g00053	bPAR	bPAR	NON	6.61109	6.51858	0.0122	0.0055	0.01775	0.01038	0.68732	MvSl-1064-A2-R4_A2g00053	0.0122	0.00549	0.01775	0.01035	0.68732	0	0	0
MvSl-1064-A1-R4_A1g00055	bPAR	bPAR	NON	5.14162	5.60932	0.00215	0.00215	0.0041	0.0041	0.524377	MvSl-1064-A2-R4_A2g00055	0.00215	0.00215	0.0041	0.00411	0.524377	0	0	0
MvSl-1064-A1-R4_A1g00056	bPAR	bPAR	NON	8.49956	8.39114	0.00425	0.00269	0.02314	0.01251	0.183664	MvSl-1064-A2-R4_A2g00056	0.00425	0.00314	0.02314	0.01392	0.183664	0	0	0
MvSl-1064-A1-R4_A1g00057	bPAR	bPAR	NON	4.56746	4.63615	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00057	0	0	0.00002	0	0	0	-0.00001	0
MvSl-1064-A1-R4_A1g00061	bPAR	bPAR	NON	7.15309	6.99037	0	0.00269	0.00001	0.00507	0	MvSl-1064-A2-R4_A2g00061	0	0.00006	0.00002	0.01899	0	0	-0.00001	0
MvSl-1064-A1-R4_A1g00062	bPAR	bPAR	NON	6.00055	6.14781	0.00001	0	0.00679	0.00112	0.00147273	MvSl-1064-A2-R4_A2g00062	0.00001	0	0.00679	0.001	0.00147273	0	0	0
MvSl-1064-A1-R4_A1g00063	bPAR	bPAR	NON	5.0366	4.97508	0.00001	0	0.00562	0	0.00177933	MvSl-1064-A2-R4_A2g00063	0.00001	0	0.00562	0	0.00177933	0	0	0
MvSl-1064-A1-R4_A1g00064	bPAR	bPAR	NON	8.1332	8.30718	0.00481	0.00481	0.00005	0.00032	96.008	MvSl-1064-A2-R4_A2g00064	0.00481	0.00481	0.00005	0.00032	96.008	0	0	0
MvSl-1064-A1-R4_A1g00065	bPAR	bPAR	NON	7.36661	7.11163	0.0046	0.00328	0.01116	0.00798	0.412183	MvSl-1064-A2-R4_A2g00065	0.00498	0.00353	0.00005	0	99.4012	-0.00038	0.01111	-98.989017
MvSl-1064-A1-R4_A1g00068	bPAR	bPAR	NON	0.889458	1.17041	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00068	0	0.00005	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g00069	bPAR	bPAR	NON	5.81618	6.08155	0	0	0.00233	0.00031	0	MvSl-1064-A2-R4_A2g00069	0	0	0.00233	0	0	0	0	0
MvSl-1064-A1-R4_A1g00070	bPAR	bPAR	NON	7.39862	7.05896	0.00135	0.00096	0.00001	0.00003	133.663	MvSl-1064-A2-R4_A2g00070	0.00135	0.00096	0.00001	0	133.663	0	0	0
MvSl-1064-A1-R4_A1g00071	bPAR	bPAR	NON	4.23528	3.71799	0	0	0.00346	0	0	MvSl-1064-A2-R4_A2g00071	0	0	0.00346	0	0	0	0	0
MvSl-1064-A1-R4_A1g00072	bPAR	bPAR	NON	7.81151	7.72702	0.00117	0.00117	0.00001	0.00006	115.842	MvSl-1064-A2-R4_A2g00072	0.00117	0.00117	0.00001	0.00003	115.842	0	0	0
MvSl-1064-A1-R4_A1g00073	bPAR	bPAR	Down	4.57478	5.39692	0.00258	0.00258	0.00003	0	85.7143	MvSl-1064-A2-R4_A2g00073	0.00258	0.00258	0.00003	0.00022	85.7143	0	0	0
MvSl-1064-A1-R4_A1g00074	bPAR	bPAR	NON	8.9551	8.40566	0.03361	0.01107	0.04331	0.01499	0.776031	MvSl-1064-A2-R4_A2g00074	0.03361	0	0.04331	0	0.776031	0	0	0
MvSl-1064-A1-R4_A1g00076	bPAR	bPAR	NON	7.07177	7.11619	0.00168	0.00119	0.00381	0.00271	0.440933	MvSl-1064-A2-R4_A2g00076	0.00168	0.00119	0.00381	0.00271	0.440933	0	0	0
MvSl-1064-A1-R4_A1g00077	bPAR	bPAR	NON	6.59561	6.54348	0.00001	0	0.00595	0.00014	0.00168064	MvSl-1064-A2-R4_A2g00077	0.00001	0	0.00595	0.0002	0.00168064	0	0	0
MvSl-1064-A1-R4_A1g00078	bPAR	bPAR	Up	7.5136	6.49223	0.00332	0.00332	0.00003	0.00015	110.299	MvSl-1064-A2-R4_A2g00078	0.00332	0.00332	0.00003	0.00017	110.299	0	0	0
MvSl-1064-A1-R4_A1g00079	bPAR	bPAR	Up	6.20536	4.58466	0.00573	0.00257	0.00006	0.00011	95.3411	MvSl-1064-A2-R4_A2g00079	0.00553	0.00245	0.00279	0.00263	1.98201	0.0002	-0.00273	93.35909
MvSl-1064-A1-R4_A1g00107	faBlack	NRR	Up	1.97046	-0.355917	0.60928	0.08283	2.9962	1.72911	0.203351	MvSl-1064-A2-R4_A2g00117	0.60928	0.08283	2.9962	1.73637	0.203351	0	0	0
MvSl-1064-A1-R4_A1g00109	cGreen	NRR	NON	7.10288	6.90547	0	0	0	0.00007	0	MvSl-1064-A2-R4_A2g00119	0.00001	0	0.0052	0.00075	0.00192304	-0.00001	-0.0052	-0.00192304
MvSl-1064-A1-R4_A1g00110	cGreen	NRR	NON	8.08802	8.3292	0.00081	0.00082	0.00167	0.00169	0.485001	MvSl-1064-A2-R4_A2g00120	0.00081	0.00081	0.00001	0	80.198	0	0.00166	-79.712999
MvSl-1064-A1-R4_A1g00113	cGreen	NRR	NON	7.96071	7.89305	0.00208	0.00147	0.00002	0.00005	103.483	MvSl-1064-A2-R4_A2g00123	0.00101	0.00101	0.00001	0.00002	100	0.00107	0.00001	3.483
MvSl-1064-A1-R4_A1g00367	dRed	NRR	NON	4.2295	3.68002	0.00823	0.00583	0.00008	0.00027	102.747	MvSl-1064-A2-R4_A2g00124	0.00828	0.00588	0.00008	0.001	103.371	-5E-05	0	-0.624
MvSl-1064-A1-R4_A1g00368	dRed	NRR	NON	6.21284	6.16182	0.00305	0.00305	0.00003	0.00003	101.329	MvSl-1064-A2-R4_A2g00125	0.00305	0.00303	0.00003	0	101.329	0	0	0
MvSl-1064-A1-R4_A1g00369	dRed	NRR	NON	7.09591	7.01138	0	0	0.00356	0	0	MvSl-1064-A2-R4_A2g00126	0	0.00001	0.00358	0.00357	0	0	-2E-05	0
MvSl-1064-A1-R4_A1g00370	dRed	NRR	NON	7.02343	6.95182	0.00604	0.00294	0.01846	0.00928	0.327192	MvSl-1064-A2-R4_A2g00127	0	0.0029	0.00001	0.00682	0	0.00604	0.01845	0.327192
MvSl-1064-A1-R4_A1g00371	dRed	NRR	NON	7.45264	7.12957	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00128	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g00372	dRed	NRR	NON	7.34725	7.50092	0.00271	0.00192	0.00003	0.00002	90.0332	MvSl-1064-A2-R4_A2g00129	0.00136	0.00137	0.00001	0.00002	134.653	0.00135	0.00002	-44.6198
MvSl-1064-A1-R4_A1g00373	dRed	NRR	NON	5.45468	5.77905	0.00317	0.00315	0.00748	0.00745	0.423791	MvSl-1064-A2-R4_A2g00130	0.00317	0.00316	0.00748	0.00746	0.423791	0	0	0
MvSl-1064-A1-R4_A1g00374	dRed	NRR	NON	7.67469	7.81448	0.00109	0.0011	0.00262	0.00265	0.416015	MvSl-1064-A2-R4_A2g00131	0	0	0.00001	0	0	0.00109	0.00261	0.416015
MvSl-1064-A1-R4_A1g01392	faBlack	NRR	NON	5.70466	5.50069	0.0031	0.00139	0.00548	0.00246	0.565683	MvSl-1064-A2-R4_A2g00153	0.00319	0.00183	0.00004	0.00002	79.5511	-9E-05	0.00544	-78.985417
MvSl-1064-A1-R4_A1g00209	faBlack	NRR	Up	6.28399	5.01204	0.00418	0.00174	0.00941	0.00392	0.444204	MvSl-1064-A2-R4_A2g00160	0	0.00006	0.00001	0.01429	0	0.00418	0.0094	0.444204
MvSl-1064-A1-R4_A1g00290	faBlack	NRR	NON	7.13811	7.30873	0	0.00001	0.00344	0.00347	0	MvSl-1064-A2-R4_A2g00169	0.00087	0.00087	0.00001	0	86.1386	-0.00087	0.00343	-86.1386
MvSl-1064-A1-R4_A1g00772	fBlue	NRR	NON	4.27738	3.904	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00179	0	0.00003	0.00001	0.0114	0	0	0	0
MvSl-1064-A1-R4_A1g01388	faBlack	NRR	NON	5.14593	5.62095	0.0011	0.00111	0.00459	0.00468	0.239646	MvSl-1064-A2-R4_A2g00186	0	0	0.00299	0.00114	0	0.0011	0.0016	0.239646
MvSl-1064-A1-R4_A1g00800	faBlack	NRR	Up	7.16995	6.33202	0.72171	0.07902	68.88233	78.3325	0.0104774	MvSl-1064-A2-R4_A2g00203	0.5512	0.07315	71.98376	106.35675	0.00765728	0.17051	-3.10143	0.00282012
MvSl-1064-A1-R4_A1g00801	fBlue	NRR	NON	3.65382	3.63421	0	0.00427	0.00001	0.01071	0	MvSl-1064-A2-R4_A2g00204	0	0.0001	0.00002	0.00946	0	0	-0.00001	0
MvSl-1064-A1-R4_A1g00593	fBlue	NRR	NON	8.0334	8.06863	0.00086	0.00086	0.00357	0.00253	0.24089	MvSl-1064-A2-R4_A2g00210	0	0	0.00178	0	0	0.00086	0.00179	0.24089
MvSl-1064-A1-R4_A1g00246	faBlack	NRR	Down	5.84973	6.71908	0.00333	0.00202	0.01277	0.00724	0.260765	MvSl-1064-A2-R4_A2g00241	0	0.00005	0.00002	0.00679	0	0.00333	0.01275	0.260765
MvSl-1064-A1-R4_A1g00165	faBlack	NRR	Up	7.88292	7.23642	0.00087	0.00087	0.00368	0.0026	0.236407	MvSl-1064-A2-R4_A2g00290	0	0.00248	0.00001	0.00573	0	0.00087	0.00367	0.236407
MvSl-1064-A1-R4_A1g00481	faBlack	NRR	NON	3.14207	3.14775	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00295	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g00254	faBlack	NRR	Up	5.43568	3.49938	0.00129	0.00129	0.00373	0.00374	0.345835	MvSl-1064-A2-R4_A2g00300	0	0	0.00001	0	0	0.00129	0.00372	0.345835
MvSl-1064-A1-R4_A1g00359	faBlack	NRR	NON	8.74363	8.45702	0	0.00004	0.00002	0	0	MvSl-1064-A2-R4_A2g00301	0	0	0.00002	0	0	0	0	0
MvSl-1064-A1-R4_A1g00281	faBlack	NRR	NON	6.37088	6.43088	0	0	0.00305	0	0	MvSl-1064-A2-R4_A2g00303	0	0.00138	0.00001	0	0	0	0.00304	0
MvSl-1064-A1-R4_A1g00280	faBlack	NRR	NON	7.75692	7.9807	0.00137	0.00136	0.00734	0.0052	0.186646	MvSl-1064-A2-R4_A2g00304	0	0	0.00001	0	0	0.00137	0.00733	0.186646
MvSl-1064-A1-R4_A1g00648	faBlack	NRR	Down	6.10116	6.7441	0.00115	0.00115	0.00331	0.00334	0.347422	MvSl-1064-A2-R4_A2g00314	0.0013	0.0013	0.00001	0	128.713	-0.00015	0.0033	-128.365578
MvSl-1064-A1-R4_A1g00492	faBlack	NRR	NON	4.59952	4.06463	0.00643	0.00162	0.01074	0.0031	0.598691	MvSl-1064-A2-R4_A2g00319	0.00127	0.00063	0.00001	0	125.743	0.00516	0.01073	-125.144309
MvSl-1064-A1-R4_A1g00778	faBlack	NRR	NON	4.58693	5.0061	0.00001	0	0.00834	0	0.00119903	MvSl-1064-A2-R4_A2g00328	0.0026	0.00261	0.00648	0.00652	0.401228	-0.00259	0.00186	-0.40002897
MvSl-1064-A1-R4_A1g00779	faBlack	NRR	NON	7.67674	8.33029	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00329	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g00869	faBlack	NRR	NON	9.56132	8.80913	0.00457	0.00324	0.00005	0.00003	91.2176	MvSl-1064-A2-R4_A2g00351	0	0	0.00001	0	0	0.00457	0.00004	91.2176
MvSl-1064-A1-R4_A1g00405	dRed	NRR	NON	4.91736	4.39709	0	0	0	0	0	MvSl-1064-A2-R4_A2g00365	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00404	dRed	NRR	NON	3.25203	3.56132	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00366	0	0.00003	0.00002	0	0	0	-0.00001	0
MvSl-1064-A1-R4_A1g00403	dRed	NRR	NON	6.94312	6.46711	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00367	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g00402	dRed	NRR	NON	7.88788	7.85882	0.00053	0.00054	0.00166	0.0017	0.319258	MvSl-1064-A2-R4_A2g00368	0.00279	0.00126	0.01152	0.00441	0.242185	-0.00226	-0.00986	0.077073
MvSl-1064-A1-R4_A1g00401	dRed	NRR	NON	7.46416	7.11203	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00369	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g00400	dRed	NRR	Up	5.20188	4.09926	0	0	0.00206	0.00027	0	MvSl-1064-A2-R4_A2g00370	0.00099	0.001	0.0027	0.00273	0.366653	-0.00099	-0.00064	-0.366653
MvSl-1064-A1-R4_A1g00399	dRed	NRR	NON	7.90739	7.93652	0.01435	0.00644	0.00744	0.00343	1.92874	MvSl-1064-A2-R4_A2g00371	0.01435	0.00645	0.00744	0.00339	1.92874	0	0	0
MvSl-1064-A1-R4_A1g00398	dRed	NRR	NON	8.12088	7.969	0.49076	0.09416	0.89968	0.35064	0.545483	MvSl-1064-A2-R4_A2g00372	0.49076	0.09417	0.89968	0.35071	0.545483	0	0	0
MvSl-1064-A1-R4_A1g00396	dRed	NRR	NON	7.64196	7.47297	0.67163	0.09212	5.95942	9.86673	0.112701	MvSl-1064-A2-R4_A2g00374	0.66074	0.09078	1.39722	0.38873	0.472896	0.01089	4.5622	-0.360195
MvSl-1064-A1-R4_A1g00395	dRed	NRR	NON	8.31047	8.0394	0.00125	0.00124	0.00276	0.00275	0.452882	MvSl-1064-A2-R4_A2g00375	0	0	0.00001	0	0	0.00125	0.00275	0.452882
MvSl-1064-A1-R4_A1g00394	dRed	NRR	NON	6.28567	6.26911	0.82071	0.15789	4.27311	3.06306	0.192064	MvSl-1064-A2-R4_A2g00376	0.82071	0.15771	4.27311	3.06064	0.192064	0	0	0
MvSl-1064-A1-R4_A1g00391	dRed	NRR	NON	6.97601	7.0025	0.00353	0.00354	0.00582	0.00585	0.606519	MvSl-1064-A2-R4_A2g00379	0.00001	0	0.01094	0	0.000914068	0.00352	-0.00512	0.605604932
MvSl-1064-A1-R4_A1g00390	dRed	NRR	NON	5.09269	5.06919	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00380	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g01376	faBlack	NRR	Down	6.37736	7.29595	0.00256	0.00192	0.01062	0.00805	0.241052	MvSl-1064-A2-R4_A2g00418	0.61006	0.0815	1.75773	0.55477	0.347073	-0.6075	-1.74711	-0.106021
MvSl-1064-A1-R4_A1g00185	gPurple	NRR	NON	8.19607	8.58709	0.05791	0.01317	0.13783	0.03326	0.420155	MvSl-1064-A2-R4_A2g00443	0.03492	0	0.09673	0	0.361004	0.02299	0.0411	0.059151
MvSl-1064-A1-R4_A1g00575	faBlack	NRR	NON	7.63479	7.20901	0.00078	0.00055	0.00148	0.00105	0.526991	MvSl-1064-A2-R4_A2g00559	0	0	0.00294	0	0	0.00078	-0.00146	0.526991
MvSl-1064-A1-R4_A1g00576	faBlack	NRR	NON	4.00066	3.82585	0.00315	0.00311	0.00626	0.00619	0.503187	MvSl-1064-A2-R4_A2g00560	0	0.00002	0.00001	0	0	0.00315	0.00625	0.503187
MvSl-1064-A1-R4_A1g00757	faBlack	NRR	NON	1.88795	1.76856	0.00312	0.00312	0.00003	0.00011	103.654	MvSl-1064-A2-R4_A2g00565	0	0.00291	0.00001	0.00745	0	0.00312	0.00002	103.654
MvSl-1064-A1-R4_A1g00751	faBlack	NRR	NON	8.22365	7.89161	0.00134	0.00135	0.00328	0.0033	0.408524	MvSl-1064-A2-R4_A2g00569	0.00001	0	0.00545	0	0.00183483	0.00133	-0.00217	0.40668917
MvSl-1064-A1-R4_A1g00750	faBlack	NRR	NON	6.03858	6.05543	0.00175	0.00175	0.00002	0	87.0647	MvSl-1064-A2-R4_A2g00570	0	0.00039	0.00001	0	0	0.00175	0.00001	87.0647
MvSl-1064-A1-R4_A1g00594	faBlack	NRR	Up	5.93226	4.72438	0.16302	0.0323	0.22165	0.06514	0.735484	MvSl-1064-A2-R4_A2g00575	0	0	0.00303	0.00026	0	0.16302	0.21862	0.735484
MvSl-1064-A1-R4_A1g00749	faBlack	NRR	NON	7.67663	7.1475	0.00496	0.00221	0.00414	0.0029	1.19804	MvSl-1064-A2-R4_A2g00576	0	0	0.00232	0	0	0.00496	0.00182	1.19804
MvSl-1064-A1-R4_A1g00635	faBlack	NRR	Up	4.67781	1.05148	0.75592	0.11397	54.11274	58.34802	0.0139694	MvSl-1064-A2-R4_A2g00615	0.80689	0.11113	1.90696	0.74237	0.423129	-0.05097	52.20578	-0.4091596
MvSl-1064-A1-R4_A1g00241	faBlack	NRR	Down	7.20617	7.86623	0.00291	0.00204	0.00298	0.00293	0.976477	MvSl-1064-A2-R4_A2g00643	0	0	0.0027	0.00045	0	0.00291	0.00028	0.976477
MvSl-1064-A1-R4_A1g00242	faBlack	NRR	Down	5.27274	5.91129	0.00388	0.00388	0.01418	0.01422	0.273623	MvSl-1064-A2-R4_A2g00644	0.00435	0.00436	0.00004	0.00036	108.479	-0.00047	0.01414	-108.205377
MvSl-1064-A1-R4_A1g00270	faBlack	NRR	Up	5.98653	4.83005	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00647	0.0028	0.00281	0.00003	0.00014	93.0233	-0.0028	-0.00002	-93.0233
MvSl-1064-A1-R4_A1g00211	faBlack	NRR	NON	8.93073	9.11142	0.00479	0.00277	0.00478	0.00482	1.00207	MvSl-1064-A2-R4_A2g00698	0.00175	0.00175	0.00002	0	87.0647	0.00304	0.00476	-86.06263
MvSl-1064-A1-R4_A1g00210	faBlack	NRR	NON	5.32552	5.22932	0.0071	0.00455	0.01088	0.00883	0.652568	MvSl-1064-A2-R4_A2g00699	0	0	0.00001	0	0	0.0071	0.01087	0.652568
MvSl-1064-A1-R4_A1g00292	faBlack	NRR	Up	7.22122	6.31033	0.00185	0.00185	0.00002	0.00005	92.0398	MvSl-1064-A2-R4_A2g00711	0	0.00007	0.00002	0	0	0.00185	0	92.0398
MvSl-1064-A1-R4_A1g00441	gPurple	NRR	NON	5.36297	5.28764	0.27641	0.04465	0.75162	0.17551	0.367752	MvSl-1064-A2-R4_A2g00737	0.31429	0.04648	0.57448	0.13472	0.547086	-0.03788	0.17714	-0.179334
MvSl-1064-A1-R4_A1g00144	faBlack	NRR	NON	6.78608	6.43547	0.01938	0.00755	0.0786	0.03239	0.246565	MvSl-1064-A2-R4_A2g00759	0.00361	0.0034	0.03448	0.02374	0.104698	0.01577	0.04412	0.141867
MvSl-1064-A1-R4_A1g01369	faBlack	NRR	NON	8.73697	9.33919	0	0	0.00002	0.0014	0	MvSl-1064-A2-R4_A2g00773	0.00001	0	0.00573	0.00029	0.00174517	-0.00001	-0.00571	-0.00174517
MvSl-1064-A1-R4_A1g01368	faBlack	NRR	NON	6.1141	5.93585	0.0009	0.00063	0.00261	0.00183	0.344814	MvSl-1064-A2-R4_A2g00774	0	0	0.00001	0	0	0.0009	0.0026	0.344814
MvSl-1064-A1-R4_A1g01367	faBlack	NRR	NON	4.41408	4.78362	0.00114	0.00099	0.0104	0.00577	0.109614	MvSl-1064-A2-R4_A2g00775	0	0	0.00183	0	0	0.00114	0.00857	0.109614
MvSl-1064-A1-R4_A1g01366	faBlack	NRR	NON	6.3787	6.30711	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00776	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g00327	faBlack	NRR	NON	4.2327	4.14009	0.91289	0.16408	16.70618	28.375	0.0546439	MvSl-1064-A2-R4_A2g00818	0.92364	0.14684	50.41641	243.08354	0.0183202	-0.01075	-33.71023	0.0363237
MvSl-1064-A1-R4_A1g00326	faBlack	NRR	Down	-3.35702	5.16158	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00819	0.00249	0.0025	0.00622	0.00624	0.400315	-0.00249	-0.00621	-0.400315
MvSl-1064-A1-R4_A1g01137	faBlack	NRR	Up	6.91238	6.27642	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00825	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g01136	faBlack	NRR	Up	4.57031	0.742602	0.00822	0.00337	0.00576	0.00409	1.42706	MvSl-1064-A2-R4_A2g00826	0	0.00003	0.00001	0	0	0.00822	0.00575	1.42706
MvSl-1064-A1-R4_A1g01159	fBlue	NRR	NON	6.87054	7.2071	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00833	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_A1g01160	fBlue	NRR	NON	7.04855	7.37205	0	0.00005	0.00002	0.00248	0	MvSl-1064-A2-R4_A2g00834	0.00001	0	0.00611	0.00048	0.00163663	-0.00001	-0.00609	-0.00163663
MvSl-1064-A1-R4_A1g01162	fBlue	NRR	Down	-1.25634	3.93367	0.00309	0.00355	0.00861	0.00994	0.358881	MvSl-1064-A2-R4_A2g00836	0.00327	0.00296	0.00917	0.00831	0.356594	-0.00018	-0.00056	0.002287
MvSl-1064-A1-R4_A1g01212	faBlack	NRR	Up	4.25857	2.39934	0.00001	0	0.00587	0	0.00170355	MvSl-1064-A2-R4_A2g00841	0.00001	0	0.00622	0	0.00160769	0	-0.00035	9.586E-05
