genea1	dNa1	dNsea1	dSa1	dSsea1	dNdSa1	genea2	dNa2	dNsea2	dSa2	dSsea2	dNdSa2	chr	chrom	DE	a1mean	a2mean	ratio	log2ratio	dndiff	dsdiff	dndsdiff
MvSl-1064-A1-R4_A1g00026	1.38924	0.55847	59.23456	308.54339	0.0234532	MvSl-1064-A2-R4_A2g00026	0.00207	0.00209	0.00652	0.00661	0.31748	bPAR	bPAR	NON	5.50537	5.69505	0.966693883	-0.048868982	1.38717	59.22804	-0.2940268
MvSl-1064-A1-R4_A1g00027	0	0.00006	0.00001	0	0	MvSl-1064-A2-R4_A2g00027	0.00438	0.00254	0.01113	0.00791	0.393527	bPAR	bPAR	NON	1.32336	1.45047	0.912366336	-0.132314878	-0.00438	-0.01112	-0.393527
MvSl-1064-A1-R4_A1g00032	23.7373	29.54913	0.98715	1.07681	24.0463	MvSl-1064-A2-R4_A2g00032	0.00291	0.0029	0.00671	0.00672	0.433675	bPAR	bPAR	NON	9.36855	9.30688	1.006626281	0.009528169	23.73439	0.98044	23.612625
MvSl-1064-A1-R4_A1g00035	0	0.00696	0.00001	0.01759	0	MvSl-1064-A2-R4_A2g00035	0.00606	0.0025	0.00813	0.00477	0.745378	bPAR	bPAR	NON	5.32011	4.89414	1.087036742	0.120400704	-0.00606	-0.00812	-0.745378
MvSl-1064-A1-R4_A1g00036	0.00005	0	0.04728	0.01024	0.00105753	MvSl-1064-A2-R4_A2g00036	0.00001	0	0.01353	0.0015	0.000739093	bPAR	bPAR	NON	5.33338	5.32985	1.000662308	0.000955192	0.00004	0.03375	0.000318437
MvSl-1064-A1-R4_A1g00037	23.36975	33.86409	2.56643	3.14996	9.10594	MvSl-1064-A2-R4_A2g00037	0	0	0.00001	0	0	bPAR	bPAR	NON	4.79601	4.65726	1.029792195	0.042353241	23.36975	2.56642	9.10594
MvSl-1064-A1-R4_A1g00039	2.34686	1.85969	2.58599	2.52238	0.907529	MvSl-1064-A2-R4_A2g00039	0	0.00006	0.00002	0	0	bPAR	bPAR	NON	8.25173	7.95095	1.037829442	0.053569369	2.34686	2.58597	0.907529
MvSl-1064-A1-R4_A1g00040	22.74871	34.2758	1.08765	1.20933	20.9155	MvSl-1064-A2-R4_A2g00040	0.00002	0	0.01925	0	0.00103896	bPAR	bPAR	NON	1.1263	1.27685	0.88209265	-0.180997899	22.74869	1.0684	20.91446104
MvSl-1064-A1-R4_A1g00046	0.52005	0.19564	6.43973	5.89816	0.0807565	MvSl-1064-A2-R4_A2g00046	0.70356	0.09121	2.57358	0.81722	0.273378	bPAR	bPAR	NON	3.98661	3.8159	1.044736497	0.063139113	-0.18351	3.86615	-0.1926215
MvSl-1064-A1-R4_A1g00047	1.09982	0.66064	9.80272	23.64965	0.112195	MvSl-1064-A2-R4_A2g00047	0.00763	0.00536	0.04008	0.02749	0.190369	bPAR	bPAR	NON	5.03772	4.94039	1.019700874	0.028146004	1.09219	9.76264	-0.078174
MvSl-1064-A1-R4_A1g00048	0	0	0	0	0	MvSl-1064-A2-R4_A2g00048	0.005	0.00223	0.00362	0.00253	1.38118	bPAR	bPAR	NON	4.8138	4.8064	1.001539614	0.002219485	-0.005	-0.00362	-1.38118
MvSl-1064-A1-R4_A1g00049	7.24987	3.66343	0.07323	0.27355	99.0014	MvSl-1064-A2-R4_A2g00049	0.0078	0.0023	0.01226	0.00364	0.63621	bPAR	bPAR	NON	5.34395	5.32019	1.004466006	0.00642874	7.24207	0.06097	98.36519
MvSl-1064-A1-R4_A1g00050	0	0.0816	0	0.00082	0	MvSl-1064-A2-R4_A2g00050	0.00358	0.00154	0.00125	0.00096	2.86377	bPAR	bPAR	NON	5.25409	5.64667	0.930475838	-0.103959407	-0.00358	-0.00125	-2.86377
MvSl-1064-A1-R4_A1g00051	0.48347	0.24241	35.25649	150.48391	0.0137129	MvSl-1064-A2-R4_A2g00051	0.02342	0.01082	0.0463	0.0282	0.50583	bPAR	bPAR	NON	7.06914	6.55226	1.078885759	0.109542108	0.46005	35.21019	-0.4921171
MvSl-1064-A1-R4_A1g00053	0.02542	0.02545	0.00026	0	97.7689	MvSl-1064-A2-R4_A2g00053	0.0122	0.00549	0.01775	0.01035	0.68732	bPAR	bPAR	NON	6.61109	6.51858	1.014191741	0.020330431	0.01322	-0.01749	97.08158
MvSl-1064-A1-R4_A1g00055	0	0.17748	0	0.00181	0	MvSl-1064-A2-R4_A2g00055	0.00215	0.00215	0.0041	0.00411	0.524377	bPAR	bPAR	NON	5.14162	5.60932	0.916620909	-0.125602899	-0.00215	-0.0041	-0.524377
MvSl-1064-A1-R4_A1g00056	17.0289	153.93038	14.9817	170.18732	1.13665	MvSl-1064-A2-R4_A2g00056	0.00425	0.00314	0.02314	0.01392	0.183664	bPAR	bPAR	NON	8.49956	8.39114	1.012920771	0.018521334	17.02465	14.95856	0.952986
MvSl-1064-A1-R4_A1g00057	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00057	0	0	0.00002	0	0	bPAR	bPAR	NON	4.56746	4.63615	0.985183827	-0.02153515	0	-0.00001	0
MvSl-1064-A1-R4_A1g00061	1.4205	0.69447	44.74278	61.56041	0.0317481	MvSl-1064-A2-R4_A2g00061	0	0.00006	0.00002	0.01899	0	bPAR	bPAR	NON	7.15309	6.99037	1.023277738	0.033197774	1.4205	44.74276	0.0317481
MvSl-1064-A1-R4_A1g00062	1.57826	0.752	2.99627	3.30276	0.526742	MvSl-1064-A2-R4_A2g00062	0.00001	0	0.00679	0.001	0.00147273	bPAR	bPAR	NON	6.00055	6.14781	0.976046755	-0.034977837	1.57825	2.98948	0.52526927
MvSl-1064-A1-R4_A1g00063	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00063	0.00001	0	0.00562	0	0.00177933	bPAR	bPAR	NON	5.0366	4.97508	1.01236563	0.017730434	-0.00001	-0.00561	-0.00177933
MvSl-1064-A1-R4_A1g00064	1.29155	0.5539	38.93235	79.48502	0.0331742	MvSl-1064-A2-R4_A2g00064	0.00481	0.00481	0.00005	0.00032	96.008	bPAR	bPAR	NON	8.1332	8.30718	0.979056671	-0.030535724	1.28674	38.9323	-95.9748258
MvSl-1064-A1-R4_A1g00065	5.94034	14.4307	4.98399	9.8604	1.19188	MvSl-1064-A2-R4_A2g00065	0.00498	0.00353	0.00005	0	99.4012	bPAR	bPAR	NON	7.36661	7.11163	1.035853946	0.0508206	5.93536	4.98394	-98.20932
MvSl-1064-A1-R4_A1g00068	26.79319	51.40148	0.49811	0.64922	53.7897	MvSl-1064-A2-R4_A2g00068	0	0.00005	0.00001	0	0	bPAR	bPAR	NON	0.889458	1.17041	0.759954204	-0.396015613	26.79319	0.4981	53.7897
MvSl-1064-A1-R4_A1g00069	0.97611	0.53137	47.75784	190.91187	0.0204387	MvSl-1064-A2-R4_A2g00069	0	0	0.00233	0	0	bPAR	bPAR	NON	5.81618	6.08155	0.956364743	-0.06436715	0.97611	47.75551	0.0204387
MvSl-1064-A1-R4_A1g00070	1.27427	0.4776	0.59478	0.52931	2.14242	MvSl-1064-A2-R4_A2g00070	0.00135	0.00096	0.00001	0	133.663	bPAR	bPAR	NON	7.39862	7.05896	1.04811757	0.067800556	1.27292	0.59477	-131.52058
MvSl-1064-A1-R4_A1g00071	1.86937	0.93924	35.20305	190.60038	0.0531025	MvSl-1064-A2-R4_A2g00071	0	0	0.00346	0	0	bPAR	bPAR	NON	4.23528	3.71799	1.139131628	0.187934461	1.86937	35.19959	0.0531025
MvSl-1064-A1-R4_A1g00072	0.69672	0.3397	10.28697	27.05867	0.0677284	MvSl-1064-A2-R4_A2g00072	0.00117	0.00117	0.00001	0.00003	115.842	bPAR	bPAR	NON	7.81151	7.72702	1.010934358	0.015689323	0.69555	10.28696	-115.7742716
MvSl-1064-A1-R4_A1g00073	1.28079	0.57056	55.67207	137.54356	0.023006	MvSl-1064-A2-R4_A2g00073	0.00258	0.00258	0.00003	0.00022	85.7143	bPAR	bPAR	Down	4.57478	5.39692	0.847664964	-0.238433936	1.27821	55.67204	-85.691294
MvSl-1064-A1-R4_A1g00074	0	0	0	0	0	MvSl-1064-A2-R4_A2g00074	0.03361	0	0.04331	0	0.776031	bPAR	bPAR	NON	8.9551	8.40566	1.06536548	0.09134844	-0.03361	-0.04331	-0.776031
MvSl-1064-A1-R4_A1g00076	22.34205	29.695	0.24797	0.83332	90.0998	MvSl-1064-A2-R4_A2g00076	0.00168	0.00119	0.00381	0.00271	0.440933	bPAR	bPAR	NON	7.07177	7.11619	0.993757896	-0.009033677	22.34037	0.24416	89.658867
MvSl-1064-A1-R4_A1g00077	0.12724	0.05751	0.14334	0.08454	0.88768	MvSl-1064-A2-R4_A2g00077	0.00001	0	0.00595	0.0002	0.00168064	bPAR	bPAR	NON	6.59561	6.54348	1.007966709	0.01144799	0.12723	0.13739	0.88599936
MvSl-1064-A1-R4_A1g00078	0	0.00023	0.00002	0.03985	0	MvSl-1064-A2-R4_A2g00078	0.00332	0.00332	0.00003	0.00017	110.299	bPAR	bPAR	Up	7.5136	6.49223	1.157321906	0.210790202	-0.00332	-0.00001	-110.299
MvSl-1064-A1-R4_A1g00079	1.16732	0.60545	25.16564	73.36229	0.0463855	MvSl-1064-A2-R4_A2g00079	0.00553	0.00245	0.00279	0.00263	1.98201	bPAR	bPAR	Up	6.20536	4.58466	1.353504949	0.436700163	1.16179	25.16285	-1.9356245
MvSl-1064-A1-R4_A1g00107	0.25089	0.13654	50.06096	194.22989	0.00501169	MvSl-1064-A2-R4_A2g00117	0.60928	0.08283	2.9962	1.73637	0.203351	faBlack	NRR	Up	1.97046	-0.355917	-5.536290764	2.468919715	-0.35839	47.06476	-0.19833931
MvSl-1064-A1-R4_A1g00109	2.66766	1.59181	3.76779	4.65547	0.708017	MvSl-1064-A2-R4_A2g00119	0.00001	0	0.0052	0.00075	0.00192304	cGreen	NRR	NON	7.10288	6.90547	1.028587482	0.040664501	2.66765	3.76259	0.70609396
MvSl-1064-A1-R4_A1g00110	0.85743	0.39952	1.63753	1.51521	0.523612	MvSl-1064-A2-R4_A2g00120	0.00081	0.00081	0.00001	0	80.198	cGreen	NRR	NON	8.08802	8.3292	0.971044038	-0.04239137	0.85662	1.63752	-79.674388
MvSl-1064-A1-R4_A1g00113	0	0.03052	0	0.00031	0	MvSl-1064-A2-R4_A2g00123	0.00101	0.00101	0.00001	0.00002	100	cGreen	NRR	NON	7.96071	7.89305	1.008572098	0.012314219	-0.00101	-0.00001	-100
MvSl-1064-A1-R4_A1g00144	0	0.00009	0.00001	0	0	MvSl-1064-A2-R4_A2g00759	0.00361	0.0034	0.03448	0.02374	0.104698	faBlack	NRR	NON	6.78608	6.43547	1.054480869	0.076532922	-0.00361	-0.03447	-0.104698
MvSl-1064-A1-R4_A1g00153	2.0396	0	93.27829	410.1701	0.0218658	MvSl-1064-A2-R4_A2g01431	0	0	0.00001	0	0	faBlack	NRR	NON	7.96759	7.72594	1.031277747	0.044432937	2.0396	93.27828	0.0218658
MvSl-1064-A1-R4_A1g00154	0.73738	0.23966	51.52996	81.7827	0.0143097	MvSl-1064-A2-R4_A2g01432	0	0.00204	0.00001	0.00499	0	faBlack	NRR	Up	5.37663	4.18211	1.285626155	0.362471185	0.73738	51.52995	0.0143097
MvSl-1064-A1-R4_A1g00155	0	0.0001	0.00001	0	0	MvSl-1064-A2-R4_A2g01433	0	0	0.00001	0	0	faBlack	NRR	NON	6.07553	6.50918	0.933378705	-0.099465542	0	0	0
MvSl-1064-A1-R4_A1g00165	12.9678	83.08452	27.49303	0	0.471676	MvSl-1064-A2-R4_A2g00290	0	0.00248	0.00001	0.00573	0	faBlack	NRR	Up	7.88292	7.23642	1.089339756	0.123453989	12.9678	27.49302	0.471676
MvSl-1064-A1-R4_A1g00175	0	0.00009	0.00001	0.01947	0	MvSl-1064-A2-R4_A2g01447	0.00164	0.00164	0.00002	0	81.592	gPurple	NRR	NON	7.22224	7.04445	1.025238308	0.035959291	-0.00164	-0.00001	-81.592
MvSl-1064-A1-R4_A1g00185	0	0.00074	0.00001	0.02304	0	MvSl-1064-A2-R4_A2g00443	0.03492	0	0.09673	0	0.361004	gPurple	NRR	NON	8.19607	8.58709	0.954464201	-0.067237007	-0.03492	-0.09672	-0.361004
MvSl-1064-A1-R4_A1g00209	1.23346	0.5449	8.13931	12.26321	0.151544	MvSl-1064-A2-R4_A2g00160	0	0.00006	0.00001	0.01429	0	faBlack	NRR	Up	6.28399	5.01204	1.2537789	0.326282956	1.23346	8.1393	0.151544
MvSl-1064-A1-R4_A1g00210	0.80029	0.1594	1.35198	0.0614	0.591939	MvSl-1064-A2-R4_A2g00699	0	0	0.00001	0	0	faBlack	NRR	NON	5.32552	5.22932	1.018396273	0.026299045	0.80029	1.35197	0.591939
MvSl-1064-A1-R4_A1g00211	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00698	0.00175	0.00175	0.00002	0	87.0647	faBlack	NRR	NON	8.93073	9.11142	0.980168843	-0.028897807	-0.00175	-0.00001	-87.0647
MvSl-1064-A1-R4_A1g00241	0.00001	0	0	0	10000	MvSl-1064-A2-R4_A2g00643	0	0	0.0027	0.00045	0	faBlack	NRR	Down	7.20617	7.86623	0.91608941	-0.126439683	0.00001	-0.0027	10000
MvSl-1064-A1-R4_A1g00242	0.22719	0.08636	0.4278	0.23731	0.531066	MvSl-1064-A2-R4_A2g00644	0.00435	0.00436	0.00004	0.00036	108.479	faBlack	NRR	Down	5.27274	5.91129	0.891977893	-0.16492014	0.22284	0.42776	-107.947934
MvSl-1064-A1-R4_A1g00246	0.55615	0.24789	53.40949	61.58634	0.0104129	MvSl-1064-A2-R4_A2g00241	0	0.00005	0.00002	0.00679	0	faBlack	NRR	Down	5.84973	6.71908	0.870614727	-0.19989367	0.55615	53.40947	0.0104129
MvSl-1064-A1-R4_A1g00254	1.12988	0.4695	67.97083	349.64805	0.016623	MvSl-1064-A2-R4_A2g00300	0	0	0.00001	0	0	faBlack	NRR	Up	5.43568	3.49938	1.553326589	0.63536119	1.12988	67.97082	0.016623
MvSl-1064-A1-R4_A1g00270	0.97332	0.37552	78.59434	188.25531	0.0123841	MvSl-1064-A2-R4_A2g00647	0.0028	0.00281	0.00003	0.00014	93.0233	faBlack	NRR	Up	5.98653	4.83005	1.239434374	0.309681886	0.97052	78.59431	-93.0109159
MvSl-1064-A1-R4_A1g00280	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00304	0	0	0.00001	0	0	faBlack	NRR	NON	7.75692	7.9807	0.971959853	-0.04103137	0	0	0
MvSl-1064-A1-R4_A1g00281	0.89497	1.49409	1.80833	4.16376	0.494915	MvSl-1064-A2-R4_A2g00303	0	0.00138	0.00001	0	0	faBlack	NRR	NON	6.37088	6.43088	0.990670017	-0.013523506	0.89497	1.80832	0.494915
MvSl-1064-A1-R4_A1g00290	0.82024	0.34383	108.33189	686.21099	0.00757155	MvSl-1064-A2-R4_A2g00169	0.00087	0.00087	0.00001	0	86.1386	faBlack	NRR	NON	7.13811	7.30873	0.976655315	-0.034078605	0.81937	108.33188	-86.13102845
MvSl-1064-A1-R4_A1g00292	0.65574	0.34068	0.96578	0.81916	0.678975	MvSl-1064-A2-R4_A2g00711	0	0.00007	0.00002	0	0	faBlack	NRR	Up	7.22122	6.31033	1.144349028	0.194527143	0.65574	0.96576	0.678975
MvSl-1064-A1-R4_A1g00307	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g01256	0	0	0	0	0	faBlack	NRR	NON	6.77776	6.29506	1.076679174	0.106588423	0	0.00001	0
MvSl-1064-A1-R4_A1g00311	3.74727	0	0.03785	0.22123	99.0032	MvSl-1064-A2-R4_A2g00915	0	0	0.00212	0	0	faBlack	NRR	NON	8.27128	8.29385	0.997278707	-0.003931348	3.74727	0.03573	99.0032
MvSl-1064-A1-R4_A1g00312	0	0.00002	0.00001	0.0045	0	MvSl-1064-A2-R4_A2g00914	0	0.00003	0.00001	0.00628	0	faBlack	NRR	Up	9.31927	5.83482	1.59718209	0.675528799	0	0	0
MvSl-1064-A1-R4_A1g00326	0	0.05178	0	0.00052	0	MvSl-1064-A2-R4_A2g00819	0.00249	0.0025	0.00622	0.00624	0.400315	faBlack	NRR	Down	-3.35702	5.16158	-0.650386122	-0.620631621	-0.00249	-0.00622	-0.400315
MvSl-1064-A1-R4_A1g00327	0.33353	0.22799	1.64325	2.96326	0.20297	MvSl-1064-A2-R4_A2g00818	0.92364	0.14684	50.41641	243.08354	0.0183202	faBlack	NRR	NON	4.2327	4.14009	1.022369079	0.031916108	-0.59011	-48.77316	0.1846498
MvSl-1064-A1-R4_A1g00351	0.75989	0.45874	76.72518	286.19144	0.00990405	MvSl-1064-A2-R4_A2g00969	0	0	0.00001	0	0	faBlack	NRR	NON	8.4489	8.69108	0.972134648	-0.040771942	0.75989	76.72517	0.00990405
MvSl-1064-A1-R4_A1g00352	0	0.00014	0.00001	0	0	MvSl-1064-A2-R4_A2g00968	0	0	0	0	0	faBlack	NRR	NON	5.49701	5.68192	0.967456423	-0.047731415	0	0.00001	0
MvSl-1064-A1-R4_A1g00359	0.73464	0.48299	0.33582	0.37813	2.1876	MvSl-1064-A2-R4_A2g00301	0	0	0.00002	0	0	faBlack	NRR	NON	8.74363	8.45702	1.033890188	0.048082962	0.73464	0.3358	2.1876
MvSl-1064-A1-R4_A1g00367	0	0.01182	0.00001	0.02815	0	MvSl-1064-A2-R4_A2g00124	0.00828	0.00588	0.00008	0.001	103.371	dRed	NRR	NON	4.2295	3.68002	1.149314406	0.200773515	-0.00828	-0.00007	-103.371
MvSl-1064-A1-R4_A1g00368	22.72784	22.60939	0.6081	0.84933	37.3752	MvSl-1064-A2-R4_A2g00125	0.00305	0.00303	0.00003	0	101.329	dRed	NRR	NON	6.21284	6.16182	1.008280021	0.011896362	22.72479	0.60807	-63.9538
MvSl-1064-A1-R4_A1g00369	1.14859	0.45874	0.47763	0.30785	2.40477	MvSl-1064-A2-R4_A2g00126	0	0.00001	0.00358	0.00357	0	dRed	NRR	NON	7.09591	7.01138	1.012056114	0.017289284	1.14859	0.47405	2.40477
MvSl-1064-A1-R4_A1g00370	3.76769	2.7026	0.03806	0.08501	98.9934	MvSl-1064-A2-R4_A2g00127	0	0.0029	0.00001	0.00682	0	dRed	NRR	NON	7.02343	6.95182	1.0103009	0.014785037	3.76769	0.03805	98.9934
MvSl-1064-A1-R4_A1g00371	0.57959	0.28071	48.64328	151.28265	0.0119151	MvSl-1064-A2-R4_A2g00128	0	0	0.00001	0	0	dRed	NRR	NON	7.45264	7.12957	1.045314093	0.063936505	0.57959	48.64327	0.0119151
MvSl-1064-A1-R4_A1g00372	12.12207	6.47282	0.12245	0.30156	98.9961	MvSl-1064-A2-R4_A2g00129	0.00136	0.00137	0.00001	0.00002	134.653	dRed	NRR	NON	7.34725	7.50092	0.97951318	-0.02986319	12.12071	0.12244	-35.6569
MvSl-1064-A1-R4_A1g00373	0	0.00019	0.00001	0.02745	0	MvSl-1064-A2-R4_A2g00130	0.00317	0.00316	0.00748	0.00746	0.423791	dRed	NRR	NON	5.45468	5.77905	0.943871398	-0.083337789	-0.00317	-0.00747	-0.423791
MvSl-1064-A1-R4_A1g00374	18.75444	33.05977	12.31657	24.68111	1.5227	MvSl-1064-A2-R4_A2g00131	0	0	0.00001	0	0	dRed	NRR	NON	7.67469	7.81448	0.982111414	-0.026041397	18.75444	12.31656	1.5227
MvSl-1064-A1-R4_A1g00390	20.91411	37.01476	7.23336	14.20331	2.89134	MvSl-1064-A2-R4_A2g00380	0	0	0.00001	0	0	dRed	NRR	NON	5.09269	5.06919	1.004635849	0.006672662	20.91411	7.23335	2.89134
MvSl-1064-A1-R4_A1g00391	9.07502	14.90604	2.52084	2.82638	3.6	MvSl-1064-A2-R4_A2g00379	0.00001	0	0.01094	0	0.000914068	dRed	NRR	NON	6.97601	7.0025	0.996217065	-0.00546797	9.07501	2.5099	3.599085932
MvSl-1064-A1-R4_A1g00394	11.72463	28.30687	22.89374	62.00096	0.512133	MvSl-1064-A2-R4_A2g00376	0.82071	0.15771	4.27311	3.06064	0.192064	dRed	NRR	NON	6.28567	6.26911	1.002641523	0.003805888	10.90392	18.62063	0.320069
MvSl-1064-A1-R4_A1g00395	1.94026	1.06524	48.29098	144.84217	0.0401785	MvSl-1064-A2-R4_A2g00375	0	0	0.00001	0	0	dRed	NRR	NON	8.31047	8.0394	1.03371769	0.047842238	1.94026	48.29097	0.0401785
MvSl-1064-A1-R4_A1g00396	2.01479	1.12637	2.32522	1.66056	0.866494	MvSl-1064-A2-R4_A2g00374	0.66074	0.09078	1.39722	0.38873	0.472896	dRed	NRR	NON	7.64196	7.47297	1.022613499	0.032260976	1.35405	0.928	0.393598
MvSl-1064-A1-R4_A1g00398	1.46377	0.59163	16.99564	49.62552	0.0861262	MvSl-1064-A2-R4_A2g00372	0.49076	0.09417	0.89968	0.35071	0.545483	dRed	NRR	NON	8.12088	7.969	1.019058853	0.027237373	0.97301	16.09596	-0.4593568
MvSl-1064-A1-R4_A1g00399	0	0.00005	0.00002	0.00236	0	MvSl-1064-A2-R4_A2g00371	0.01435	0.00645	0.00744	0.00339	1.92874	dRed	NRR	NON	7.90739	7.93652	0.996329626	-0.005304973	-0.01435	-0.00742	-1.92874
MvSl-1064-A1-R4_A1g00400	0.82833	0.39846	59.74128	172.14861	0.0138653	MvSl-1064-A2-R4_A2g00370	0.00099	0.001	0.0027	0.00273	0.366653	dRed	NRR	Up	5.20188	4.09926	1.268980255	0.343669621	0.82734	59.73858	-0.3527877
MvSl-1064-A1-R4_A1g00401	3.82902	1.67541	2.01452	1.48701	1.90071	MvSl-1064-A2-R4_A2g00369	0	0	0.00001	0	0	dRed	NRR	NON	7.46416	7.11203	1.049511883	0.069718502	3.82902	2.01451	1.90071
MvSl-1064-A1-R4_A1g00402	0	0.03074	0	0.06046	0	MvSl-1064-A2-R4_A2g00368	0.00279	0.00126	0.01152	0.00441	0.242185	dRed	NRR	NON	7.88788	7.85882	1.003697756	0.005324895	-0.00279	-0.01152	-0.242185
MvSl-1064-A1-R4_A1g00403	24.54349	28.13755	2.01637	2.36252	12.1721	MvSl-1064-A2-R4_A2g00367	0	0	0.00001	0	0	dRed	NRR	NON	6.94312	6.46711	1.073604748	0.102462957	24.54349	2.01636	12.1721
MvSl-1064-A1-R4_A1g00404	21.1509	29.33918	3.38949	4.57797	6.24014	MvSl-1064-A2-R4_A2g00366	0	0.00003	0.00002	0	0	dRed	NRR	NON	3.25203	3.56132	0.913152988	-0.131071508	21.1509	3.38947	6.24014
MvSl-1064-A1-R4_A1g00405	0	0	0	0	0	MvSl-1064-A2-R4_A2g00365	0	0	0	0	0	dRed	NRR	NON	4.91736	4.39709	1.118321435	0.161334917	0	0	0
MvSl-1064-A1-R4_A1g00433	1.30701	0.47813	5.94069	8.88799	0.22001	MvSl-1064-A2-R4_A2g00993	0.00131	0.00131	0.00001	0	129.703	faBlack	NRR	NON	5.48775	5.13976	1.067705496	0.094513765	1.3057	5.94068	-129.48299
MvSl-1064-A1-R4_A1g00441	0.41578	0.14877	5.13066	5.14531	0.0810383	MvSl-1064-A2-R4_A2g00737	0.31429	0.04648	0.57448	0.13472	0.547086	gPurple	NRR	NON	5.36297	5.28764	1.014246431	0.020408226	0.10149	4.55618	-0.4660477
MvSl-1064-A1-R4_A1g00478	1.45739	0.51891	6.1079	14.80638	0.238607	MvSl-1064-A2-R4_A2g01653	0.00095	0.00095	0.00001	0.00004	94.0594	fBlue	NRR	NON	7.12428	6.99809	1.018032063	0.025783	1.45644	6.10789	-93.820793
MvSl-1064-A1-R4_A1g00481	11.63505	144.6381	8.26598	107.58174	1.40758	MvSl-1064-A2-R4_A2g00295	0	0	0.00001	0	0	faBlack	NRR	NON	3.14207	3.14775	0.998195536	-0.002605642	11.63505	8.26597	1.40758
MvSl-1064-A1-R4_A1g00492	12.68349	73.07372	35.34196	471.42369	0.358879	MvSl-1064-A2-R4_A2g00319	0.00127	0.00063	0.00001	0	125.743	faBlack	NRR	NON	4.59952	4.06463	1.131596234	0.17835928	12.68222	35.34195	-125.384121
MvSl-1064-A1-R4_A1g00495	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g01715	0	0	0.00001	0	0	fBlue	NRR	Up	7.62627	5.56242	1.37103455	0.455264927	0	0	0
MvSl-1064-A1-R4_A1g00503	8.67185	1.8197	0.08759	0.2635	99.005	MvSl-1064-A2-R4_A2g01265	0	0	0.00001	0	0	faBlack	NRR	NON	6.40021	6.71817	0.952671635	-0.06994906	8.67185	0.08758	99.005
