genea1	chr	chrom	DE	a1expmean	a2expmean	ratio	log2exp	dNa1	dNa1se	dSa1	dSa1se	dndsa1	genea2	dNa2	dNa2se	dSa2	dSa2se	dndsa2	dndiff	dsdiff	dndsdiff
MvSl-1064-A1-R4_MC06g07512	aAutosome	aAutosome	NON	2.19376	2.19154	1.001012986	0.001460691	0.80001	0.12657	1.86446	0.70099	0.429084	MvSl-1064-A2-R4_MC06-2g07777	0.80001	0.12663	1.86446	0.70217	0.429084	0	0	0.999999767
MvSl-1064-A1-R4_MC01-1g02485	aAutosome	aAutosome	NON	4.88698	4.77295	1.023890885	0.034061977	0.79788	0.09888	1.85422	0.8055	0.430305	MvSl-1064-A2-R4_MC01g02767	0.79788	0.09886	1.85422	0.80453	0.430305	0	0	0.999999768
MvSl-1064-A1-R4_MC13g11712	aAutosome	aAutosome	NON	7.18154	6.93766	1.035153063	0.049844108	0.78875	0.1098	1.84348	0.65281	0.427859	MvSl-1064-A2-R4_MC13g11973	0.78875	0.10981	1.84348	0.65258	0.427859	0	0	0.999999766
MvSl-1064-A1-R4_MC05-3g06653	aAutosome	aAutosome	NON	4.03541	4.36198	0.925132623	-0.112267896	0.42191	0.06538	1.82798	0.76552	0.230807	MvSl-1064-A2-R4_MC05g06916	0.42191	0.06537	1.82798	0.76614	0.230807	0	0	0.999999567
MvSl-1064-A1-R4_MC11g10380	aAutosome	aAutosome	NON	6.93687	6.91056	1.003807217	0.005482223	0.29542	0.04756	1.82647	0.93446	0.161744	MvSl-1064-A2-R4_MC11g10642	0.29542	0.04756	1.82647	0.93599	0.161744	0	0	0.999999382
MvSl-1064-A1-R4_MC13g11558	aAutosome	aAutosome	NON	1.71938	1.58898	1.082065224	0.113787464	0.68269	0.11245	1.825	0.77139	0.374077	MvSl-1064-A2-R4_MC13g11819	0.68269	0.11252	1.825	0.77147	0.374077	0	0	0.999999733
MvSl-1064-A1-R4_MC11g10226	aAutosome	aAutosome	NON	7.28886	7.41262	0.983304149	-0.024290365	0.85737	0.13041	1.81021	0.64723	0.47363	MvSl-1064-A2-R4_MC11g10487	0.85737	0.1305	1.81021	0.64702	0.47363	0	0	0.999999789
MvSl-1064-A1-R4_MC09-2g09399	aAutosome	aAutosome	NON	8.74162	8.98566	0.972841171	-0.039723809	0.79435	0.13177	1.80205	0.76698	0.440804	MvSl-1064-A2-R4_MC09g09673	0.79435	0.13177	1.80205	0.76921	0.440804	0	0	0.999999773
MvSl-1064-A1-R4_A1g01454	bPAR	bPAR	NON	2.66356	2.45612	1.084458414	0.116974731	0.79033	0.12019	1.79365	0.60166	0.440627	MvSl-1064-A2-R4_A2g01767	0.79033	0.1201	1.79365	0.60067	0.440627	0	0	0.999999773
MvSl-1064-A1-R4_A1g00528	faBlack	NRR	NON	2.67387	2.86024	0.934841132	-0.097206882	0.66791	0.10102	1.71982	0.5887	0.38836	MvSl-1064-A2-R4_A2g01700	0.69304	0.10354	1.77884	0.71854	0.389602	-0.02513	-0.05902	0.996811876
MvSl-1064-A1-R4_MC04-1g05451	aAutosome	aAutosome	NON	5.74971	5.44884	1.055217257	0.077540064	1.07936	0.16127	1.76489	0.61653	0.611573	MvSl-1064-A2-R4_MC04-1g05728	1.07936	0.16127	1.76489	0.61667	0.611573	0	0	0.999999836
MvSl-1064-A1-R4_MC13g11437	aAutosome	aAutosome	NON	3.9515	4.36058	0.906186792	-0.142119632	0.66874	0.09045	1.75997	0.77746	0.379972	MvSl-1064-A2-R4_MC13g11698	0.66874	0.09044	1.75997	0.77655	0.379972	0	0	0.999999737
MvSl-1064-A1-R4_MC08g08681	aAutosome	aAutosome	NON	5.38551	5.27367	1.021207243	0.030275675	0.69503	0.09573	1.75945	0.83415	0.395027	MvSl-1064-A2-R4_MC08-1g08946	0.69503	0.09576	1.75945	0.8337	0.395027	0	0	0.999999747
MvSl-1064-A1-R4_A1g01376	faBlack	NRR	Down	6.37736	7.29595	0.874095903	-0.194136519	0.00256	0.00192	0.01062	0.00805	0.241052	MvSl-1064-A2-R4_A2g00418	0.61006	0.0815	1.75773	0.55477	0.347073	-0.6075	-1.74711	0.69452804
MvSl-1064-A1-R4_MC03g05186	aAutosome	aAutosome	NON	3.91031	4.67844	0.83581493	-0.258744566	0.71222	0.09843	1.75331	0.61378	0.406215	MvSl-1064-A2-R4_MC03g05463	0.71222	0.09845	1.75331	0.61424	0.406215	0	0	0.999999754
MvSl-1064-A1-R4_MC04-1g05968	aAutosome	aAutosome	NON	5.34882	5.52953	0.967319103	-0.047936205	0.64839	0.08629	1.74648	0.53653	0.371255	MvSl-1064-A2-R4_MC04-1g06244	0.64839	0.08627	1.74648	0.53581	0.371255	0	0	0.999999731
MvSl-1064-A1-R4_MC10-1g09723	aAutosome	aAutosome	NON	6.86183	6.96495	0.985194438	-0.021519612	0.68048	0.08152	1.71933	0.46463	0.395782	MvSl-1064-A2-R4_MC10g09990	0.68048	0.08153	1.71933	0.46466	0.395782	0	0	0.999999747
MvSl-1064-A1-R4_MC04-1g05956	aAutosome	aAutosome	NON	6.52096	6.72042	0.970320307	-0.043467028	0.7441	0.09308	1.70959	0.6092	0.435251	MvSl-1064-A2-R4_MC04-1g06232	0.7441	0.09307	1.70959	0.60905	0.435251	0	0	0.99999977
MvSl-1064-A1-R4_MC04-1g05880	aAutosome	aAutosome	NON	7.14729	7.10541	1.0058941	0.008478428	0.73077	0.10592	1.68907	0.85211	0.432646	MvSl-1064-A2-R4_MC04-1g06156	0.73077	0.10589	1.68907	0.84925	0.432646	0	0	0.999999769
MvSl-1064-A1-R4_MC13g11385	aAutosome	aAutosome	NON	4.28754	4.38946	0.976780743	-0.033893337	0.74325	0.10955	1.68014	0.81586	0.442374	MvSl-1064-A2-R4_MC13g11646	0.74325	0.1096	1.68014	0.81391	0.442374	0	0	0.999999774
MvSl-1064-A1-R4_MC12g11077	aAutosome	aAutosome	NON	5.1804	5.00525	1.034993257	0.049621369	0.98783	0.1679	1.67856	0.73695	0.588498	MvSl-1064-A2-R4_MC12g11340	0.98783	0.1679	1.67856	0.7365	0.588498	0	0	0.99999983
MvSl-1064-A1-R4_MC04-1g05802	aAutosome	aAutosome	NON	6.87304	6.68695	1.027828831	0.039600026	0.75524	0.10668	1.66287	0.56863	0.454179	MvSl-1064-A2-R4_MC04-1g06078	0.75524	0.10672	1.66287	0.56907	0.454179	0	0	0.99999978
MvSl-1064-A1-R4_MC15g12107	aAutosome	aAutosome	NON	5.95584	5.57572	1.068174155	0.095146883	0.5903	0.08044	1.66187	0.42724	0.355202	MvSl-1064-A2-R4_MC15g12356	0.5903	0.08043	1.66187	0.42742	0.355202	0	0	0.999999718
MvSl-1064-A1-R4_MC04-1g05715	aAutosome	aAutosome	NON	6.85338	6.75803	1.014109141	0.020212928	0.7165	0.07254	1.6618	0.42362	0.431159	MvSl-1064-A2-R4_MC04-1g05991	0.7165	0.07254	1.6618	0.42384	0.431159	0	0	0.999999768
MvSl-1064-A1-R4_MC03g04697	aAutosome	aAutosome	NON	1.20938	2.05182	0.589418175	-0.762636547	0.77142	0.09344	1.66074	0.46868	0.464504	MvSl-1064-A2-R4_MC03g04975	0.77142	0.09346	1.66074	0.46909	0.464504	0	0	0.999999785
MvSl-1064-A1-R4_MC10-1g09658	aAutosome	aAutosome	NON	8.02235	8.00915	1.001648115	0.00237577	0.86442	0.14117	1.65866	0.56056	0.521156	MvSl-1064-A2-R4_MC10g09925	0.86442	0.1411	1.65866	0.56078	0.521156	0	0	0.999999808
MvSl-1064-A1-R4_MC01-1g02635	aAutosome	aAutosome	NON	2.20087	2.23852	0.983180852	-0.024471277	0.60657	0.06035	1.63852	0.43168	0.370194	MvSl-1064-A2-R4_MC01g02917	0.60657	0.06035	1.63852	0.43117	0.370194	0	0	0.99999973
MvSl-1064-A1-R4_MC01-1g02656	aAutosome	aAutosome	NON	3.92996	4.08401	0.96227972	-0.05547177	0.87885	0.1302	1.63319	0.54689	0.538119	MvSl-1064-A2-R4_MC01g02938	0.87885	0.13015	1.63319	0.54666	0.538119	0	0	0.999999814
MvSl-1064-A1-R4_MC01-1g02097	aAutosome	aAutosome	NON	5.54041	5.58809	0.991467568	-0.012362514	0.70632	0.05425	1.62412	0.31626	0.434894	MvSl-1064-A2-R4_MC01g02378	0.70632	0.05424	1.62412	0.31647	0.434894	0	0	0.99999977
MvSl-1064-A1-R4_MC09-2g09494	aAutosome	aAutosome	NON	3.74935	3.98178	0.941626609	-0.086773005	0.68646	0.12498	1.58612	0.84022	0.432792	MvSl-1064-A2-R4_MC09g09768	0.68646	0.12496	1.58612	0.84079	0.432792	0	0	0.999999769
MvSl-1064-A1-R4_MC05-2g06449	aAutosome	aAutosome	NON	1.95251	2.98637	0.65380713	-0.613062984	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC05g06723	0.66651	0.0964	1.5821	0.4499	0.421282	-0.66651	-1.58209	0
MvSl-1064-A1-R4_MC05-2g06471	aAutosome	aAutosome	NON	5.34692	5.14642	1.038959121	0.055138891	0.61943	0.0826	1.57551	0.47341	0.393162	MvSl-1064-A2-R4_MC05g06745	0.61943	0.0826	1.57551	0.47367	0.393162	0	0	0.999999746
MvSl-1064-A1-R4_MC09-2g09125	aAutosome	aAutosome	NON	4.91374	4.99653	0.983430501	-0.024104994	0.48201	0.10917	1.56785	0.67435	0.307434	MvSl-1064-A2-R4_MC09g09400	0.48201	0.10916	1.56785	0.67429	0.307434	0	0	0.999999675
MvSl-1064-A1-R4_MC01-1g02405	aAutosome	aAutosome	NON	2.73743	2.53017	1.081915444	0.113587752	0.92902	0.13157	1.56082	0.57242	0.595213	MvSl-1064-A2-R4_MC01g02687	0.92902	0.13162	1.56082	0.57296	0.595213	0	0	0.999999832
MvSl-1064-A1-R4_MC02g04119	aAutosome	aAutosome	NON	5.91511	6.4248	0.920668348	-0.119246547	0	0.00058	0.00001	0	0	MvSl-1064-A2-R4_MC02g04397	0.85796	0.12965	1.56038	0.59077	0.54984	-0.85796	-1.56037	0
MvSl-1064-A1-R4_MC13g11677	aAutosome	aAutosome	NON	6.44782	6.52775	0.987755352	-0.017774336	0.79214	0.08813	1.5568	0.53751	0.508826	MvSl-1064-A2-R4_MC13g11938	0.79214	0.08806	1.5568	0.5352	0.508826	0	0	0.999999803
MvSl-1064-A1-R4_MC10-1g09718	aAutosome	aAutosome	Up	7.2438	6.4711	1.119407829	0.162735742	0.54041	0.08017	1.55626	0.56088	0.347249	MvSl-1064-A2-R4_MC10g09985	0.54041	0.08019	1.55626	0.56073	0.347249	0	0	0.999999712
MvSl-1064-A1-R4_MC03g04570	aAutosome	aAutosome	NON	7.35637	7.30093	1.007593553	0.010913796	0.71652	0.08068	1.54643	0.42348	0.463338	MvSl-1064-A2-R4_MC03g04848	0.71652	0.08066	1.54643	0.42282	0.463338	0	0	0.999999784
MvSl-1064-A1-R4_MC10-2g09978	aAutosome	aAutosome	NON	7.46951	7.33493	1.018347823	0.026230408	0.60148	0.05663	1.54578	0.30259	0.389111	MvSl-1064-A2-R4_MC10g10242	0.60148	0.05663	1.54579	0.30276	0.389108	0	-1.00E-05	1.000007453
MvSl-1064-A1-R4_MC07g08189	aAutosome	aAutosome	NON	5.00664	5.24871	0.953880096	-0.068120166	1.06573	0.16579	1.5306	0.62473	0.696282	MvSl-1064-A2-R4_MC07g08454	1.06573	0.16575	1.5306	0.62487	0.696282	0	0	0.999999856
MvSl-1064-A1-R4_MC07g07649	aAutosome	aAutosome	NON	5.77389	5.72429	1.00866483	0.01244686	0.77108	0.10185	1.50961	0.42802	0.510781	MvSl-1064-A2-R4_MC07g07914	0.77108	0.10184	1.50961	0.42806	0.510781	0	0	0.999999804
MvSl-1064-A1-R4_MC14g11896	aAutosome	aAutosome	NON	7.48674	7.42774	1.007943197	0.011414337	0.86768	0.12424	1.50385	0.56743	0.576972	MvSl-1064-A2-R4_MC14g12157	0.86768	0.12431	1.50385	0.56797	0.576972	0	0	0.999999827
MvSl-1064-A1-R4_MC07g07874	aAutosome	aAutosome	NON	6.51929	6.42446	1.014760774	0.021139657	0.77447	0.10328	1.49127	0.46582	0.519336	MvSl-1064-A2-R4_MC07g08139	0.77447	0.10328	1.49127	0.46588	0.519336	0	0	0.999999807
MvSl-1064-A1-R4_MC12g11188	aAutosome	aAutosome	NON	5.75052	5.50063	1.045429342	0.064095557	0.89834	0.11917	1.48781	0.39772	0.6038	MvSl-1064-A2-R4_MC12g11451	0.89834	0.11911	1.48781	0.39692	0.6038	0	0	0.999999834
MvSl-1064-A1-R4_MC03g04386	aAutosome	aAutosome	NON	5.95738	6.21653	0.958312756	-0.061431522	0.57215	0.07057	1.4834	0.39688	0.385702	MvSl-1064-A2-R4_MC03g04664	0.57215	0.07056	1.4834	0.39641	0.385702	0	0	0.999999741
MvSl-1064-A1-R4_MC04-1g05662	aAutosome	aAutosome	NON	4.93842	5.29594	0.932491682	-0.100837238	0.50602	0.06744	1.47923	0.53822	0.342083	MvSl-1064-A2-R4_MC04-1g05938	0.50602	0.06742	1.47923	0.53823	0.342083	0	0	0.999999708
MvSl-1064-A1-R4_MC02g03525	aAutosome	aAutosome	NON	4.94001	5.01616	0.984819065	-0.022069404	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g03803	0.71616	0.09784	1.47805	0.42591	0.48453	-0.71616	-1.47804	0
MvSl-1064-A1-R4_MC06g07030	aAutosome	aAutosome	NON	5.80045	5.88103	0.986298318	-0.019904021	0.49584	0.07103	1.4747	0.46888	0.336231	MvSl-1064-A2-R4_MC06-1g07293	0.49584	0.07105	1.4747	0.46886	0.336231	0	0	0.999999703
MvSl-1064-A1-R4_MC03g04893	aAutosome	aAutosome	NON	7.59168	7.74783	0.97984597	-0.029373117	0.75591	0.1043	1.02447	0.26323	0.737855	MvSl-1064-A2-R4_MC03g05171	0.82159	0.10234	1.47203	0.35217	0.558134	-0.06568	-0.44756	1.322003081
MvSl-1064-A1-R4_MC13g11466	aAutosome	aAutosome	NON	8.48312	8.43261	1.005989842	0.008615737	0.73839	0.10312	1.46743	0.38557	0.503186	MvSl-1064-A2-R4_MC13g11727	0.73839	0.10312	1.46744	0.38547	0.503182	0	-1.00E-05	1.000007751
MvSl-1064-A1-R4_MC15g12040	aAutosome	aAutosome	NON	3.21433	3.55632	0.903835988	-0.145867093	0.85994	0.11448	1.46603	0.4629	0.586577	MvSl-1064-A2-R4_MC15g12289	0.85994	0.11448	1.46603	0.46253	0.586577	0	0	0.99999983
MvSl-1064-A1-R4_MC07g08024	aAutosome	aAutosome	NON	9.21465	9.25826	0.995289612	-0.006811709	1.34858	0.24793	1.46414	0.47828	0.921073	MvSl-1064-A2-R4_MC07g08289	1.34858	0.24766	1.46414	0.47781	0.921073	0	0	0.999999891
MvSl-1064-A1-R4_MC11g10277	aAutosome	aAutosome	NON	3.11151	3.38944	0.918001204	-0.123432049	0.73452	0.09452	1.45734	0.41114	0.504014	MvSl-1064-A2-R4_MC11g10538	0.73452	0.0945	1.45734	0.41078	0.504014	0	0	0.999999802
MvSl-1064-A1-R4_MC01-1g02653	aAutosome	aAutosome	NON	2.96808	3.16612	0.937450255	-0.093185958	0.93795	0.18225	1.45522	0.69159	0.644542	MvSl-1064-A2-R4_MC01g02935	0.93795	0.18214	1.45522	0.69104	0.644542	0	0	0.999999845
MvSl-1064-A1-R4_MC06g07292	aAutosome	aAutosome	NON	6.76404	6.65709	1.016065578	0.022993519	0.61271	0.07637	1.44807	0.35215	0.423122	MvSl-1064-A2-R4_MC06-2g07557	0.61271	0.07638	1.44807	0.35214	0.423122	0	0	0.999999764
MvSl-1064-A1-R4_MC02g03743	aAutosome	aAutosome	NON	4.1763	3.86308	1.081080381	0.112473796	1.00876	0.13525	1.44174	0.47291	0.699682	MvSl-1064-A2-R4_MC02g04021	1.00876	0.13532	1.44174	0.47183	0.699682	0	0	0.999999857
MvSl-1064-A1-R4_MC04-1g05654	aAutosome	aAutosome	NON	7.24549	7.01197	1.033303052	0.047263436	0.57077	0.09859	1.44149	0.4868	0.395958	MvSl-1064-A2-R4_MC04-1g05930	0.57077	0.0986	1.44149	0.48677	0.395958	0	0	0.999999747
MvSl-1064-A1-R4_MC04-1g05584	aAutosome	aAutosome	NON	6.33638	6.25209	1.013481892	0.019320312	0.45484	0.05608	1.43535	0.39425	0.316884	MvSl-1064-A2-R4_MC04-1g05860	0.45484	0.05609	1.43535	0.39469	0.316884	0	0	0.999999684
MvSl-1064-A1-R4_MC08g08379	aAutosome	aAutosome	NON	5.98291	5.91879	1.010833295	0.01554509	0.91536	0.13435	1.43385	0.41703	0.638393	MvSl-1064-A2-R4_MC08-1g08644	0.91536	0.13439	1.43385	0.41762	0.638393	0	0	0.999999843
MvSl-1064-A1-R4_MC14g11874	aAutosome	aAutosome	NON	6.45178	6.35752	1.014826536	0.021233149	0.57637	0.08971	1.41879	0.50882	0.406241	MvSl-1064-A2-R4_MC14g12135	0.57637	0.08975	1.41879	0.50955	0.406241	0	0	0.999999754
MvSl-1064-A1-R4_MC02g03920	aAutosome	aAutosome	NON	6.85676	6.71261	1.021474508	0.030653201	0.70355	0.10189	1.41472	0.41589	0.497307	MvSl-1064-A2-R4_MC02g04198	0.70355	0.10191	1.41472	0.41569	0.497307	0	0	0.999999799
