genea1	dN	dNse	dS	dSse	dNdS	chr	chrom	DE	expmean	haploid
MvSl-1064-A1-R4_MC08g08299	3.88688	2.80423	0.28716	0.59181	13.5356	aAutosome	aAutosome	NON	7.88702	A1
MvSl-1064-A1-R4_MC06g07404	23.31576	44.844	1.7299	2.46698	13.4781	aAutosome	aAutosome	NON	6.32553	A1
MvSl-1064-A1-R4_MC07g07926	8.01972	11.05608	0.60144	0.52345	13.3342	aAutosome	aAutosome	NON	7.32423	A1
MvSl-1064-A1-R4_A1g00514	25.63933	48.06982	1.92673	4.04938	13.3072	faBlack	NRR	NON	8.17824	A1
MvSl-1064-A2-R4_MC06-2g07581	0.00722	0.00418	0.00055	0.00032	13.1249	aAutosome	aAutosome	NON	5.73747	A2
MvSl-1064-A1-R4_MC06g07317	24.3405	32.35163	1.8657	1.98564	13.0463	aAutosome	aAutosome	NON	5.9098	A1
MvSl-1064-A1-R4_MC04-1g05759	9.60345	8.19473	0.73899	0.53095	12.9954	aAutosome	aAutosome	NON	3.65146	A1
MvSl-1064-A1-R4_MC06g07331	19.72896	27.70684	1.52462	2.18854	12.9402	aAutosome	aAutosome	NON	6.91951	A1
MvSl-1064-A1-R4_MC02g04169	3.99901	3.07856	0.30918	0.5031	12.9342	aAutosome	aAutosome	NON	6.76512	A1
MvSl-1064-A1-R4_MC13g11696	5.60334	4.4919	0.43351	1.01087	12.9255	aAutosome	aAutosome	NON	6.0716	A1
MvSl-1064-A1-R4_MC06g06980	23.11639	23.14679	1.7936	1.95575	12.8883	aAutosome	aAutosome	NON	6.98545	A1
MvSl-1064-A1-R4_MC01-1g02614	25.2776	53.71761	1.98668	5.01345	12.7235	aAutosome	aAutosome	NON	6.6012	A1
MvSl-1064-A1-R4_MC12g10913	24.73388	34.16042	1.95444	2.00021	12.6552	aAutosome	aAutosome	NON	4.58995	A1
MvSl-1064-A1-R4_MC14g11847	21.3629	51.1225	1.711	2.42314	12.4856	aAutosome	aAutosome	NON	7.43117	A1
MvSl-1064-A1-R4_MC10-1g09699	25.20431	50.06065	2.02051	4.04719	12.4742	aAutosome	aAutosome	NON	7.29754	A1
MvSl-1064-A1-R4_MC04-1g05728	21.66369	22.75514	1.7394	2.00667	12.4547	aAutosome	aAutosome	NON	7.43076	A1
MvSl-1064-A1-R4_MC07g07597	22.93119	64.05361	1.84659	4.32608	12.4181	aAutosome	aAutosome	Down	7.05837	A1
MvSl-1064-A1-R4_MC10-1g09714	5.72994	6.87084	0.46327	0.50113	12.3685	aAutosome	aAutosome	NON	7.3291	A1
MvSl-1064-A1-R4_MC03g04610	17.93246	31.18251	1.45532	2.57225	12.322	aAutosome	aAutosome	NON	8.57276	A1
MvSl-1064-A1-R4_MC02g03579	24.96071	76.61605	2.03136	5.48626	12.2877	aAutosome	aAutosome	NON	1.44348	A1
MvSl-1064-A1-R4_MC01-1g02527	9.76604	11.26632	0.795	2.62053	12.2843	aAutosome	aAutosome	NON	5.70946	A1
MvSl-1064-A1-R4_A1g00403	24.54349	28.13755	2.01637	2.36252	12.1721	dRed	NRR	NON	6.94312	A1
MvSl-1064-A1-R4_MC04-1g05653	24.49591	38.51772	2.03535	3.03086	12.0352	aAutosome	aAutosome	NON	5.92548	A1
MvSl-1064-A1-R4_MC02g03636	1.02472	0	0.08533	0.13354	12.0089	aAutosome	aAutosome	NON	5.61978	A1
MvSl-1064-A1-R4_MC09-2g09377	1.14894	0.40719	0.09614	0.11061	11.9507	aAutosome	aAutosome	NON	7.54369	A1
MvSl-1064-A1-R4_MC04-1g05557	23.90949	35.80612	2.02332	2.91017	11.817	aAutosome	aAutosome	NON	7.02159	A1
MvSl-1064-A1-R4_MC02g03490	3.78509	2.13275	0.32328	0.64293	11.7084	aAutosome	aAutosome	NON	5.80908	A1
MvSl-1064-A1-R4_MC10-1g09677	11.78546	4.08507	1.01183	1.63145	11.6477	aAutosome	aAutosome	NON	6.9189	A1
MvSl-1064-A1-R4_MC02g04092	7.56048	3.52269	0.65218	0.50127	11.5926	aAutosome	aAutosome	NON	6.29358	A1
MvSl-1064-A1-R4_MC14g11751	22.6894	60.55466	1.96352	2.99412	11.5555	aAutosome	aAutosome	NON	6.0985	A1
MvSl-1064-A1-R4_MC13g11330	22.54389	36.40032	1.9539	2.49853	11.5379	aAutosome	aAutosome	Up	6.71484	A1
MvSl-1064-A1-R4_MC10-2g10026	23.52444	23.6582	2.03984	2.63809	11.5325	aAutosome	aAutosome	Up	7.15271	A1
MvSl-1064-A1-R4_A1g00922	2.82963	7.57151	0.2454	0.28224	11.5307	faBlack	NRR	NON	6.42017	A1
MvSl-1064-A1-R4_MC07g07708	22.67011	34.66794	1.96833	2.416	11.5174	aAutosome	aAutosome	NON	3.38545	A1
MvSl-1064-A1-R4_MC12g10838	3.80498	2.38306	0.33973	0.24487	11.2	aAutosome	aAutosome	NON	6.7759	A1
MvSl-1064-A1-R4_MC02g04152	20.99917	31.13949	1.87897	2.41492	11.1759	aAutosome	aAutosome	NON	9.7896	A1
MvSl-1064-A1-R4_MC04-1g05662	20.84589	38.35321	1.87185	3.02996	11.1365	aAutosome	aAutosome	NON	4.93842	A1
MvSl-1064-A1-R4_MC01-1g02348	6.73455	12.41875	0.61121	1.9222	11.0184	aAutosome	aAutosome	NON	6.42097	A1
MvSl-1064-A1-R4_MC12g11072	17.7053	33.50314	1.61418	2.46949	10.9686	aAutosome	aAutosome	NON	4.66019	A1
MvSl-1064-A1-R4_MC04-1g05676	2.38978	1.09927	0.21963	0.72435	10.8809	aAutosome	aAutosome	NON	6.42916	A1
MvSl-1064-A1-R4_MC09-2g09075	11.15013	0	1.03069	4.01779	10.8181	aAutosome	aAutosome	NON	2.98826	A1
MvSl-1064-A2-R4_MC07g08392	0.01632	0.00709	0.00151	0.00066	10.8072	aAutosome	aAutosome	NON	6.57448	A2
MvSl-1064-A1-R4_MC11g10334	20.79294	23.26745	1.93826	2.1005	10.7276	aAutosome	aAutosome	NON	6.35017	A1
MvSl-1064-A1-R4_MC03g04422	4.28456	3.31819	0.40411	0.33335	10.6025	aAutosome	aAutosome	NON	5.66656	A1
MvSl-1064-A1-R4_MC03g04690	19.80971	62.90457	1.89312	4.3953	10.4641	aAutosome	aAutosome	NON	4.99961	A1
MvSl-1064-A1-R4_MC14g11810	4.93966	4.3824	0.48016	0.58844	10.2875	aAutosome	aAutosome	NON	1.31035	A1
MvSl-1064-A1-R4_MC05-3g06663	9.0345	8.33193	0.8791	0.75396	10.277	aAutosome	aAutosome	NON	2.78831	A1
MvSl-1064-A1-R4_MC02g03843	11.10986	16.50484	1.08151	1.98455	10.2725	aAutosome	aAutosome	NON	5.91669	A1
MvSl-1064-A1-R4_MC13g11597	6.84787	6.19832	0.67265	0.76655	10.1804	aAutosome	aAutosome	NON	5.76866	A1
MvSl-1064-A1-R4_MC03g04431	4.06061	3.07455	0.41418	0.336	9.80397	aAutosome	aAutosome	NON	3.70881	A1
MvSl-1064-A1-R4_MC09-2g09457	20.78747	31.94641	2.12767	3.43281	9.77006	aAutosome	aAutosome	NON	5.1113	A1
MvSl-1064-A1-R4_MC03g05261	9.53204	19.1165	1.00377	0.72961	9.49624	aAutosome	aAutosome	NON	7.19391	A1
MvSl-1064-A1-R4_MC01-1g01923	9.23933	14.33489	0.9742	2.4589	9.48402	aAutosome	aAutosome	NON	6.93216	A1
MvSl-1064-A1-R4_MC08g08642	20.47032	36.88969	2.16079	4.90733	9.47354	aAutosome	aAutosome	NON	8.52734	A1
MvSl-1064-A1-R4_MC02g03987	19.88289	41.56699	2.0989	8.3014	9.473	aAutosome	aAutosome	NON	6.63139	A1
MvSl-1064-A1-R4_MC01-1g01800	3.87617	3.3826	0.4095	0.63161	9.46562	aAutosome	aAutosome	NON	7.73704	A1
MvSl-1064-A1-R4_MC06g07502	8.35333	10.14781	0.89528	0.7882	9.33041	aAutosome	aAutosome	NON	5.56267	A1
MvSl-1064-A1-R4_MC08g08632	6.98516	8.44223	0.75299	1.73974	9.27656	aAutosome	aAutosome	NON	9.15757	A1
MvSl-1064-A1-R4_MC02g04108	0.86491	0.91091	0.09389	0.38258	9.21195	aAutosome	aAutosome	NON	5.51068	A1
MvSl-1064-A1-R4_MC08g08323	7.09662	0	0.79237	0	8.95619	aAutosome	aAutosome	NON	4.7547	A1
MvSl-1064-A1-R4_MC08g08497	13.94114	33.39066	1.57358	3.41349	8.85951	aAutosome	aAutosome	NON	4.27612	A1
MvSl-1064-A1-R4_MC03g04810	7.56158	12.51076	0.86119	0.7744	8.78039	aAutosome	aAutosome	NON	5.66056	A1
MvSl-1064-A1-R4_MC01-1g02045	4.16179	4.25061	0.47569	0.57478	8.74895	aAutosome	aAutosome	NON	5.47905	A1
MvSl-1064-A1-R4_MC01-1g02433	3.55458	2.48392	0.41238	0.36961	8.61967	aAutosome	aAutosome	NON	7.98385	A1
MvSl-1064-A1-R4_MC02g04054	9.49621	17.89451	1.10327	1.17869	8.60733	aAutosome	aAutosome	NON	4.78675	A1
MvSl-1064-A1-R4_MC02g03670	8.4119	9.08123	0.98301	1.25112	8.55729	aAutosome	aAutosome	NON	6.2239	A1
MvSl-1064-A1-R4_MC07g07662	3.92313	2.95174	0.45974	1.03979	8.53337	aAutosome	aAutosome	NON	7.70403	A1
MvSl-1064-A2-R4_MC09g09777	0.00323	0.00163	0.00038	0.00019	8.49776	aAutosome	aAutosome	NON	5.83924	A2
MvSl-1064-A1-R4_MC04-1g05763	7.11612	12.57203	0.85716	1.02772	8.30197	aAutosome	aAutosome	NON	5.87442	A1
MvSl-1064-A1-R4_MC10-2g10064	2.67134	2.3267	0.32546	1.17165	8.20789	aAutosome	aAutosome	NON	6.46163	A1
MvSl-1064-A1-R4_MC15g12082	3.61378	4.57288	0.4423	0.54406	8.17043	aAutosome	aAutosome	Up	2.28575	A1
MvSl-1064-A1-R4_MC04-1g06036	7.49683	10.18985	0.92242	1.54454	8.12735	aAutosome	aAutosome	NON	4.34424	A1
MvSl-1064-A1-R4_MC09-2g09479	3.20337	4.46922	0.4007	0.41128	7.99443	aAutosome	aAutosome	NON	9.54914	A1
MvSl-1064-A1-R4_MC09-2g09482	3.20337	4.35037	0.4007	0.41251	7.99443	aAutosome	aAutosome	NON	7.65598	A1
MvSl-1064-A1-R4_MC06g07240	1.42327	0	0.17841	0.04274	7.97752	aAutosome	aAutosome	NON	5.8764	A1
MvSl-1064-A1-R4_MC02g03697	3.50196	2.48059	0.45296	0.58186	7.73128	aAutosome	aAutosome	NON	6.45815	A1
MvSl-1064-A1-R4_MC05-3g06802	2.48705	1.98156	0.32525	1.01098	7.64658	aAutosome	aAutosome	NON	-0.278137	A1
MvSl-1064-A1-R4_MC09-2g09297	3.34939	9.56889	0.4392	0.38484	7.62612	aAutosome	aAutosome	NON	4.88833	A1
MvSl-1064-A1-R4_MC13g11378	6.37854	4.05717	0.84235	1.19613	7.57232	aAutosome	aAutosome	NON	7.6502	A1
MvSl-1064-A1-R4_MC03g04366	8.80744	17.22508	1.20516	2.07284	7.30811	aAutosome	aAutosome	NON	6.42423	A1
MvSl-1064-A1-R4_MC03g04893	2.08161	0.87238	0.28645	0.62204	7.26692	aAutosome	aAutosome	NON	7.59168	A1
MvSl-1064-A1-R4_MC04-1g05337	7.018	8.04954	0.96606	1.17106	7.26456	aAutosome	aAutosome	NON	5.80715	A1
MvSl-1064-A1-R4_MC13g11466	13.50953	37.6856	1.86358	3.01754	7.24924	aAutosome	aAutosome	NON	8.48312	A1
MvSl-1064-A1-R4_MC10-1g09762	2.17964	1.68705	0.30386	0.22444	7.17317	aAutosome	aAutosome	NON	6.08789	A1
MvSl-1064-A1-R4_MC06g07300	2.2858	1.59617	0.33002	0.41259	6.92625	aAutosome	aAutosome	NON	5.6397	A1
MvSl-1064-A1-R4_MC03g04483	1.14209	0.49028	0.17141	0.21153	6.66291	aAutosome	aAutosome	NON	5.02702	A1
MvSl-1064-A1-R4_MC07g07705	1.02511	0.68115	0.15558	0.14948	6.58896	aAutosome	aAutosome	NON	7.4548	A1
MvSl-1064-A1-R4_MC01-1g02601	3.5142	3.72371	0.53877	0.5589	6.52263	aAutosome	aAutosome	NON	1.72328	A1
MvSl-1064-A1-R4_MC09-2g09442	0.62634	0.21877	0.0968	0.16232	6.47045	aAutosome	aAutosome	NON	4.59999	A1
MvSl-1064-A1-R4_MC10-2g10112	2.74583	1.47923	0.42448	0.63059	6.46869	aAutosome	aAutosome	NON	5.76615	A1
MvSl-1064-A1-R4_MC09-2g08961	6.38095	6.20107	0.99804	0.67092	6.39348	aAutosome	aAutosome	NON	5.02923	A1
MvSl-1064-A1-R4_MC14g11823	3.66066	4.41184	0.57757	0.57147	6.33804	aAutosome	aAutosome	NON	6.56001	A1
MvSl-1064-A1-R4_MC02g03883	6.711	9.52817	1.06875	1.6481	6.2793	aAutosome	aAutosome	NON	0.46785	A1
MvSl-1064-A1-R4_MC03g04413	5.62107	8.6307	0.8958	1.11923	6.27492	aAutosome	aAutosome	NON	5.85302	A1
MvSl-1064-A1-R4_MC06g07396	8.77629	0	1.4088	1.89235	6.22962	aAutosome	aAutosome	NON	7.31974	A1
MvSl-1064-A1-R4_MC13g11639	7.50616	7.57887	1.22412	1.10771	6.13188	aAutosome	aAutosome	NON	4.46772	A1
MvSl-1064-A1-R4_MC01-1g01788	9.17182	13.1966	1.50328	1.34459	6.10121	aAutosome	aAutosome	NON	6.53479	A1
MvSl-1064-A1-R4_MC04-1g05731	2.53946	1.411	0.42166	0.50633	6.02253	aAutosome	aAutosome	NON	8.58931	A1
MvSl-1064-A1-R4_A1g00004	2.99368	2.2295	0.4972	0.69762	6.02108	bPAR	bPAR	NON	6.28338	A1
MvSl-1064-A1-R4_MC06g07185	10.42921	11.84506	1.73336	3.01711	6.01676	aAutosome	aAutosome	NON	8.14391	A1
MvSl-1064-A1-R4_MC07g07711	5.48114	0	0.91105	0	6.01629	aAutosome	aAutosome	NON	8.20659	A1
MvSl-1064-A1-R4_MC05-3g06514	1.45744	0.5549	0.24309	0.28223	5.99547	aAutosome	aAutosome	Up	9.12149	A1
MvSl-1064-A1-R4_A1g01501	2.86771	2.54736	0.4821	0.8258	5.94837	bPAR	bPAR	NON	6.25275	A1
MvSl-1064-A1-R4_MC01-1g02832	3.88605	2.33047	0.65373	0.83517	5.94443	aAutosome	aAutosome	NON	3.71032	A1
MvSl-1064-A1-R4_MC01-1g02093	9.59439	11.18293	1.61664	1.663	5.93477	aAutosome	aAutosome	NON	6.5906	A1
MvSl-1064-A1-R4_MC04-1g05504	5.49249	4.68673	0.93423	1.09732	5.87916	aAutosome	aAutosome	NON	5.68721	A1
MvSl-1064-A1-R4_MC12g11266	3.63404	3.61879	0.62046	0.8496	5.85701	aAutosome	aAutosome	NON	5.67124	A1
MvSl-1064-A1-R4_MC08g08354	6.49033	6.0202	1.11224	0.95552	5.83537	aAutosome	aAutosome	NON	7.64616	A1
MvSl-1064-A1-R4_MC04-1g05702	1.46614	1.08506	0.25325	0.37454	5.7893	aAutosome	aAutosome	NON	6.80245	A1
MvSl-1064-A1-R4_MC02g03599	2.25629	1.77726	0.39243	0.42153	5.74953	aAutosome	aAutosome	NON	2.91843	A1
MvSl-1064-A1-R4_MC07g07909	5.345	6.26726	0.93774	2.94773	5.69987	aAutosome	aAutosome	NON	5.8453	A1
MvSl-1064-A2-R4_MC09g09411	0.00321	0.00186	0.00057	0.00033	5.63059	aAutosome	aAutosome	NON	6.29504	A2
MvSl-1064-A1-R4_MC03g04553	5.03469	4.60961	0.89604	0.63792	5.61882	aAutosome	aAutosome	NON	6.67101	A1
MvSl-1064-A1-R4_MC14g11937	3.13965	2.82267	0.56456	0.54241	5.56123	aAutosome	aAutosome	NON	5.6293	A1
MvSl-1064-A1-R4_MC11g10350	7.05152	6.45989	1.28129	0	5.50345	aAutosome	aAutosome	NON	7.09914	A1
MvSl-1064-A1-R4_MC07g08033	11.85558	20.95905	2.15459	3.052	5.50248	aAutosome	aAutosome	NON	6.5437	A1
MvSl-1064-A1-R4_MC02g03291	6.81332	5.53123	1.24269	0.90395	5.48272	aAutosome	aAutosome	NON	7.34708	A1
MvSl-1064-A1-R4_MC01-1g02411	2.36384	1.98404	0.43237	0.56913	5.46717	aAutosome	aAutosome	NON	7.59015	A1
MvSl-1064-A1-R4_MC03g05056	3.26007	2.22356	0.60429	0.56415	5.39488	aAutosome	aAutosome	NON	5.88575	A1
MvSl-1064-A1-R4_MC02g04036	2.62757	1.19554	0.49021	0.38224	5.36009	aAutosome	aAutosome	NON	4.49447	A1
MvSl-1064-A1-R4_MC11g10307	3.29505	2.31554	0.6304	1.04589	5.22692	aAutosome	aAutosome	NON	4.89964	A1
MvSl-1064-A1-R4_MC06g07532	3.51169	3.83956	0.67204	1.27925	5.22542	aAutosome	aAutosome	NON	4.42238	A1
MvSl-1064-A1-R4_MC08g08779	8.16382	10.2993	1.58746	1.85686	5.14269	aAutosome	aAutosome	NON	7.34054	A1
MvSl-1064-A1-R4_MC01-1g01805	2.55441	2.05061	0.49717	0.49599	5.1379	aAutosome	aAutosome	NON	5.91327	A1
MvSl-1064-A2-R4_MC12g11022	0.01088	0.00631	0.00213	0.00191	5.10774	aAutosome	aAutosome	NON	5.93999	A2
MvSl-1064-A1-R4_MC13g11611	2.49076	2.94588	0.49818	0.7545	4.99972	aAutosome	aAutosome	NON	4.94205	A1
MvSl-1064-A1-R4_MC02g03908	4.9927	5.87633	1.00248	1.2513	4.98035	aAutosome	aAutosome	NON	4.38512	A1
MvSl-1064-A2-R4_MC07g08201	0.03981	0.01309	0.0081	0	4.91475	aAutosome	aAutosome	NON	6.21571	A2
