genea1	dN	dNse	dS	dSse	dNdS	chr	chrom	DE	expmean	haploid
MvSl-1064-A1-R4_A1g00040	22.74871	34.2758	1.08765	1.20933	20.9155	bPAR	bPAR	NON	1.1263	A1
MvSl-1064-A1-R4_A1g00046	0.52005	0.19564	6.43973	5.89816	0.0807565	bPAR	bPAR	NON	3.98661	A1
MvSl-1064-A1-R4_A1g00047	1.09982	0.66064	9.80272	23.64965	0.112195	bPAR	bPAR	NON	5.03772	A1
MvSl-1064-A1-R4_A1g00048	0	0	0	0	0	bPAR	bPAR	NON	4.8138	A1
MvSl-1064-A1-R4_A1g00049	7.24987	3.66343	0.07323	0.27355	99.0014	bPAR	bPAR	NON	5.34395	A1
MvSl-1064-A1-R4_A1g00050	0	0.0816	0	0.00082	0	bPAR	bPAR	NON	5.25409	A1
MvSl-1064-A1-R4_A1g00051	0.48347	0.24241	35.25649	150.48391	0.0137129	bPAR	bPAR	NON	7.06914	A1
MvSl-1064-A1-R4_A1g00053	0.02542	0.02545	0.00026	0	97.7689	bPAR	bPAR	NON	6.61109	A1
MvSl-1064-A1-R4_A1g00055	0	0.17748	0	0.00181	0	bPAR	bPAR	NON	5.14162	A1
MvSl-1064-A1-R4_A1g00056	17.0289	153.93038	14.9817	170.18732	1.13665	bPAR	bPAR	NON	8.49956	A1
MvSl-1064-A1-R4_A1g00057	0	0	0.00001	0	0	bPAR	bPAR	NON	4.56746	A1
MvSl-1064-A1-R4_A1g00061	1.4205	0.69447	44.74278	61.56041	0.0317481	bPAR	bPAR	NON	7.15309	A1
MvSl-1064-A1-R4_A1g00062	1.57826	0.752	2.99627	3.30276	0.526742	bPAR	bPAR	NON	6.00055	A1
MvSl-1064-A1-R4_A1g00063	0	0	0.00001	0	0	bPAR	bPAR	NON	5.0366	A1
MvSl-1064-A1-R4_A1g00064	1.29155	0.5539	38.93235	79.48502	0.0331742	bPAR	bPAR	NON	8.1332	A1
MvSl-1064-A1-R4_A1g00065	5.94034	14.4307	4.98399	9.8604	1.19188	bPAR	bPAR	NON	7.36661	A1
MvSl-1064-A1-R4_A1g00068	26.79319	51.40148	0.49811	0.64922	53.7897	bPAR	bPAR	NON	0.889458	A1
MvSl-1064-A1-R4_A1g00069	0.97611	0.53137	47.75784	190.91187	0.0204387	bPAR	bPAR	NON	5.81618	A1
MvSl-1064-A1-R4_A1g00070	1.27427	0.4776	0.59478	0.52931	2.14242	bPAR	bPAR	NON	7.39862	A1
MvSl-1064-A1-R4_A1g00071	1.86937	0.93924	35.20305	190.60038	0.0531025	bPAR	bPAR	NON	4.23528	A1
MvSl-1064-A1-R4_A1g00072	0.69672	0.3397	10.28697	27.05867	0.0677284	bPAR	bPAR	NON	7.81151	A1
MvSl-1064-A1-R4_A1g00073	1.28079	0.57056	55.67207	137.54356	0.023006	bPAR	bPAR	Down	4.57478	A1
MvSl-1064-A1-R4_A1g00074	0	0	0	0	0	bPAR	bPAR	NON	8.9551	A1
MvSl-1064-A1-R4_A1g00076	22.34205	29.695	0.24797	0.83332	90.0998	bPAR	bPAR	NON	7.07177	A1
MvSl-1064-A1-R4_A1g00077	0.12724	0.05751	0.14334	0.08454	0.88768	bPAR	bPAR	NON	6.59561	A1
MvSl-1064-A1-R4_A1g00078	0	0.00023	0.00002	0.03985	0	bPAR	bPAR	Up	7.5136	A1
MvSl-1064-A1-R4_A1g00079	1.16732	0.60545	25.16564	73.36229	0.0463855	bPAR	bPAR	Up	6.20536	A1
MvSl-1064-A1-R4_A1g00107	0.25089	0.13654	50.06096	194.22989	0.00501169	faBlack	NRR	Up	1.97046	A1
MvSl-1064-A1-R4_A1g00109	2.66766	1.59181	3.76779	4.65547	0.708017	cGreen	NRR	NON	7.10288	A1
MvSl-1064-A1-R4_A1g00110	0.85743	0.39952	1.63753	1.51521	0.523612	cGreen	NRR	NON	8.08802	A1
MvSl-1064-A1-R4_A1g00113	0	0.03052	0	0.00031	0	cGreen	NRR	NON	7.96071	A1
MvSl-1064-A1-R4_A1g00144	0	0.00009	0.00001	0	0	faBlack	NRR	NON	6.78608	A1
MvSl-1064-A1-R4_A1g00153	2.0396	0	93.27829	410.1701	0.0218658	faBlack	NRR	NON	7.96759	A1
MvSl-1064-A1-R4_A1g00154	0.73738	0.23966	51.52996	81.7827	0.0143097	faBlack	NRR	Up	5.37663	A1
MvSl-1064-A1-R4_A1g00155	0	0.0001	0.00001	0	0	faBlack	NRR	NON	6.07553	A1
MvSl-1064-A1-R4_A1g00165	12.9678	83.08452	27.49303	0	0.471676	faBlack	NRR	Up	7.88292	A1
MvSl-1064-A1-R4_A1g00175	0	0.00009	0.00001	0.01947	0	gPurple	NRR	NON	7.22224	A1
MvSl-1064-A1-R4_A1g00185	0	0.00074	0.00001	0.02304	0	gPurple	NRR	NON	8.19607	A1
MvSl-1064-A1-R4_A1g00209	1.23346	0.5449	8.13931	12.26321	0.151544	faBlack	NRR	Up	6.28399	A1
MvSl-1064-A1-R4_A1g00210	0.80029	0.1594	1.35198	0.0614	0.591939	faBlack	NRR	NON	5.32552	A1
MvSl-1064-A1-R4_A1g00211	0	0	0.00001	0	0	faBlack	NRR	NON	8.93073	A1
MvSl-1064-A1-R4_A1g00241	0.00001	0	0	0	10000	faBlack	NRR	Down	7.20617	A1
MvSl-1064-A1-R4_A1g00242	0.22719	0.08636	0.4278	0.23731	0.531066	faBlack	NRR	Down	5.27274	A1
MvSl-1064-A1-R4_A1g00246	0.55615	0.24789	53.40949	61.58634	0.0104129	faBlack	NRR	Down	5.84973	A1
MvSl-1064-A1-R4_A1g00254	1.12988	0.4695	67.97083	349.64805	0.016623	faBlack	NRR	Up	5.43568	A1
MvSl-1064-A1-R4_A1g00270	0.97332	0.37552	78.59434	188.25531	0.0123841	faBlack	NRR	Up	5.98653	A1
MvSl-1064-A1-R4_A1g00280	0	0	0.00001	0	0	faBlack	NRR	NON	7.75692	A1
MvSl-1064-A1-R4_A1g00281	0.89497	1.49409	1.80833	4.16376	0.494915	faBlack	NRR	NON	6.37088	A1
MvSl-1064-A1-R4_A1g00290	0.82024	0.34383	108.33189	686.21099	0.00757155	faBlack	NRR	NON	7.13811	A1
MvSl-1064-A1-R4_A1g00292	0.65574	0.34068	0.96578	0.81916	0.678975	faBlack	NRR	Up	7.22122	A1
MvSl-1064-A1-R4_A1g00307	0	0	0.00001	0	0	faBlack	NRR	NON	6.77776	A1
MvSl-1064-A1-R4_A1g00311	3.74727	0	0.03785	0.22123	99.0032	faBlack	NRR	NON	8.27128	A1
MvSl-1064-A1-R4_A1g00312	0	0.00002	0.00001	0.0045	0	faBlack	NRR	Up	9.31927	A1
MvSl-1064-A1-R4_A1g00326	0	0.05178	0	0.00052	0	faBlack	NRR	Down	-3.35702	A1
MvSl-1064-A1-R4_A1g00327	0.33353	0.22799	1.64325	2.96326	0.20297	faBlack	NRR	NON	4.2327	A1
MvSl-1064-A1-R4_A1g00351	0.75989	0.45874	76.72518	286.19144	0.00990405	faBlack	NRR	NON	8.4489	A1
MvSl-1064-A1-R4_A1g00352	0	0.00014	0.00001	0	0	faBlack	NRR	NON	5.49701	A1
MvSl-1064-A1-R4_A1g00359	0.73464	0.48299	0.33582	0.37813	2.1876	faBlack	NRR	NON	8.74363	A1
MvSl-1064-A1-R4_A1g00367	0	0.01182	0.00001	0.02815	0	dRed	NRR	NON	4.2295	A1
MvSl-1064-A1-R4_A1g00368	22.72784	22.60939	0.6081	0.84933	37.3752	dRed	NRR	NON	6.21284	A1
MvSl-1064-A1-R4_A1g00369	1.14859	0.45874	0.47763	0.30785	2.40477	dRed	NRR	NON	7.09591	A1
MvSl-1064-A1-R4_A1g00370	3.76769	2.7026	0.03806	0.08501	98.9934	dRed	NRR	NON	7.02343	A1
MvSl-1064-A1-R4_A1g00371	0.57959	0.28071	48.64328	151.28265	0.0119151	dRed	NRR	NON	7.45264	A1
MvSl-1064-A1-R4_A1g00372	12.12207	6.47282	0.12245	0.30156	98.9961	dRed	NRR	NON	7.34725	A1
MvSl-1064-A1-R4_A1g00373	0	0.00019	0.00001	0.02745	0	dRed	NRR	NON	5.45468	A1
MvSl-1064-A1-R4_A1g00374	18.75444	33.05977	12.31657	24.68111	1.5227	dRed	NRR	NON	7.67469	A1
MvSl-1064-A1-R4_A1g00390	20.91411	37.01476	7.23336	14.20331	2.89134	dRed	NRR	NON	5.09269	A1
MvSl-1064-A1-R4_A1g00391	9.07502	14.90604	2.52084	2.82638	3.6	dRed	NRR	NON	6.97601	A1
MvSl-1064-A1-R4_A1g00394	11.72463	28.30687	22.89374	62.00096	0.512133	dRed	NRR	NON	6.28567	A1
MvSl-1064-A1-R4_A1g00395	1.94026	1.06524	48.29098	144.84217	0.0401785	dRed	NRR	NON	8.31047	A1
MvSl-1064-A1-R4_A1g00396	2.01479	1.12637	2.32522	1.66056	0.866494	dRed	NRR	NON	7.64196	A1
MvSl-1064-A1-R4_A1g00398	1.46377	0.59163	16.99564	49.62552	0.0861262	dRed	NRR	NON	8.12088	A1
MvSl-1064-A1-R4_A1g00399	0	0.00005	0.00002	0.00236	0	dRed	NRR	NON	7.90739	A1
MvSl-1064-A1-R4_A1g00400	0.82833	0.39846	59.74128	172.14861	0.0138653	dRed	NRR	Up	5.20188	A1
MvSl-1064-A1-R4_A1g00401	3.82902	1.67541	2.01452	1.48701	1.90071	dRed	NRR	NON	7.46416	A1
MvSl-1064-A1-R4_A1g00402	0	0.03074	0	0.06046	0	dRed	NRR	NON	7.88788	A1
MvSl-1064-A1-R4_A1g00403	24.54349	28.13755	2.01637	2.36252	12.1721	dRed	NRR	NON	6.94312	A1
MvSl-1064-A1-R4_A1g00404	21.1509	29.33918	3.38949	4.57797	6.24014	dRed	NRR	NON	3.25203	A1
MvSl-1064-A1-R4_A1g00405	0	0	0	0	0	dRed	NRR	NON	4.91736	A1
MvSl-1064-A1-R4_A1g00433	1.30701	0.47813	5.94069	8.88799	0.22001	faBlack	NRR	NON	5.48775	A1
MvSl-1064-A1-R4_A1g00441	0.41578	0.14877	5.13066	5.14531	0.0810383	gPurple	NRR	NON	5.36297	A1
MvSl-1064-A1-R4_A1g00478	1.45739	0.51891	6.1079	14.80638	0.238607	fBlue	NRR	NON	7.12428	A1
MvSl-1064-A1-R4_A1g00481	11.63505	144.6381	8.26598	107.58174	1.40758	faBlack	NRR	NON	3.14207	A1
MvSl-1064-A1-R4_A1g00492	12.68349	73.07372	35.34196	471.42369	0.358879	faBlack	NRR	NON	4.59952	A1
MvSl-1064-A1-R4_A1g00495	0	0	0.00001	0	0	fBlue	NRR	Up	7.62627	A1
MvSl-1064-A1-R4_A1g00503	8.67185	1.8197	0.08759	0.2635	99.005	faBlack	NRR	NON	6.40021	A1
MvSl-1064-A1-R4_A1g00504	2.87075	1.50302	42.36063	89.18152	0.0677693	faBlack	NRR	NON	3.63611	A1
MvSl-1064-A1-R4_A1g00505	0.11045	0.1164	80.85177	158.32999	0.00136608	faBlack	NRR	NON	6.32966	A1
MvSl-1064-A1-R4_A1g00506	1.56066	0.70456	2.61044	3.10561	0.597853	faBlack	NRR	NON	4.94461	A1
MvSl-1064-A1-R4_A1g00507	0.96294	0.36258	2.18037	2.10653	0.441641	faBlack	NRR	NON	5.87003	A1
MvSl-1064-A1-R4_A1g00510	0	0	0.00001	0	0	faBlack	NRR	NON	5.78679	A1
MvSl-1064-A1-R4_A1g00513	3.69665	1.71988	0.03734	0.09625	98.9997	faBlack	NRR	NON	5.75686	A1
MvSl-1064-A1-R4_A1g00514	25.63933	48.06982	1.92673	4.04938	13.3072	faBlack	NRR	NON	8.17824	A1
MvSl-1064-A1-R4_A1g00515	0	0.01622	0.00001	0.03418	0	faBlack	NRR	NON	5.49204	A1
MvSl-1064-A1-R4_A1g00516	6.73915	10.75911	30.67257	61.82247	0.219713	faBlack	NRR	Up	9.00577	A1
MvSl-1064-A1-R4_A1g00518	2.2929	0.65591	1.71658	1.36333	1.33574	faBlack	NRR	NON	6.47379	A1
MvSl-1064-A1-R4_A1g00519	0	0	0	0	0	faBlack	NRR	NON	7.3177	A1
MvSl-1064-A1-R4_A1g00520	0.00001	0	0	0	10000	faBlack	NRR	NON	5.6604	A1
MvSl-1064-A1-R4_A1g00521	1.15691	0.49946	3.09092	6.23063	0.374293	faBlack	NRR	NON	6.11793	A1
MvSl-1064-A1-R4_A1g00522	0.53328	0.24238	2.24648	2.25887	0.237385	faBlack	NRR	Up	2.27398	A1
MvSl-1064-A1-R4_A1g00525	24.71006	30.21493	0.2496	0.62701	98.9986	faBlack	NRR	NON	7.49626	A1
MvSl-1064-A1-R4_A1g00527	0.61358	0.36735	10.28984	13.4088	0.0596297	faBlack	NRR	NON	5.07576	A1
MvSl-1064-A1-R4_A1g00528	1.00182	0.53833	2.58445	2.65375	0.387634	faBlack	NRR	NON	2.67387	A1
MvSl-1064-A1-R4_A1g00530	0.66577	0.41871	7.8819	18.10243	0.0844682	faBlack	NRR	NON	6.85964	A1
MvSl-1064-A1-R4_A1g00532	0	0.00005	0.00001	0	0	faBlack	NRR	NON	5.16366	A1
MvSl-1064-A1-R4_A1g00534	19.21785	50.8386	9.37396	76.08347	2.05013	faBlack	NRR	NON	7.75529	A1
MvSl-1064-A1-R4_A1g00541	0	0.00107	0.00001	0	0	faBlack	NRR	NON	6.28255	A1
MvSl-1064-A1-R4_A1g00542	0.65789	0.28799	1.60176	1.57178	0.410729	faBlack	NRR	NON	5.03925	A1
MvSl-1064-A1-R4_A1g00543	0.80834	0.35226	63.58653	0	0.0127124	faBlack	NRR	NON	7.02619	A1
MvSl-1064-A1-R4_A1g00544	1.06405	0.40142	60.0537	152.84905	0.0177183	faBlack	NRR	NON	5.63937	A1
MvSl-1064-A1-R4_A1g00575	13.66475	154.61777	30.4459	244.67732	0.448821	faBlack	NRR	NON	7.63479	A1
MvSl-1064-A1-R4_A1g00576	0	0	0.00001	0	0	faBlack	NRR	NON	4.00066	A1
MvSl-1064-A1-R4_A1g00593	1.03754	0.37596	47.64111	470.29634	0.0217782	fBlue	NRR	NON	8.0334	A1
MvSl-1064-A1-R4_A1g00594	8.6176	7.396	0.08705	0.95623	98.996	faBlack	NRR	Up	5.93226	A1
MvSl-1064-A1-R4_A1g00635	0.84631	0.30553	58.59446	132.3721	0.0144435	faBlack	NRR	Up	4.67781	A1
MvSl-1064-A1-R4_A1g00644	0	0	0	0	0	faBlack	NRR	Up	5.55818	A1
MvSl-1064-A1-R4_A1g00645	12.59088	60.42331	28.92721	135.49862	0.435261	faBlack	NRR	NON	6.09457	A1
MvSl-1064-A1-R4_A1g00646	0.00001	0.00032	0	0	10000	faBlack	NRR	Up	8.56593	A1
MvSl-1064-A1-R4_A1g00648	23.6106	73.53462	0.23849	0.32197	99.0004	faBlack	NRR	Down	6.10116	A1
MvSl-1064-A1-R4_A1g00668	6.05246	10.48368	37.94242	84.14865	0.159517	eOrange	NRR	Up	7.30375	A1
MvSl-1064-A1-R4_A1g00669	0	0	0	0	0	eOrange	NRR	NON	6.01191	A1
MvSl-1064-A1-R4_A1g00694	0	0.00209	0.00001	0.00703	0	faBlack	NRR	NON	7.19115	A1
MvSl-1064-A1-R4_A1g00732	0	0	0.00001	0	0	faBlack	NRR	NON	6.55024	A1
MvSl-1064-A1-R4_A1g00749	0	0.00006	0.00001	0.01021	0	faBlack	NRR	NON	7.67663	A1
MvSl-1064-A1-R4_A1g00750	0.89263	0.43939	43.04639	58.72709	0.0207365	faBlack	NRR	NON	6.03858	A1
MvSl-1064-A1-R4_A1g00751	0	0	0	0	0	faBlack	NRR	NON	8.22365	A1
MvSl-1064-A1-R4_A1g00757	1.20443	0.403	4.4368	5.42938	0.271464	faBlack	NRR	NON	1.88795	A1
MvSl-1064-A1-R4_A1g00772	0	0	0	0	0	fBlue	NRR	NON	4.27738	A1
MvSl-1064-A1-R4_A1g00778	0.50317	0	51.77488	0	0.00971842	faBlack	NRR	NON	4.58693	A1
MvSl-1064-A1-R4_A1g00779	1.725	0.9563	3.02556	4.37398	0.570142	faBlack	NRR	NON	7.67674	A1
MvSl-1064-A1-R4_A1g00800	1.38085	0.64064	1.02889	0.70078	1.34208	faBlack	NRR	Up	7.16995	A1
MvSl-1064-A1-R4_A1g00801	0.9326	0.29767	18.0602	36.96087	0.0516384	fBlue	NRR	NON	3.65382	A1
MvSl-1064-A1-R4_A1g00832	1.93223	1.08712	27.6726	112.44815	0.0698247	faBlack	NRR	NON	7.36923	A1
MvSl-1064-A1-R4_A1g00840	0.09386	0.11239	65.48978	280.01015	0.0014332	faBlack	NRR	NON	6.58748	A1
MvSl-1064-A1-R4_A1g00842	2.18023	1.10023	2.11967	1.89431	1.02857	faBlack	NRR	NON	7.59865	A1
MvSl-1064-A1-R4_A1g00843	0	0.00012	0.00001	0	0	faBlack	NRR	NON	4.212	A1
MvSl-1064-A1-R4_A1g00845	1.50218	1.01316	1.0127	1.16148	1.48334	faBlack	NRR	NON	6.68877	A1
MvSl-1064-A1-R4_A1g00853	1.16823	0.38515	45.75448	127.57101	0.0255326	gPurple	NRR	Up	8.02149	A1
MvSl-1064-A1-R4_A1g00854	0	0	0	0	0	gPurple	NRR	Down	7.50358	A1
MvSl-1064-A1-R4_A1g00869	0.90279	0.41684	54.83651	119.06254	0.0164633	faBlack	NRR	NON	9.56132	A1
MvSl-1064-A1-R4_A1g00886	0	0	0	0	0	faBlack	NRR	NON	4.27201	A1
MvSl-1064-A1-R4_A1g00912	6.17357	7.66189	0.06236	0.17437	98.9989	faBlack	NRR	NON	5.54275	A1
MvSl-1064-A1-R4_A1g00920	0.76671	0.3956	4.84686	5.08124	0.158187	faBlack	NRR	Up	6.16843	A1
MvSl-1064-A1-R4_A1g00921	1.96956	5.53443	0.61009	2.77431	3.22831	faBlack	NRR	NON	7.34827	A1
MvSl-1064-A1-R4_A1g00922	2.82963	7.57151	0.2454	0.28224	11.5307	faBlack	NRR	NON	6.42017	A1
MvSl-1064-A1-R4_A1g00929	0.32272	0.2191	0.00326	0.03449	98.9938	faBlack	NRR	Down	-1.63218	A1
MvSl-1064-A1-R4_A1g00956	1.0541	0.45203	2.33559	2.09808	0.451321	faBlack	NRR	Down	5.00345	A1
MvSl-1064-A1-R4_A1g00957	0	0	0.00001	0	0	faBlack	NRR	NON	4.90728	A1
MvSl-1064-A1-R4_A1g00958	0.00001	0.10519	0	0.00106	10000	faBlack	NRR	NON	7.09191	A1
MvSl-1064-A1-R4_A1g00970	2.43868	1.24066	0.02463	0.06622	99.0126	faBlack	NRR	Down	6.27788	A1
MvSl-1064-A1-R4_A1g00971	0.62451	0.33031	1.35601	0.99074	0.46055	faBlack	NRR	NON	5.85832	A1
MvSl-1064-A1-R4_A1g00972	9.68549	38.95153	8.72739	33.03837	1.10978	faBlack	NRR	Up	6.78475	A1
MvSl-1064-A1-R4_A1g00977	0.93048	0.57166	98.66673	843.55924	0.00943053	faBlack	NRR	NON	3.9466	A1
MvSl-1064-A1-R4_A1g00997	17.38877	435.95447	15.23847	356.21958	1.14111	fBlue	NRR	Up	6.89267	A1
MvSl-1064-A1-R4_A1g00998	17.97934	58.11159	14.10892	59.29008	1.27432	fBlue	NRR	NON	4.44409	A1
MvSl-1064-A1-R4_A1g01017	0.33711	0.23924	6.72064	15.17032	0.0501604	gPurple	NRR	NON	8.34288	A1
MvSl-1064-A1-R4_A1g01129	0.93742	0.33443	1.06923	0.76061	0.876724	faBlack	NRR	NON	7.16336	A1
MvSl-1064-A1-R4_A1g01136	0	0.00744	0.00001	0.01692	0	faBlack	NRR	Up	4.57031	A1
MvSl-1064-A1-R4_A1g01137	0	0	0.00001	0	0	faBlack	NRR	Up	6.91238	A1
MvSl-1064-A1-R4_A1g01159	1.36012	0.70868	48.71657	84.47478	0.027919	fBlue	NRR	NON	6.87054	A1
MvSl-1064-A1-R4_A1g01160	1.77727	2.50063	67.4569	363.41597	0.0263467	fBlue	NRR	NON	7.04855	A1
MvSl-1064-A1-R4_A1g01162	0	0.00423	0.00001	0.01043	0	fBlue	NRR	Down	-1.25634	A1
MvSl-1064-A1-R4_A1g01164	0	0	0	0	0	faBlack	NRR	Up	5.97584	A1
MvSl-1064-A1-R4_A1g01173	1.22315	0.60419	0.52569	0.54278	2.32675	faBlack	NRR	NON	7.20324	A1
MvSl-1064-A1-R4_A1g01184	1.28517	0	6.12827	0	0.209712	faBlack	NRR	NON	7.08549	A1
MvSl-1064-A1-R4_A1g01212	0.704	0.24856	0.48216	0.35238	1.4601	faBlack	NRR	Up	4.25857	A1
MvSl-1064-A1-R4_A1g01219	1.0774	0	20.56641	0	0.0523864	faBlack	NRR	NON	11.6253	A1
MvSl-1064-A1-R4_A1g01227	0	0	0.00001	0	0	gPurple	NRR	NON	7.6003	A1
MvSl-1064-A1-R4_A1g01228	0	0.0002	0.00001	0.11171	0	faBlack	NRR	NON	3.36564	A1
MvSl-1064-A1-R4_A1g01261	0.83687	0.40913	77.90766	152.53371	0.0107418	eOrange	NRR	Up	11.3493	A1
MvSl-1064-A1-R4_A1g01271	1.90066	1.16126	7.48864	18.9254	0.253806	faBlack	NRR	NON	8.03721	A1
MvSl-1064-A1-R4_A1g01272	1.08501	0.82799	10.69611	20.96814	0.10144	faBlack	NRR	NON	9.1595	A1
MvSl-1064-A1-R4_A1g01347	0.61923	0.19162	19.73395	31.68277	0.0313789	faBlack	NRR	Down	6.26581	A1
MvSl-1064-A1-R4_A1g01348	17.94783	0	14.11603	0	1.27145	faBlack	NRR	NON	7.30728	A1
MvSl-1064-A1-R4_A1g01350	0	0.00114	0.00001	0.00943	0	faBlack	NRR	NON	6.08116	A1
MvSl-1064-A1-R4_A1g01359	1.19147	0.51538	14.84126	50.57205	0.0802809	faBlack	NRR	Up	6.06904	A1
MvSl-1064-A1-R4_A1g01366	0	0.01338	0.00001	0.03059	0	faBlack	NRR	NON	6.3787	A1
MvSl-1064-A1-R4_A1g01367	0	0	0.00001	0	0	faBlack	NRR	NON	4.41408	A1
MvSl-1064-A1-R4_A1g01368	0.84923	0.29991	59.96064	140.69952	0.0141631	faBlack	NRR	NON	6.1141	A1
MvSl-1064-A1-R4_A1g01369	1.1927	0.67929	81.65533	258.16167	0.0146065	faBlack	NRR	NON	8.73697	A1
MvSl-1064-A1-R4_A1g01376	0.40665	0.24549	0.68945	0.51322	0.589818	faBlack	NRR	Down	6.37736	A1
MvSl-1064-A1-R4_A1g01384	0.97886	0.30551	1.6663	1.01363	0.587445	faBlack	NRR	Up	8.18365	A1
MvSl-1064-A1-R4_A1g01385	23.73671	12.76072	0.23977	0.47817	98.9978	faBlack	NRR	NON	4.91286	A1
MvSl-1064-A1-R4_A1g01388	1.10973	0.46561	106.14914	349.16429	0.0104544	faBlack	NRR	NON	5.14593	A1
MvSl-1064-A1-R4_A1g01392	1.43869	0	3.73675	6.26147	0.385011	faBlack	NRR	NON	5.70466	A1
MvSl-1064-A1-R4_A1g01406	0.95069	0.51785	2.03198	2.3612	0.467864	faBlack	NRR	NON	11.597	A1
MvSl-1064-A1-R4_A1g01431	3.04346	3.40877	1.12309	1.14191	2.7099	fBlue	NRR	NON	6.77971	A1
MvSl-1064-A1-R4_A1g01440	1.6462	1.12194	2.56489	3.40709	0.641821	bPAR	bPAR	NON	6.92832	A1
MvSl-1064-A1-R4_A1g01441	0.02108	0.02104	0.00021	0.00229	100.38	bPAR	bPAR	NON	6.24213	A1
MvSl-1064-A1-R4_A1g01444	1.60255	0.69006	4.73053	6.57915	0.338768	bPAR	bPAR	NON	11.1721	A1
MvSl-1064-A1-R4_A1g01445	0	0	0.00001	0	0	bPAR	bPAR	NON	7.4255	A1
MvSl-1064-A1-R4_A1g01447	0	0	0	0	0	bPAR	bPAR	NON	6.01318	A1
MvSl-1064-A1-R4_A1g01448	1.88759	1.32049	0.54072	0.38492	3.49088	bPAR	bPAR	NON	2.05354	A1
MvSl-1064-A1-R4_A1g01450	2.84048	2.33684	70.23604	300.83393	0.0404419	bPAR	bPAR	NON	4.71363	A1
MvSl-1064-A1-R4_A1g01451	0	0.00022	0.00001	0.00062	0	bPAR	bPAR	NON	5.38225	A1
MvSl-1064-A1-R4_A1g01453	2.80811	2.38467	61.20848	333.12668	0.0458778	bPAR	bPAR	NON	7.68574	A1
MvSl-1064-A1-R4_A1g01454	0.44435	0.49821	0.00449	0.0322	98.9643	bPAR	bPAR	NON	2.66356	A1
MvSl-1064-A1-R4_A1g01455	0	0	0	0	0	bPAR	bPAR	NON	3.16122	A1
MvSl-1064-A1-R4_A1g01458	0.85659	0.31582	103.32508	202.05958	0.00829024	bPAR	bPAR	NON	6.70289	A1
MvSl-1064-A1-R4_A1g01460	1.03548	0.51596	2.10902	1.83134	0.490977	bPAR	bPAR	NON	6.89203	A1
MvSl-1064-A1-R4_A1g01461	0	0.00018	0.00001	0	0	bPAR	bPAR	NON	6.26923	A1
MvSl-1064-A1-R4_A1g01462	1.09273	0.43399	78.49059	226.37051	0.0139218	bPAR	bPAR	NON	7.58324	A1
MvSl-1064-A1-R4_A1g01466	0	0	0.00001	0	0	bPAR	bPAR	NON	6.51004	A1
MvSl-1064-A1-R4_A1g01467	0.73141	0.28978	1.55246	1.08751	0.47113	bPAR	bPAR	NON	5.6423	A1
MvSl-1064-A1-R4_A1g01468	1.17303	0.42623	0.87138	0.64932	1.34618	bPAR	bPAR	NON	5.55393	A1
MvSl-1064-A1-R4_A1g01470	0.57806	0.28263	3.65253	6.41852	0.158263	bPAR	bPAR	NON	5.73752	A1
