Haploid	Gene	Genomicloc	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	genelength	intronnrovergenelength	intronovergenelength
A1	MvSl-1064-A1-R4_A1g00028	bPAR	3	56.6667	170	0	0	0	674	0.004451039	0.252225519
A1	MvSl-1064-A1-R4_A1g00029	bPAR	2	77	154	0	0	0	325	0.006153846	0.473846154
A1	MvSl-1064-A1-R4_A1g00030	bPAR	1	85	85	0	0	0	454	0.002202643	0.18722467
A1	MvSl-1064-A1-R4_A1g00031	bPAR	7	93.5714	655	0	0.1428	1	1612	0.004342432	0.406327543
A1	MvSl-1064-A1-R4_A1g00032	bPAR	12	93.6667	1124	0	0	0	2678	0.004480956	0.419716206
A1	MvSl-1064-A1-R4_A1g00033	bPAR	3	51.6667	155	0	0	0	956	0.003138075	0.162133891
A1	MvSl-1064-A1-R4_A1g00034	bPAR	1	77	77	0	0	0	224	0.004464286	0.34375
A1	MvSl-1064-A1-R4_A1g00035	bPAR	1	0	0	0	0	0	1386	0.000721501	0
A1	MvSl-1064-A1-R4_A1g00036	bPAR	3	93	279	0	0	0	1473	0.00203666	0.189409369
A1	MvSl-1064-A1-R4_A1g00037	bPAR	2	85.5	171	0	0	0	2592	0.000771605	0.065972222
A1	MvSl-1064-A1-R4_A1g00038	bPAR	2	271.5	543	0	0	0	1125	0.001777778	0.482666667
A1	MvSl-1064-A1-R4_A1g00039	bPAR	12	90.0833	1081	0	0	0	2917	0.004113816	0.370586219
A1	MvSl-1064-A1-R4_A1g00040	bPAR	7	87.5714	613	0	0	0	1696	0.004127358	0.361438679
A1	MvSl-1064-A1-R4_A1g00041	bPAR	1	0	0	0	0	0	192	0.005208333	0
A1	MvSl-1064-A1-R4_A1g00042	bPAR	1	0	0	0	0	0	528	0.001893939	0
A1	MvSl-1064-A1-R4_A1g00043	bPAR	2	76	152	0	0	0	560	0.003571429	0.271428571
A1	MvSl-1064-A1-R4_A1g00044	bPAR	4	72.75	291	0	0	0	1005	0.0039801	0.289552239
A1	MvSl-1064-A1-R4_A1g00045	bPAR	5	128.6	643	0	0	0	1132	0.004416961	0.568021201
A1	MvSl-1064-A1-R4_A1g00046	bPAR	7	83.1429	582	0	0	0	1461	0.004791239	0.39835729
A1	MvSl-1064-A1-R4_A1g00047	bPAR	5	74	370	0	0	0	1270	0.003937008	0.291338583
A1	MvSl-1064-A1-R4_A1g00048	bPAR	1	0	0	0	0	0	1572	0.000636132	0
A1	MvSl-1064-A1-R4_A1g00049	bPAR	7	79.1429	554	0	0	0	3176	0.00220403	0.174433249
A1	MvSl-1064-A1-R4_A1g00050	bPAR	3	72.6667	218	0	0	0	4700	0.000638298	0.046382979
A1	MvSl-1064-A1-R4_A1g00051	bPAR	4	85	340	0	0	0	1417	0.002822865	0.239943543
A1	MvSl-1064-A1-R4_A1g00052	bPAR	1	180	180	0	0	0	411	0.00243309	0.437956204
A1	MvSl-1064-A1-R4_A1g00053	bPAR	5	71.4	357	0	0	0	1614	0.003097893	0.221189591
A1	MvSl-1064-A1-R4_A1g00054	bPAR	7	76.7143	537	0	0	0	1704	0.004107981	0.315140845
A1	MvSl-1064-A1-R4_A1g00055	bPAR	2	72	144	0	0	0	1431	0.001397624	0.100628931
A1	MvSl-1064-A1-R4_A1g00056	bPAR	6	94.6667	568	0	0	0	2299	0.00260983	0.247063941
A1	MvSl-1064-A1-R4_A1g00057	bPAR	1	0	0	0	0	0	324	0.00308642	0
A1	MvSl-1064-A1-R4_A1g00058	bPAR	1	128	128	0	0	0	278	0.003597122	0.460431655
A1	MvSl-1064-A1-R4_A1g00059	bPAR	1	0	0	0	0	0	207	0.004830918	0
A1	MvSl-1064-A1-R4_A1g00060	bPAR	5	119.8	599	0	0	0	1553	0.003219575	0.385705087
A1	MvSl-1064-A1-R4_A1g00061	bPAR	3	100.333	301	0	0.333	1	961	0.003121748	0.313215401
A1	MvSl-1064-A1-R4_A1g00062	bPAR	5	129	645	0	0	0	2790	0.001792115	0.231182796
A1	MvSl-1064-A1-R4_A1g00063	bPAR	3	108.333	325	0	0.333	1	1276	0.002351097	0.254702194
A1	MvSl-1064-A1-R4_A1g00064	bPAR	3	151.667	455	0	0	0	1154	0.002599653	0.394280763
A1	MvSl-1064-A1-R4_A1g00065	bPAR	10	81.9	819	0	0.1	1	2769	0.003611412	0.295774648
A1	MvSl-1064-A1-R4_A1g00066	bPAR	2	73	146	0	0	0	701	0.002853067	0.208273894
A1	MvSl-1064-A1-R4_A1g00067	bPAR	8	105	840	0	0	0	2196	0.003642987	0.382513661
A1	MvSl-1064-A1-R4_A1g00068	bPAR	3	124.667	374	0	0	0	1568	0.001913265	0.238520408
A1	MvSl-1064-A1-R4_A1g00069	bPAR	2	98	196	0	0	0	4486	0.000445831	0.043691485
A1	MvSl-1064-A1-R4_A1g00070	bPAR	1	84	84	0	0	0	2841	0.000351989	0.029567054
A1	MvSl-1064-A1-R4_A1g00071	bPAR	4	97.5	390	0	0	0	1878	0.002129925	0.207667732
A1	MvSl-1064-A1-R4_A1g00072	bPAR	4	110.25	441	0	0	0	2433	0.001644061	0.181257707
A1	MvSl-1064-A1-R4_A1g00073	bPAR	3	107.667	323	0	0	0	1451	0.00206754	0.2226051
A1	MvSl-1064-A1-R4_A1g00074	bPAR	10	124.3	1243	0	0	0	3085	0.003241491	0.402917342
A1	MvSl-1064-A1-R4_A1g00075	bPAR	6	99.3333	596	0	0	0	1898	0.003161222	0.314014752
A1	MvSl-1064-A1-R4_A1g00076	bPAR	1	125	125	0	0	0	2705	0.000369686	0.046210721
A1	MvSl-1064-A1-R4_A1g00077	bPAR	1	93	93	0	0	0	1476	0.000677507	0.06300813
A1	MvSl-1064-A1-R4_A1g00078	bPAR	1	0	0	0	0	0	462	0.002164502	0
A1	MvSl-1064-A1-R4_A1g00079	bPAR	10	83.6	836	0	0.1	1	5003	0.001998801	0.16709974
A1	MvSl-1064-A1-R4_A1g00080	bPAR	3	92	276	0	0	0	732	0.004098361	0.37704918
A1	MvSl-1064-A1-R4_A1g00081	faBlack	8	84	672	0	0.25	2	1764	0.004535147	0.380952381
A1	MvSl-1064-A1-R4_A1g00083	faBlack	9	82.8889	746	0	-0.4444	-4	1778	0.005061867	0.419572553
A1	MvSl-1064-A1-R4_A1g00084	faBlack	1	81	81	0	0	0	402	0.002487562	0.201492537
A1	MvSl-1064-A1-R4_A1g00098	faBlack	1	0	0	0	0	0	195	0.005128205	0
A1	MvSl-1064-A1-R4_A1g00102	faBlack	5	89	445	1	4.5	107	1546	0.003234153	0.287839586
A1	MvSl-1064-A1-R4_A1g00106	faBlack	3	81	243	0	-9.3333	-28	1602	0.001872659	0.151685393
A1	MvSl-1064-A1-R4_A1g00107	faBlack	11	89	979	0	0	0	2314	0.004753673	0.423076923
A1	MvSl-1064-A1-R4_A1g00108	faBlack	1	0	0	0	0	0	168	0.005952381	0
A1	MvSl-1064-A1-R4_A1g00109	cGreen	2	71	142	0	0	0	859	0.002328289	0.165308498
A1	MvSl-1064-A1-R4_A1g00110	cGreen	2	200.5	401	0	0	0	2972	0.000672948	0.134925976
A1	MvSl-1064-A1-R4_A1g00111	cGreen	1	73	73	0	0	0	196	0.005102041	0.37244898
A1	MvSl-1064-A1-R4_A1g00112	cGreen	2	148	296	0	-23	-46	620	0.003225806	0.477419355
A1	MvSl-1064-A1-R4_A1g00113	cGreen	2	84	168	0	0	0	2868	0.00069735	0.058577406
A1	MvSl-1064-A1-R4_A1g00118	faBlack	2	66.5	133	0	10.5	21	826	0.002421308	0.161016949
A1	MvSl-1064-A1-R4_A1g00120	faBlack	7	81	567	0	15	105	2241	0.003123606	0.253012048
A1	MvSl-1064-A1-R4_A1g00126	gPurple	4	93.25	373	-1	3.65	-75	1054	0.003795066	0.353889943
A1	MvSl-1064-A1-R4_A1g00130	faBlack	1	143	143	0	0	0	362	0.002762431	0.395027624
A1	MvSl-1064-A1-R4_A1g00144	faBlack	3	121.333	364	0	7	21	838	0.003579952	0.434367542
A1	MvSl-1064-A1-R4_A1g00150	faBlack	1	117	117	0	0	0	267	0.003745318	0.438202247
A1	MvSl-1064-A1-R4_A1g00153	faBlack	9	72.3333	651	-1	-0.9667	-82	4773	0.001885607	0.136392206
A1	MvSl-1064-A1-R4_A1g00154	faBlack	1	127	127	0	3	3	790	0.001265823	0.160759494
A1	MvSl-1064-A1-R4_A1g00155	faBlack	1	0	0	0	0	0	1527	0.000654879	0
A1	MvSl-1064-A1-R4_A1g00163	faBlack	1	56	56	0	0	0	296	0.003378378	0.189189189
A1	MvSl-1064-A1-R4_A1g00165	faBlack	6	82.8333	497	0	-2.5	-15	3167	0.001894537	0.156930849
A1	MvSl-1064-A1-R4_A1g00168	faBlack	4	107.75	431	-2	15.25	-124	2036	0.001964637	0.211689587
A1	MvSl-1064-A1-R4_A1g00175	gPurple	3	85.6667	257	-2	9.0667	-126	2780	0.001079137	0.092446043
A1	MvSl-1064-A1-R4_A1g00184	gPurple	2	124.5	249	0	1	2	513	0.003898635	0.485380117
A1	MvSl-1064-A1-R4_A1g00185	gPurple	13	82.2308	1069	0	-0.6923	-9	3850	0.003376623	0.277662338
A1	MvSl-1064-A1-R4_A1g00186	gPurple	4	124.25	497	0	0	0	1850	0.002162162	0.268648649
A1	MvSl-1064-A1-R4_A1g00193	faBlack	8	105.75	846	1	-8.679	45	2250	0.003555556	0.376
A1	MvSl-1064-A1-R4_A1g00194	faBlack	6	82.3333	494	-2	-61.1667	-654	1931	0.003107198	0.255825997
A1	MvSl-1064-A1-R4_A1g00209	faBlack	3	204.667	614	2	143.667	553	2480	0.001209677	0.247580645
A1	MvSl-1064-A1-R4_A1g00210	faBlack	4	105	420	0	-0.25	-1	1179	0.003392706	0.356234097
A1	MvSl-1064-A1-R4_A1g00211	faBlack	8	76.5	612	0	0	0	3096	0.002583979	0.197674419
A1	MvSl-1064-A1-R4_A1g00215	faBlack	1	0	0	0	0	0	168	0.005952381	0
A1	MvSl-1064-A1-R4_A1g00230	gPurple	4	119	476	0	8.75	35	1166	0.003430532	0.408233276
A1	MvSl-1064-A1-R4_A1g00233	faBlack	1	0	0	0	0	0	258	0.003875969	0
A1	MvSl-1064-A1-R4_A1g00241	faBlack	1	0	0	0	0	0	1041	0.000960615	0
A1	MvSl-1064-A1-R4_A1g00242	faBlack	4	84.25	337	0	-0.25	-1	913	0.004381161	0.369112815
A1	MvSl-1064-A1-R4_A1g00243	faBlack	1	85	85	-1	28	-29	478	0.00209205	0.177824268
A1	MvSl-1064-A1-R4_A1g00245	faBlack	1	72	72	0	0	0	357	0.00280112	0.201680672
A1	MvSl-1064-A1-R4_A1g00246	faBlack	2	173	346	0	3	6	1381	0.001448226	0.250543085
A1	MvSl-1064-A1-R4_A1g00252	faBlack	2	64.5	129	-3	-8.5	-236	1599	0.001250782	0.080675422
A1	MvSl-1064-A1-R4_A1g00253	faBlack	8	70.125	561	1	-10.1607	-1	2904	0.002754821	0.193181818
A1	MvSl-1064-A1-R4_A1g00254	faBlack	3	73	219	0	0.3333	1	2436	0.001231527	0.089901478
A1	MvSl-1064-A1-R4_A1g00269	faBlack	5	116.6	583	1	10.35	158	3649	0.001370238	0.1597698
A1	MvSl-1064-A1-R4_A1g00270	faBlack	3	208	624	0	-1	-3	1767	0.001697793	0.353140917
A1	MvSl-1064-A1-R4_A1g00280	faBlack	9	70	630	0	0	0	5043	0.001784652	0.12492564
A1	MvSl-1064-A1-R4_A1g00281	faBlack	9	77	693	1	7.875	140	4668	0.001928021	0.148457584
A1	MvSl-1064-A1-R4_A1g00283	faBlack	5	102.4	512	2	-10.6	173	5390	0.000927644	0.094990724
A1	MvSl-1064-A1-R4_A1g00290	faBlack	4	86.75	347	0	0.5	2	3584	0.001116071	0.096819196
A1	MvSl-1064-A1-R4_A1g00292	faBlack	8	90.125	721	0	0.125	1	2365	0.003382664	0.304862579
A1	MvSl-1064-A1-R4_A1g00307	faBlack	1	80	80	0	26	26	944	0.001059322	0.084745763
A1	MvSl-1064-A1-R4_A1g00311	faBlack	9	86.1111	775	0	0.7778	7	5269	0.001708104	0.147086734
A1	MvSl-1064-A1-R4_A1g00312	faBlack	1	118	118	0	-2	-2	598	0.001672241	0.197324415
A1	MvSl-1064-A1-R4_A1g00316	faBlack	2	77.5	155	-6	-58.875	-936	1442	0.001386963	0.107489598
A1	MvSl-1064-A1-R4_A1g00326	faBlack	1	0	0	0	0	0	591	0.001692047	0
A1	MvSl-1064-A1-R4_A1g00327	faBlack	4	91.75	367	0	6	24	991	0.004036327	0.370332997
A1	MvSl-1064-A1-R4_A1g00328	faBlack	1	82	82	-3	-49.25	-443	610	0.001639344	0.13442623
A1	MvSl-1064-A1-R4_A1g00349	faBlack	9	97.1111	874	0	-11.5559	-104	1747	0.005151689	0.500286205
A1	MvSl-1064-A1-R4_A1g00350	faBlack	2	155.5	311	1	84.5	240	2786	0.000717875	0.111629576
A1	MvSl-1064-A1-R4_A1g00351	faBlack	9	70.8889	638	0	-4.2222	-38	4538	0.001983253	0.140590569
A1	MvSl-1064-A1-R4_A1g00352	faBlack	2	60	120	0	-16	-32	912	0.002192982	0.131578947
A1	MvSl-1064-A1-R4_A1g00355	faBlack	4	137.25	549	-2	55.25	57	1134	0.003527337	0.484126984
A1	MvSl-1064-A1-R4_A1g00359	faBlack	8	125.375	1003	0	0.125	1	2026	0.003948667	0.495064166
A1	MvSl-1064-A1-R4_A1g00367	dRed	4	75.25	301	0	0	0	1933	0.002069322	0.155716503
A1	MvSl-1064-A1-R4_A1g00368	dRed	3	85.6667	257	0	-0.3333	-1	1460	0.002054795	0.176027397
A1	MvSl-1064-A1-R4_A1g00369	dRed	5	75.8	379	0	0	0	2329	0.002146844	0.162730786
A1	MvSl-1064-A1-R4_A1g00370	dRed	5	64.8	324	0	0	0	2361	0.002117747	0.137229987
A1	MvSl-1064-A1-R4_A1g00371	dRed	6	91.3333	548	0	2.6666	16	3974	0.001509814	0.137896326
A1	MvSl-1064-A1-R4_A1g00372	dRed	5	79	395	0	0	0	3029	0.00165071	0.130406075
A1	MvSl-1064-A1-R4_A1g00373	dRed	3	100	300	0	0	0	1365	0.002197802	0.21978022
A1	MvSl-1064-A1-R4_A1g00374	dRed	4	71.5	286	0	0	0	2398	0.001668057	0.119266055
A1	MvSl-1064-A1-R4_A1g00375	dRed	1	75	75	0	0	0	477	0.002096436	0.157232704
A1	MvSl-1064-A1-R4_A1g00379	dRed	1	0	0	0	0	0	171	0.005847953	0
A1	MvSl-1064-A1-R4_A1g00380	dRed	2	210.5	421	0	0	0	640	0.003125	0.6578125
A1	MvSl-1064-A1-R4_A1g00383	faBlack	2	73	146	1	-84	-11	635	0.003149606	0.22992126
A1	MvSl-1064-A1-R4_A1g00384	faBlack	2	97.5	195	1	5.5	103	420	0.004761905	0.464285714
A1	MvSl-1064-A1-R4_A1g00389	dRed	6	191	1146	3	84.667	827	2304	0.002604167	0.497395833
A1	MvSl-1064-A1-R4_A1g00390	dRed	1	280	280	0	-3	-3	1414	0.000707214	0.198019802
A1	MvSl-1064-A1-R4_A1g00391	dRed	6	102.5	615	1	-2.3	91	2382	0.002518892	0.258186398
A1	MvSl-1064-A1-R4_A1g00392	dRed	1	131	131	0	0	0	329	0.003039514	0.398176292
A1	MvSl-1064-A1-R4_A1g00393	dRed	1	0	0	0	0	0	204	0.004901961	0
A1	MvSl-1064-A1-R4_A1g00394	dRed	3	108.333	325	0	0	0	670	0.004477612	0.485074627
A1	MvSl-1064-A1-R4_A1g00395	dRed	9	73.2222	659	0	0	0	4751	0.001894338	0.13870764
A1	MvSl-1064-A1-R4_A1g00396	dRed	5	83.6	418	0	0	0	1300	0.003846154	0.321538462
A1	MvSl-1064-A1-R4_A1g00397	dRed	3	121	363	0	0.333	1	738	0.004065041	0.491869919
A1	MvSl-1064-A1-R4_A1g00398	dRed	4	183.75	735	0	0	0	1107	0.003613369	0.66395664
A1	MvSl-1064-A1-R4_A1g00399	dRed	2	74.5	149	0	0	0	632	0.003164557	0.235759494
A1	MvSl-1064-A1-R4_A1g00400	dRed	7	91.2857	639	0	0.4286	3	3003	0.002331002	0.212787213
A1	MvSl-1064-A1-R4_A1g00401	dRed	4	93.5	374	0	0	0	1370	0.002919708	0.272992701
A1	MvSl-1064-A1-R4_A1g00402	dRed	3	82.3333	247	-1	2.5833	-72	4930	0.000608519	0.05010142
A1	MvSl-1064-A1-R4_A1g00403	dRed	7	66.7143	467	0	0	0	4496	0.00155694	0.103870107
A1	MvSl-1064-A1-R4_A1g00404	dRed	5	70.4	352	0	0	0	1153	0.004336513	0.305290546
A1	MvSl-1064-A1-R4_A1g00405	dRed	5	80.2	401	0	0	0	2048	0.002441406	0.195800781
A1	MvSl-1064-A1-R4_A1g00406	dRed	1	83	83	0	0	0	623	0.001605136	0.133226324
A1	MvSl-1064-A1-R4_A1g00407	dRed	1	166	166	0	87	87	958	0.001043841	0.173277662
A1	MvSl-1064-A1-R4_A1g00432	faBlack	3	111.667	335	0	7	21	629	0.004769475	0.532591415
A1	MvSl-1064-A1-R4_A1g00433	faBlack	3	74.3333	223	0	0	0	1921	0.001561687	0.116085372
A1	MvSl-1064-A1-R4_A1g00441	gPurple	7	118	826	0	0.143	1	1855	0.003773585	0.445283019
A1	MvSl-1064-A1-R4_A1g00448	faBlack	8	75	600	1	-5	40	2142	0.003734827	0.280112045
A1	MvSl-1064-A1-R4_A1g00475	faBlack	1	158	158	0	97	97	299	0.003344482	0.528428094
A1	MvSl-1064-A1-R4_A1g00478	fBlue	3	85	255	-2	2	-160	2475	0.001212121	0.103030303
A1	MvSl-1064-A1-R4_A1g00481	faBlack	2	49.5	99	0	-16	-32	648	0.00308642	0.152777778
A1	MvSl-1064-A1-R4_A1g00492	faBlack	1	52	52	0	52	52	4504	0.000222025	0.011545293
A1	MvSl-1064-A1-R4_A1g00495	fBlue	2	144.5	289	0	66	132	1318	0.001517451	0.219271624
A1	MvSl-1064-A1-R4_A1g00503	faBlack	8	78.625	629	0	0	0	2585	0.003094778	0.243326886
A1	MvSl-1064-A1-R4_A1g00504	faBlack	4	76.5	306	0	0	0	1266	0.003159558	0.241706161
A1	MvSl-1064-A1-R4_A1g00505	faBlack	8	114.625	917	-2	9.025	-139	3893	0.00205497	0.235550989
A1	MvSl-1064-A1-R4_A1g00506	faBlack	8	80	640	0	0	0	2032	0.003937008	0.31496063
A1	MvSl-1064-A1-R4_A1g00507	faBlack	13	96.3846	1253	0	-0.2308	-3	5459	0.002381389	0.229529218
A1	MvSl-1064-A1-R4_A1g00508	faBlack	6	112	672	-2	26.25	-14	2517	0.00238379	0.266984505
A1	MvSl-1064-A1-R4_A1g00510	faBlack	1	0	0	0	0	0	960	0.001041667	0
A1	MvSl-1064-A1-R4_A1g00511	faBlack	7	75.8571	531	0	0	0	1593	0.004394225	0.333333333
A1	MvSl-1064-A1-R4_A1g00512	faBlack	7	105.429	738	0	0.429	3	1362	0.005139501	0.54185022
A1	MvSl-1064-A1-R4_A1g00513	faBlack	9	71.3333	642	0	0	0	2370	0.003797468	0.270886076
A1	MvSl-1064-A1-R4_A1g00514	faBlack	2	82	164	0	0	0	4883	0.000409584	0.03358591
A1	MvSl-1064-A1-R4_A1g00515	faBlack	3	69.6667	209	0	0	0	3329	0.000901172	0.062781616
A1	MvSl-1064-A1-R4_A1g00516	faBlack	6	131.5	789	1	-4.5	109	1773	0.003384095	0.44500846
A1	MvSl-1064-A1-R4_A1g00517	faBlack	2	216	432	0	-5	-10	669	0.002989537	0.64573991
A1	MvSl-1064-A1-R4_A1g00518	faBlack	6	94.1667	565	0	0	0	1840	0.00326087	0.307065217
A1	MvSl-1064-A1-R4_A1g00519	faBlack	1	71	71	0	0	0	2159	0.000463177	0.032885595
A1	MvSl-1064-A1-R4_A1g00520	faBlack	2	72	144	0	0	0	2112	0.00094697	0.068181818
A1	MvSl-1064-A1-R4_A1g00521	faBlack	3	106.667	320	0	-0.333	-1	2987	0.001004352	0.107130901
A1	MvSl-1064-A1-R4_A1g00522	faBlack	6	84.6667	508	0	2	12	1765	0.003399433	0.287818697
A1	MvSl-1064-A1-R4_A1g00523	faBlack	1	0	0	0	0	0	243	0.004115226	0
A1	MvSl-1064-A1-R4_A1g00524	faBlack	1	40	40	0	0	0	169	0.00591716	0.236686391
A1	MvSl-1064-A1-R4_A1g00525	faBlack	3	105.333	316	0	0	0	1345	0.002230483	0.234944238
A1	MvSl-1064-A1-R4_A1g00527	faBlack	2	88.5	177	1	-18.5	70	1806	0.00110742	0.098006645
A1	MvSl-1064-A1-R4_A1g00528	faBlack	2	85	170	0	0	0	680	0.002941176	0.25
A1	MvSl-1064-A1-R4_A1g00529	faBlack	1	0	0	0	0	0	234	0.004273504	0
A1	MvSl-1064-A1-R4_A1g00530	faBlack	7	81.7143	572	0	0	0	3182	0.002199874	0.179761157
A1	MvSl-1064-A1-R4_A1g00532	faBlack	1	74	74	0	0	0	1937	0.000516262	0.038203407
A1	MvSl-1064-A1-R4_A1g00533	faBlack	4	107.25	429	-2	-53.417	-535	1386	0.002886003	0.30952381
A1	MvSl-1064-A1-R4_A1g00534	faBlack	9	110	990	0	0	0	2124	0.004237288	0.466101695
A1	MvSl-1064-A1-R4_A1g00541	faBlack	3	71.3333	214	0	-1.3334	-4	6343	0.000472962	0.033737979
A1	MvSl-1064-A1-R4_A1g00542	faBlack	4	79.5	318	0	0	0	1491	0.002682763	0.213279678
A1	MvSl-1064-A1-R4_A1g00543	faBlack	9	97.2222	875	0	0	0	3065	0.002936378	0.28548124
A1	MvSl-1064-A1-R4_A1g00544	faBlack	2	153.5	307	-1	-28.167	-238	2050	0.00097561	0.149756098
A1	MvSl-1064-A1-R4_A1g00546	faBlack	2	72.5	145	0	12	24	490	0.004081633	0.295918367
A1	MvSl-1064-A1-R4_A1g00568	faBlack	1	231	231	0	231	231	627	0.001594896	0.368421053
A1	MvSl-1064-A1-R4_A1g00575	faBlack	7	116.286	814	0	-1.428	-10	3790	0.001846966	0.214775726
A1	MvSl-1064-A1-R4_A1g00576	faBlack	1	0	0	0	0	0	486	0.002057613	0
A1	MvSl-1064-A1-R4_A1g00589	faBlack	1	54	54	0	-19	-19	324	0.00308642	0.166666667
A1	MvSl-1064-A1-R4_A1g00591	faBlack	1	0	0	0	0	0	1332	0.000750751	0
A1	MvSl-1064-A1-R4_A1g00592	faBlack	1	56	56	0	-4	-4	1520	0.000657895	0.036842105
A1	MvSl-1064-A1-R4_A1g00593	fBlue	6	90.1667	541	0	0.5	3	4108	0.001460565	0.131694255
A1	MvSl-1064-A1-R4_A1g00594	faBlack	3	102.333	307	-1	29.333	15	1711	0.001753361	0.179427236
A1	MvSl-1064-A1-R4_A1g00608	faBlack	1	127	127	0	127	127	379	0.002638522	0.335092348
A1	MvSl-1064-A1-R4_A1g00624	gPurple	7	107.286	751	0	8.286	58	1522	0.004599212	0.493429698
A1	MvSl-1064-A1-R4_A1g00635	faBlack	10	66.5	665	2	-21	-35	2552	0.003918495	0.260579937
A1	MvSl-1064-A1-R4_A1g00641	faBlack	1	128	128	0	-1	-1	290	0.003448276	0.44137931
A1	MvSl-1064-A1-R4_A1g00642	faBlack	1	0	0	0	0	0	210	0.004761905	0
A1	MvSl-1064-A1-R4_A1g00644	faBlack	1	156	156	0	111	111	2526	0.000395883	0.06175772
A1	MvSl-1064-A1-R4_A1g00645	faBlack	5	89.4	447	0	0	0	2976	0.001680108	0.150201613
A1	MvSl-1064-A1-R4_A1g00646	faBlack	2	86	172	0	0	0	2263	0.000883783	0.076005303
A1	MvSl-1064-A1-R4_A1g00647	faBlack	3	147.333	442	-3	62.9997	-64	1303	0.002302379	0.339217191
A1	MvSl-1064-A1-R4_A1g00648	faBlack	3	109.667	329	0	0	0	1838	0.001632209	0.178998912
A1	MvSl-1064-A1-R4_A1g00652	faBlack	10	168.1	1681	0	73.2	732	2980	0.003355705	0.56409396
A1	MvSl-1064-A1-R4_A1g00653	faBlack	1	112	112	-2	40	-104	289	0.003460208	0.387543253
A1	MvSl-1064-A1-R4_A1g00668	eOrange	7	131	917	1	4.833	160	2873	0.002436478	0.319178559
A1	MvSl-1064-A1-R4_A1g00669	eOrange	2	101	202	0	18	36	2338	0.000855432	0.086398631
A1	MvSl-1064-A1-R4_A1g00693	faBlack	5	98.6	493	0	0	0	1498	0.003337784	0.329105474
A1	MvSl-1064-A1-R4_A1g00694	faBlack	4	76.5	306	0	-0.25	-1	2652	0.001508296	0.115384615
A1	MvSl-1064-A1-R4_A1g00718	faBlack	2	71.5	143	0	0.5	1	1526	0.001310616	0.093709043
A1	MvSl-1064-A1-R4_A1g00726	faBlack	6	114.833	689	-1	3.833	-88	1475	0.004067797	0.467118644
A1	MvSl-1064-A1-R4_A1g00732	faBlack	1	60	60	0	0	0	1329	0.000752445	0.045146727
