gid	chr	chr1	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE_status	DE_status2	A1_mean	A2_mean	A2genes	GC0A1	GC0A2	Godiff
MvSl-1064-A1-R4_A1g01162	fBlue	NRR	2	68	136	0	-0.5	-1	-5.466800161	3.84E-29	-0.793556811	-1.719121546	4.143936729	3.723398761	DE	Down	-1.25634	3.93367	MvSl-1064-A2-R4_A2g00836	55.61	54.87	0.74
MvSl-1064-A1-R4_MC04-1g05282	aAutosome	aAutosome	1	103	103	0	0	0	-5.21727399	3.29E-10	-2.728764869	-2.745346744	1.106030655	1.252011589	DE	Down	-2.73706	1.17902	MvSl-1064-A2-R4_MC04-1g05559	55.56	55.56	0
MvSl-1064-A1-R4_MC11g10576	aAutosome	aAutosome	4	100.75	403	0	0	0	-5.186088066	1.83E-14	-0.93329249	-3.357020002	2.431555394	3.400393005	DE	Down	-2.14516	2.91597	MvSl-1064-A2-R4_MC11g10840	51.83	51.83	0
MvSl-1064-A1-R4_MC14g11983	aAutosome	aAutosome	1	0	0	0	0	0	-4.626549293	7.20E-20	-0.93329249	-1.493021282	3.015959154	3.206977676	DE	Down	-1.21316	3.11147	MvSl-1064-A2-R4_MC14g12244	53.37	53.37	0
MvSl-1064-A1-R4_MC06g07138	aAutosome	aAutosome	7	81.7143	572	0	0	0	-4.461922418	1.89E-32	6.685646127	6.55685001	11.05038222	11.11551479	DE	Down	6.62125	11.0829	MvSl-1064-A2-R4_MC06-2g07403	56.05	56.05	0
MvSl-1064-A1-R4_A1g00835	faBlack	NRR	2	65.5	131	0	-3	-6	-4.211399549	2.53E-35	0.806199111	1.391091799	5.280483426	5.286114965	DE	Down	1.09865	5.2833	MvSl-1064-A2-R4_A2g01032	50.55	51.59	-1.04
MvSl-1064-A1-R4_MC10-1g09854	aAutosome	aAutosome	2	330.5	661	0	0	0	-4.099725871	2.38E-10	-3.357020002	-0.706185577	2.330393937	2.104473194	DE	Down	-2.0316	2.21743	MvSl-1064-A2-R4_MC10g10121	59.16	59.16	0
MvSl-1064-A1-R4_MC07g07961	aAutosome	aAutosome	1	184	184	0	1	1	-4.098797133	2.96E-36	1.048338907	1.551873238	5.32389424	5.418367239	DE	Down	1.30011	5.37113	MvSl-1064-A2-R4_MC07g08226	56.22	56.22	0
MvSl-1064-A1-R4_MC05-1g06209	aAutosome	aAutosome	2	140	280	0	0	0	-3.931744769	1.51E-12	-1.088028472	-1.493021282	2.235656914	2.394992591	DE	Down	-1.29052	2.31532	MvSl-1064-A2-R4_MC05g06481	54.5	54.5	0
MvSl-1064-A1-R4_MC04-1g05826	aAutosome	aAutosome	1	0	0	0	0	0	-3.740847783	1.81E-12	-1.458435449	-0.19990251	3.024080756	2.626064894	DE	Down	-0.829169	2.82507	MvSl-1064-A2-R4_MC04-1g06102	61.51	61.51	0
MvSl-1064-A1-R4_A1g01163	fBlue	NRR	4	87	348	0	0.25	1	-3.618098308	3.53E-26	1.349065323	1.177619195	4.773978154	4.887945952	DE	Down	1.26334	4.83096	MvSl-1064-A2-R4_A2g00837	53.95	53.89	0.06
MvSl-1064-A1-R4_A1g01220	faBlack	NRR	8	86.125	689	1	-15.161	-20	-3.433526337	2.92E-50	4.997561152	5.06128654	8.507443298	8.410262351	DE	Down	5.02942	8.45885	MvSl-1064-A2-R4_A2g01388	56.68	55.86	0.82
MvSl-1064-A1-R4_MC11g10730	aAutosome	aAutosome	4	147.25	589	0	0	0	-3.427925512	8.51E-18	0.403304404	0.88733691	3.856198929	4.163004071	DE	Down	0.645321	4.0096	MvSl-1064-A2-R4_MC11g10995	54.09	54.09	0
MvSl-1064-A1-R4_MC01-1g02827	aAutosome	aAutosome	2	70.5	141	0	0	0	-3.39796683	2.01E-05	-2.292558678	-1.719121546	0.460710554	1.166512797	DE	Down	-2.00584	0.813612	MvSl-1064-A2-R4_MC01g03109	58.27	58.27	0
MvSl-1064-A1-R4_MC01-1g02912	aAutosome	aAutosome	6	167.833	1007	0	0	0	-3.208883457	1.46E-10	-0.666168435	-0.038483768	2.514602776	2.932674515	DE	Down	-0.352326	2.72364	MvSl-1064-A2-R4_MC01g03205	60.69	60.69	0
MvSl-1064-A1-R4_MC09-2g09566	aAutosome	aAutosome	2	104	208	0	0	0	-3.143776031	1.54E-05	-2.728764869	-0.971797914	1.043481563	1.252011589	DE	Down	-1.85028	1.14775	MvSl-1064-A2-R4_MC09g09840	52.34	52.34	0
MvSl-1064-A1-R4_MC01-1g01970	aAutosome	aAutosome	1	0	0	0	0	0	-2.966533646	2.17E-30	5.830965307	5.617844601	8.476334294	8.880687087	DE	Down	5.7244	8.67851	MvSl-1064-A2-R4_MC01g02251	52.72	52.72	0
MvSl-1064-A1-R4_MC11g10201	aAutosome	aAutosome	1	51	51	0	0	0	-2.876708525	2.16E-07	-0.246035122	-1.125522191	2.00891518	2.119717945	DE	Down	-0.685779	2.06432	MvSl-1064-A2-R4_MC11g10460	60.99	60.99	0
MvSl-1064-A1-R4_A1g00929	faBlack	NRR	2	69	138	0	0	0	-2.777924797	0.000195103	-2.292558678	-0.971797914	0.909608341	0.978626451	DE	Down	-1.63218	0.944117	MvSl-1064-A2-R4_A2g01687	58.45	57.82	0.63
MvSl-1064-A1-R4_MC01-1g02924	aAutosome	aAutosome	7	179.571	1257	0	0	0	-2.590604926	0.004612151	-3.357020002	-0.706185577	0.553409308	0.944787738	DE	Down	-2.0316	0.749099	MvSl-1064-A2-R4_MC01g03193	60.66	60.66	0
MvSl-1064-A1-R4_MC03g05222	aAutosome	aAutosome	2	132.5	265	0	0	0	-2.473053475	3.25E-15	2.674020961	2.434458944	5.078884456	4.944689017	DE	Down	2.55424	5.01179	MvSl-1064-A2-R4_MC03g05499	51	51	0
MvSl-1064-A1-R4_MC04-1g06069	aAutosome	aAutosome	5	88.4	442	0	0	0	-2.352149863	1.55E-13	2.36656505	2.565830449	4.795488584	4.810207608	DE	Down	2.4662	4.80285	MvSl-1064-A2-R4_MC04-2g06351	55.95	55.95	0
MvSl-1064-A1-R4_MC11g10575	aAutosome	aAutosome	3	104.333	313	0	0	0	-2.345213867	0.003926097	-0.549121357	-1.987362992	0.597616729	1.306319565	DE	Down	-1.26824	0.951968	MvSl-1064-A2-R4_MC11g10839	52.3	52.3	0
MvSl-1064-A1-R4_MC05-3g06760	aAutosome	aAutosome	4	64.25	257	0	0	0	-2.341356549	0.013939216	-0.93329249	-1.719121546	-0.120970938	1.33272568	DE	Down	-1.32621	0.605877	MvSl-1064-A2-R4_MC05g07024	53.78	53.78	0
MvSl-1064-A1-R4_MC03g05070	aAutosome	aAutosome	2	86	172	0	0	0	-2.332226538	0.023782788	0.460262101	-2.745346744	1.550325692	1.992996033	DE	Down	-1.14254	1.77166	MvSl-1064-A2-R4_MC03g05347	59.51	59.51	0
MvSl-1064-A1-R4_MC05-3g06731	aAutosome	aAutosome	2	90	180	0	0	0	-2.331804709	1.79E-18	3.549406263	4.001951107	6.027154375	6.203445007	DE	Down	3.77568	6.1153	MvSl-1064-A2-R4_MC05g06995	56.22	56.22	0
MvSl-1064-A1-R4_MC11g10346	aAutosome	aAutosome	6	129.667	778	0	0	0	-2.317300325	4.51E-05	1.048338907	0.359389254	2.343433895	3.443436684	DE	Down	0.703864	2.89344	MvSl-1064-A2-R4_MC11g10607	57.55	57.55	0
MvSl-1064-A1-R4_A1g00804	faBlack	NRR	1	0	0	0	0	0	-2.267327395	1.73E-05	0.618770606	0.035922101	2.193070165	2.815856156	DE	Down	0.327346	2.50446	MvSl-1064-A2-R4_A2g01310	61.42	61.52	-0.1
MvSl-1064-A1-R4_MC01-1g02734	aAutosome	aAutosome	2	117	234	0	0	0	-2.267291134	7.56E-14	2.709694047	2.870340981	5.082777651	5.005453072	DE	Down	2.79002	5.04412	MvSl-1064-A2-R4_MC01g03016	57.45	57.45	0
MvSl-1064-A1-R4_MC06g07102	aAutosome	aAutosome	4	110.5	442	0	0	0	-2.263685807	4.97E-07	1.010700459	0.623448787	2.815307064	3.22118199	DE	Down	0.817075	3.01824	MvSl-1064-A2-R4_MC06-2g07367	61.37	61.37	0
MvSl-1064-A1-R4_MC03g04879	aAutosome	aAutosome	2	88.5	177	0	0	0	-2.249655847	0.003512814	-0.666168435	-1.493021282	0.597616729	1.306319565	DE	Down	-1.07959	0.951968	MvSl-1064-A2-R4_MC03g05157	58.3	58.3	0
MvSl-1064-A1-R4_MC03g04959	aAutosome	aAutosome	1	0	0	0	0	0	-2.185827391	0.003930885	-1.686733609	-0.589718073	0.944259164	0.910136229	DE	Down	-1.13823	0.927198	MvSl-1064-A2-R4_MC03g05236	55.69	55.69	0
MvSl-1064-A1-R4_MC03g04909	aAutosome	aAutosome	4	184.5	738	0	0	0	-2.162625369	5.27E-10	2.158583424	2.0596307	4.24815104	4.248704991	DE	Down	2.10911	4.24843	MvSl-1064-A2-R4_MC03g05187	58.27	58.27	0
MvSl-1064-A1-R4_MC11g10627	aAutosome	aAutosome	3	86.6667	260	0	0	0	-2.115657648	3.46E-07	1.155698464	1.333253455	3.1481685	3.47341442	DE	Down	1.24448	3.31079	MvSl-1064-A2-R4_MC11g10891	58.94	58.94	0
MvSl-1064-A1-R4_MC07g08004	aAutosome	aAutosome	5	91.2	456	0	0	0	-2.066051918	9.29E-09	4.386915787	3.681059589	5.65332363	6.497718483	DE	Down	4.03399	6.07552	MvSl-1064-A2-R4_MC07g08269	54.94	54.94	0
MvSl-1064-A1-R4_MC04-2g06086	aAutosome	aAutosome	1	40	40	0	0	0	-2.050213059	1.02E-19	4.938650679	5.302673537	7.063987992	7.28678654	DE	Down	5.12066	7.17539	MvSl-1064-A2-R4_MC04-2g06357	60.21	60.21	0
MvSl-1064-A1-R4_MC03g04539	aAutosome	aAutosome	1	40	40	0	0	0	-2.032831905	0.001006361	0.972053696	0.470876269	1.992452877	3.192632118	DE	Down	0.721465	2.59254	MvSl-1064-A2-R4_MC03g04817	59.68	59.68	0
MvSl-1064-A1-R4_MC04-1g05424	aAutosome	aAutosome	1	0	0	0	0	0	-2.023845752	0.001677714	-0.666168435	-0.381684149	1.195045959	1.50515924	DE	Down	-0.523926	1.3501	MvSl-1064-A2-R4_MC04-1g05701	61.5	61.5	0
MvSl-1064-A1-R4_MC11g10630	aAutosome	aAutosome	1	0	0	0	0	0	-1.989496931	0.000476729	0.715526455	1.333253455	3.430717201	2.382407548	DE	Down	1.02439	2.90656	MvSl-1064-A2-R4_MC11g10894	54.04	54.04	0
MvSl-1064-A1-R4_MC05-2g06412	aAutosome	aAutosome	1	0	0	0	0	0	-1.975498848	4.23E-10	3.227203374	2.949470123	4.882932274	5.215145866	DE	Down	3.08834	5.04904	MvSl-1064-A2-R4_MC05g06686	55.73	55.73	0
MvSl-1064-A1-R4_MC01-1g02787	aAutosome	aAutosome	3	95.6667	287	0	0	0	-1.959306133	0.004214429	-0.157674885	-0.116936734	1.136316797	2.119717945	DE	Down	-0.137306	1.62802	MvSl-1064-A2-R4_MC01g03069	51.59	51.59	0
MvSl-1064-A1-R4_MC11g10628	aAutosome	aAutosome	1	0	0	0	0	0	-1.940425889	0.007213455	-0.793556811	-0.832887675	0.874104747	1.011689625	DE	Down	-0.813222	0.942897	MvSl-1064-A2-R4_MC11g10892	53.92	53.92	0
MvSl-1064-A1-R4_MC01-1g02805	aAutosome	aAutosome	1	42	42	0	0	0	-1.939109554	0.013670884	0.004299929	0.106678021	0.944259164	2.468281019	DE	Down	0.055489	1.70627	MvSl-1064-A2-R4_MC01g03087	58.2	58.2	0
MvSl-1064-A1-R4_A1g00959	faBlack	NRR	1	79	79	0	-71	-71	-1.929359364	7.97E-13	3.722366944	3.704060961	5.727315229	5.536670654	DE	Down	3.71321	5.63199	MvSl-1064-A2-R4_A2g01188	45.61	48.65	-3.04
MvSl-1064-A1-R4_MC07g08249	aAutosome	aAutosome	1	93	93	0	0	0	-1.903414504	0.010584503	-0.34016225	-0.971797914	0.80036376	1.384130738	DE	Down	-0.65598	1.09225	MvSl-1064-A2-R4_MC07g08514	57.42	57.42	0
MvSl-1064-A1-R4_MC08g08369	aAutosome	aAutosome	4	100.75	403	0	0	0	-1.869330153	1.18E-05	2.548306772	1.909397736	3.800549893	4.368406569	DE	Down	2.22885	4.08448	MvSl-1064-A2-R4_MC08-1g08634	52.62	52.62	0
MvSl-1064-A1-R4_MC02g03891	aAutosome	aAutosome	3	230.333	691	0	0	0	-1.868856006	3.54E-13	5.11750274	4.893834955	6.547332142	7.143113369	DE	Down	5.00567	6.84522	MvSl-1064-A2-R4_MC02g04169	54.63	54.63	0
MvSl-1064-A1-R4_MC10-2g09886	aAutosome	aAutosome	1	51	51	0	0	0	-1.847299065	3.11E-19	5.065677239	5.022926363	6.859629072	6.917464002	DE	Down	5.0443	6.88855	MvSl-1064-A2-R4_MC10g10150	61.78	61.78	0
MvSl-1064-A1-R4_MC01-2g02957	aAutosome	aAutosome	3	70	210	0	0	0	-1.782542131	0.004851522	0.403304404	0.470876269	2.548781409	1.595165087	DE	Down	0.43709	2.07197	MvSl-1064-A2-R4_MC01g03239	55.3	55.3	0
MvSl-1064-A1-R4_MC11g10654	aAutosome	aAutosome	2	186	372	0	0	0	-1.724472199	0.001893006	1.378915748	0.574362493	2.406922235	2.95834038	DE	Down	0.976639	2.68263	MvSl-1064-A2-R4_MC11g10918	56.96	56.96	0
MvSl-1064-A1-R4_MC14g11804	aAutosome	aAutosome	1	225	225	0	0	0	-1.719539125	3.74E-09	7.372230218	7.581554695	9.355006682	9.025694256	DE	Down	7.47689	9.19035	MvSl-1064-A2-R4_MC14g12065	58.89	58.89	0
MvSl-1064-A1-R4_MC10-1g09730	aAutosome	aAutosome	5	106.8	534	0	0	0	-1.675891802	4.45E-07	3.382621807	3.290722153	4.729970553	5.234531621	DE	Down	3.33667	4.98225	MvSl-1064-A2-R4_MC10g09997	53.53	53.53	0
MvSl-1064-A1-R4_MC15g12133	aAutosome	aAutosome	2	64.5	129	0	0	0	-1.671400763	0.001313841	0.849484255	1.303440845	2.957790562	2.444262849	DE	Down	1.07646	2.70103	MvSl-1064-A2-R4_MC15g12383	57.41	57.41	0
MvSl-1064-A1-R4_MC07g07964	aAutosome	aAutosome	1	0	0	0	0	0	-1.666841398	0.020173665	-0.246035122	0.035922101	1.778691564	1.075626088	DE	Down	-0.105057	1.42716	MvSl-1064-A2-R4_MC07g08229	53.44	53.44	0
MvSl-1064-A1-R4_MC05-2g06485	aAutosome	aAutosome	10	75.7	757	0	0	0	-1.656192403	0.007674289	0.618770606	-0.038483768	1.679344092	2.104473194	DE	Down	0.290143	1.89191	MvSl-1064-A2-R4_MC05g06759	52.87	52.87	0
MvSl-1064-A1-R4_MC16g12196	aAutosome	aAutosome	7	171	1197	0	-0.143	-1	-1.654295179	4.52E-11	4.307654374	4.184763328	5.880544292	5.913170325	DE	Down	4.24621	5.89686	MvSl-1064-A2-R4_MC16g12447	59.99	59.99	0
MvSl-1064-A1-R4_MC06g06907	aAutosome	aAutosome	3	113.333	340	0	0	0	-1.636579481	2.87E-10	4.681533184	4.354282256	5.96839273	6.328443926	DE	Down	4.51791	6.14842	MvSl-1064-A2-R4_MC06-1g07170	60.14	60.14	0
MvSl-1064-A1-R4_A1g01515	bPAR	NRR	1	0	0	0	0	0	-1.618544025	1.32E-10	4.832088603	4.438985482	6.223313518	6.302793667	DE	Down	4.63554	6.26305	MvSl-1064-A2-R4_A2g01828	62.38	62.38	0
MvSl-1064-A1-R4_MC11g10722	aAutosome	aAutosome	5	100.2	501	0	0	0	-1.583339112	2.60E-07	4.112697499	4.324905467	6.075823622	5.462381334	DE	Down	4.2188	5.7691	MvSl-1064-A2-R4_MC11g10987	58.55	58.55	0
MvSl-1064-A1-R4_MC09-2g09541	aAutosome	aAutosome	5	101.8	509	0	0	0	-1.582185073	1.05E-11	6.225327643	5.951565825	7.494557259	7.836697684	DE	Down	6.08845	7.66563	MvSl-1064-A2-R4_MC09g09815	55.27	55.27	0
MvSl-1064-A1-R4_MC12g11112	aAutosome	aAutosome	7	90.1429	631	0	0	0	-1.576709108	0.008919881	8.538948452	9.531731762	11.11400715	10.10406699	DE	Down	9.03534	10.609	MvSl-1064-A2-R4_MC12g11375	57.41	57.41	0
MvSl-1064-A1-R4_MC02g03606	aAutosome	aAutosome	4	105.5	422	0	0	0	-1.571618651	1.80E-11	6.65547626	6.511120036	8.268363983	8.0336559	DE	Down	6.5833	8.15101	MvSl-1064-A2-R4_MC02g03884	60.2	60.2	0
MvSl-1064-A1-R4_A1g00956	faBlack	NRR	1	83	83	0	-9	-9	-1.568578928	2.18E-11	4.82397341	5.182935099	6.601932869	6.559114882	DE	Down	5.00345	6.58052	MvSl-1064-A2-R4_A2g01182	56.71	56.92	-0.21
MvSl-1064-A1-R4_MC02g03274	aAutosome	aAutosome	4	126.25	505	0	0	0	-1.556238697	0.000170716	1.91548532	2.195684318	3.424594666	3.753030379	DE	Down	2.05558	3.58881	MvSl-1064-A2-R4_MC02g03554	55.23	55.23	0
MvSl-1064-A1-R4_MC08g08835	aAutosome	aAutosome	3	106.667	320	0	0	0	-1.553541328	0.049551849	-0.440861917	-0.287932128	0.762029913	1.33272568	DE	Down	-0.364397	1.04738	MvSl-1064-A2-R4_MC08-2g09116	56.12	56.12	0
MvSl-1064-A1-R4_MC11g10629	aAutosome	aAutosome	1	0	0	0	0	0	-1.551617205	0.023318432	-0.074415509	0.88733691	2.207405882	1.700308521	DE	Down	0.406461	1.95386	MvSl-1064-A2-R4_MC11g10893	61.11	61.11	0
MvSl-1064-A1-R4_MC02g03373	aAutosome	aAutosome	2	167.5	335	0	0	0	-1.549954537	2.81E-05	2.453298076	2.406685599	3.952960847	3.974629006	DE	Down	2.42999	3.96379	MvSl-1064-A2-R4_MC02g03653	53.48	53.48	0
MvSl-1064-A1-R4_MC10-1g09833	aAutosome	aAutosome	8	166.75	1334	0	0	0	-1.537434242	9.66E-12	5.063381169	5.361725911	6.703405305	6.805849697	DE	Down	5.21255	6.75463	MvSl-1064-A2-R4_MC10g10100	58.17	58.17	0
MvSl-1064-A1-R4_MC11g10255	aAutosome	aAutosome	4	119.25	477	0	0	0	-1.515490835	1.25E-07	5.238446202	5.464645585	7.194305845	6.449516311	DE	Down	5.35155	6.82191	MvSl-1064-A2-R4_MC11g10516	56.62	56.62	0
MvSl-1064-A1-R4_MC11g10508	aAutosome	aAutosome	5	67.8	339	0	0	0	-1.472193727	0.041761217	1.719439276	0.670919777	2.163964169	3.12625109	DE	Down	1.19518	2.64511	MvSl-1064-A2-R4_MC11g10770	57.06	57.06	0
MvSl-1064-A1-R4_MC04-1g05982	aAutosome	aAutosome	1	62	62	0	0	0	-1.44319894	0.023446345	1.994738801	1.391091799	2.491358723	3.587459353	DE	Down	1.69292	3.03941	MvSl-1064-A2-R4_MC04-2g06264	60.67	60.67	0
MvSl-1064-A1-R4_MC04-1g06004	aAutosome	aAutosome	1	0	0	0	0	0	-1.418219951	0.002997146	1.672003305	1.577010635	2.815307064	3.192632118	DE	Down	1.62451	3.00397	MvSl-1064-A2-R4_MC04-2g06286	54.84	54.84	0
MvSl-1064-A1-R4_MC13g11715	aAutosome	aAutosome	3	106.333	319	1	-32.667	41	-1.388354126	5.24E-10	5.211741514	5.454508252	6.779138971	6.668118565	DE	Down	5.33312	6.72363	MvSl-1064-A2-R4_MC13g11976	55.06	54.88	0.18
MvSl-1064-A1-R4_MC05-2g06461	aAutosome	aAutosome	3	71.6667	215	0	0	0	-1.387624162	0.003766631	1.719439276	2.005110088	2.983007674	3.449482271	DE	Down	1.86227	3.21624	MvSl-1064-A2-R4_MC05g06735	53.9	53.9	0
MvSl-1064-A1-R4_MC01-1g02725	aAutosome	aAutosome	1	64	64	0	0	0	-1.359295459	4.62E-06	3.845065665	3.84524514	5.061233885	5.324449695	DE	Down	3.84516	5.19284	MvSl-1064-A2-R4_MC01g03007	57.43	57.43	0
MvSl-1064-A1-R4_MC12g10779	aAutosome	aAutosome	1	95	95	0	0	0	-1.353987494	0.000808584	4.980626001	4.522229358	5.503084747	6.55140605	DE	Down	4.75143	6.02725	MvSl-1064-A2-R4_MC12g11042	51.08	51.08	0
MvSl-1064-A1-R4_MC01-1g02046	aAutosome	aAutosome	1	0	0	0	0	0	-1.334822507	0.002006165	2.732995298	2.349481544	3.677225409	4.048181704	DE	Down	2.54124	3.8627	MvSl-1064-A2-R4_MC01g02327	59.43	59.43	0
MvSl-1064-A1-R4_MC13g11418	aAutosome	aAutosome	1	53	53	0	0	0	-1.329352966	0.001341074	2.36656505	2.420639103	3.575899836	3.8291957	DE	Down	2.3936	3.70255	MvSl-1064-A2-R4_MC13g11679	54.83	54.83	0
MvSl-1064-A1-R4_A1g01358	faBlack	NRR	1	55	55	0	9	9	-1.310742222	0.011190976	1.349065323	1.333253455	2.614801414	2.626064894	DE	Down	1.34116	2.62043	MvSl-1064-A2-R4_A2g01109	53.76	52.21	1.55
MvSl-1064-A1-R4_MC01-1g02422	aAutosome	aAutosome	1	43	43	0	0	0	-1.308367889	0.023430663	1.874163783	1.47372115	2.548781409	3.296900174	DE	Down	1.67394	2.92284	MvSl-1064-A2-R4_MC01g02704	60.78	60.78	0
MvSl-1064-A1-R4_MC02g04206	aAutosome	aAutosome	2	108.5	217	0	0	0	-1.302753851	0.039964658	0.618770606	0.623448787	1.778691564	1.959496613	DE	Down	0.62111	1.86909	MvSl-1064-A2-R4_MC02g04484	55.78	55.78	0
MvSl-1064-A1-R4_MC06g07471	aAutosome	aAutosome	10	98.1	981	0	0	0	-1.298951371	0.006453122	2.305703696	2.112165742	3.177591675	3.753030379	DE	Down	2.20893	3.46531	MvSl-1064-A2-R4_MC06-2g07736	55.44	55.44	0
MvSl-1064-A1-R4_MC10-2g10132	aAutosome	aAutosome	1	81	81	0	0	0	-1.296467973	2.51E-06	5.556774421	5.092128944	6.400652043	6.840767472	DE	Down	5.32445	6.62071	MvSl-1064-A2-R4_MC10g10396	53.25	53.25	0
MvSl-1064-A1-R4_MC04-1g05801	aAutosome	aAutosome	5	88	440	0	0	0	-1.295875142	0.006786283	2.649739241	3.663564657	4.608302116	4.452084918	DE	Down	3.15665	4.53019	MvSl-1064-A2-R4_MC04-1g06077	53.49	53.49	0
MvSl-1064-A1-R4_MC11g10231	aAutosome	aAutosome	1	163	163	0	0	0	-1.28712	0.017274301	1.189780108	1.272999149	2.406922235	2.560544285	DE	Down	1.23139	2.48373	MvSl-1064-A2-R4_MC11g10492	52.48	52.48	0
MvSl-1064-A1-R4_MC04-1g05858	aAutosome	aAutosome	1	108	108	0	0	0	-1.283329854	9.01E-06	4.062996283	4.279687299	5.466303226	5.44281675	DE	Down	4.17134	5.45456	MvSl-1064-A2-R4_MC04-1g06134	60.04	60.04	0
MvSl-1064-A1-R4_MC02g04109	aAutosome	aAutosome	1	0	0	0	0	0	-1.274375465	0.00273754	3.322448313	2.900525286	4.110001574	4.627640785	DE	Down	3.11149	4.36882	MvSl-1064-A2-R4_MC02g04387	52.54	52.54	0
MvSl-1064-A1-R4_MC09-2g09380	aAutosome	aAutosome	1	252	252	0	0	0	-1.271449075	0.00132666	4.326924894	4.006584135	4.967484652	5.799436125	DE	Down	4.16675	5.38346	MvSl-1064-A2-R4_MC09g09654	56.42	56.42	0
MvSl-1064-A1-R4_MC04-1g06041	aAutosome	aAutosome	2	214	428	0	0	0	-1.26792222	1.73E-05	4.678535889	4.23695421	5.82235573	5.649947011	DE	Down	4.45775	5.73615	MvSl-1064-A2-R4_MC04-2g06323	58.02	58.02	0
MvSl-1064-A1-R4_MC13g11416	aAutosome	aAutosome	1	0	0	0	0	0	-1.267203968	0.045470225	0.715526455	1.177619195	2.00891518	2.356903245	DE	Down	0.946573	2.18291	MvSl-1064-A2-R4_MC13g11677	56.92	56.92	0
MvSl-1064-A1-R4_MC01-1g02753	aAutosome	aAutosome	1	0	0	0	0	0	-1.258587765	0.004637334	2.574341263	2.578332886	3.548008648	4.052160057	DE	Down	2.57634	3.80008	MvSl-1064-A2-R4_MC01g03035	56.41	56.41	0
MvSl-1064-A1-R4_MC02g03922	aAutosome	aAutosome	5	85.2	426	0	0	0	-1.256207955	0.004485541	3.977782082	3.08706654	4.694789536	4.988944583	DE	Down	3.53242	4.84187	MvSl-1064-A2-R4_MC02g04200	56.01	56.01	0
MvSl-1064-A1-R4_MC06g07191	aAutosome	aAutosome	29	99.931	2898	0	0	0	-1.254968644	0.002092458	4.595161408	4.36153393	5.164036505	6.142244175	DE	Down	4.47835	5.65314	MvSl-1064-A2-R4_MC06-2g07456	55.98	55.98	0
