a2	GC3a2	A1gene	GC3a1	GC3diff	chr	chr1	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE_status	DE_status2	A1_mean	A2_mean	GC0A1	GC0A2	Godiff
MvSl-1064-A2-R4_A2g00046	72.35	MvSl-1064-A1-R4_A1g00046	72.35	0	bPAR	bPAR	7	83.1429	582	0	0	0	0.172808324	0.999958419	4.072161155	3.90105375	3.878767083	3.753030379	NON	NON	3.98661	3.8159	55.29	55.29	0
MvSl-1064-A2-R4_A2g00047	56.67	MvSl-1064-A1-R4_A1g00047	56.67	0	bPAR	bPAR	5	74	370	0	0	0	0.101448809	0.999958419	4.92353937	5.151903479	4.988389483	4.892390922	NON	NON	5.03772	4.94039	51.56	51.56	0
MvSl-1064-A2-R4_A2g00048	54.77	MvSl-1064-A1-R4_A1g00048	54.77	0	bPAR	bPAR	1	0	0	0	0	0	0.007485268	0.999958419	4.829388608	4.798204851	4.804946785	4.807856549	NON	NON	4.8138	4.8064	53.24	53.24	0
MvSl-1064-A2-R4_A2g00049	54.58	MvSl-1064-A1-R4_A1g00049	54.58	0	bPAR	bPAR	7	79.1429	554	0	0	0	0.016501789	0.999958419	5.344367756	5.343530358	5.175019633	5.46536786	NON	NON	5.34395	5.32019	50.08	50.08	0
MvSl-1064-A2-R4_A2g00050	56.83	MvSl-1064-A1-R4_A1g00050	56.83	0	bPAR	bPAR	3	72.6667	218	0	0	0	-0.305565903	0.945084766	4.72866189	5.779520959	5.78101958	5.51233013	NON	NON	5.25409	5.64667	52.05	52.05	0
MvSl-1064-A2-R4_A2g00051	59.05	MvSl-1064-A1-R4_A1g00051	59.05	0	bPAR	bPAR	4	85	340	0	0	0	0.525224843	0.303485109	6.791396853	7.346876665	6.785124925	6.319394332	NON	NON	7.06914	6.55226	53.02	53.02	0
MvSl-1064-A2-R4_A2g00052	54.55	MvSl-1064-A1-R4_A1g00052	54.55	0	bPAR	bPAR	1	180	180	0	0	0	-0.24696277	0.999958419	0.891508457	1.177619195	1.679344092	0.723173516	NON	NON	1.03456	1.20126	52.81	52.81	0
MvSl-1064-A2-R4_A2g00053	59.67	MvSl-1064-A1-R4_A1g00053	59.67	0	bPAR	bPAR	5	71.4	357	0	0	0	0.092722371	0.999958419	6.510471055	6.711701588	6.618119322	6.419032533	NON	NON	6.61109	6.51858	54.42	54.42	0
MvSl-1064-A2-R4_A2g00054	59.13	MvSl-1064-A1-R4_A1g00054	59.13	0	bPAR	bPAR	7	76.7143	537	0	0	0	-0.264670368	0.999958419	2.225828617	2.501639513	2.897177754	2.304500823	NON	NON	2.36373	2.60084	53.13	53.13	0
MvSl-1064-A2-R4_A2g00055	56.18	MvSl-1064-A1-R4_A1g00055	56.18	0	bPAR	bPAR	2	72	144	0	0	0	-0.468008418	0.453473626	5.323412727	4.959824054	5.434665139	5.783969646	NON	NON	5.14162	5.60932	56.49	56.49	0
MvSl-1064-A2-R4_A2g00056	73.48	MvSl-1064-A1-R4_A1g00056	73.48	0	bPAR	bPAR	6	94.6667	568	0	0	0	0.138986425	0.999958419	8.201643397	8.797468568	8.381733628	8.400543448	NON	NON	8.49956	8.39114	56.96	56.96	0
MvSl-1064-A2-R4_A2g00057	62.96	MvSl-1064-A1-R4_A1g00057	62.96	0	bPAR	bPAR	1	0	0	0	0	0	-0.05443888	0.999958419	4.360976168	4.773952496	4.67429408	4.598012098	NON	NON	4.56746	4.63615	53.4	53.4	0
MvSl-1064-A2-R4_A2g00058	58	MvSl-1064-A1-R4_A1g00058	58	0	bPAR	bPAR	1	128	128	0	0	0	0.348340275	0.999958419	0.715526455	1.11033882	0.553409308	0.641031669	NON	NON	0.912933	0.59722	49.33	49.33	0
MvSl-1064-A2-R4_A2g00059	56.52	MvSl-1064-A1-R4_A1g00059	56.52	0	bPAR	bPAR	1	0	0	0	0	0	0.007343101	0.999958419	2.833430193	3.603666807	3.322926294	3.199822728	NON	NON	3.21855	3.26137	52.17	52.17	0
MvSl-1064-A2-R4_A2g00060	66.98	MvSl-1064-A1-R4_A1g00060	66.98	0	bPAR	bPAR	5	119.8	599	0	0	0	0.159124156	0.999958419	3.299220063	2.420639103	2.277022511	3.1337794	NON	NON	2.85993	2.7054	55.77	55.77	0
MvSl-1064-A2-R4_A2g00061	67.27	MvSl-1064-A1-R4_A1g00061	67.27	0	bPAR	bPAR	3	100.333	301	0	0.333	1	0.162009488	0.98684762	7.135922302	7.170250696	7.042159657	6.938571948	NON	NON	7.15309	6.99037	56.06	56.06	0
MvSl-1064-A2-R4_A2g00062	48.95	MvSl-1064-A1-R4_A1g00062	48.95	0	bPAR	bPAR	5	129	645	0	0	0	-0.149956869	0.999958419	5.994150779	6.006952412	6.232980517	6.062640846	NON	NON	6.00055	6.14781	56.78	56.78	0
MvSl-1064-A2-R4_A2g00063	56.15	MvSl-1064-A1-R4_A1g00063	56.15	0	bPAR	bPAR	3	108.333	325	0	0.333	1	0.061904548	0.999958419	5.011920433	5.06128654	4.98423268	4.965932483	NON	NON	5.0366	4.97508	50.89	50.89	0
MvSl-1064-A2-R4_A2g00064	60.09	MvSl-1064-A1-R4_A1g00064	60.09	0	bPAR	bPAR	3	151.667	455	0	0	0	-0.174246289	0.999958419	8.065726653	8.200668448	8.379163613	8.235197802	NON	NON	8.1332	8.30718	57.08	57.08	0
MvSl-1064-A2-R4_A2g00065	54.92	MvSl-1064-A1-R4_A1g00065	54.92	0	bPAR	bPAR	10	81.9	819	0	0.1	1	0.256054292	0.822268879	7.421018731	7.312210314	7.12802976	7.095234597	NON	NON	7.36661	7.11163	51.44	51.44	0
MvSl-1064-A2-R4_A2g00066	76.22	MvSl-1064-A1-R4_A1g00066	76.22	0	bPAR	bPAR	2	73	146	0	0	0	0.031593411	0.999958419	7.924226684	8.102375822	8.192924801	7.740743534	NON	NON	8.0133	7.96683	58.2	58.2	0
MvSl-1064-A2-R4_A2g00067	56.42	MvSl-1064-A1-R4_A1g00067	56.42	0	bPAR	bPAR	8	105	840	0	0	0	-0.223086763	0.999958419	1.436825263	1.177619195	1.043481563	1.890069826	NON	NON	1.30722	1.46678	50.07	50.07	0
MvSl-1064-A2-R4_A2g00068	56.53	MvSl-1064-A1-R4_A1g00068	56.53	0	bPAR	bPAR	3	124.667	374	0	0	0	-0.392762525	0.999958419	0.932343106	0.846572997	0.640509712	1.700308521	NON	NON	0.889458	1.17041	56.7	56.7	0
MvSl-1064-A2-R4_A2g00069	64.76	MvSl-1064-A1-R4_A1g00069	64.76	0	bPAR	bPAR	2	98	196	0	0	0	-0.260923672	0.890868542	6.025156322	5.607207381	5.910425425	6.25267843	NON	NON	5.81618	6.08155	60.02	60.02	0
MvSl-1064-A2-R4_A2g00070	59.3	MvSl-1064-A1-R4_A1g00070	59.3	0	bPAR	bPAR	1	84	84	0	0	0	0.338336875	0.60140699	7.43040336	7.366833192	6.985578873	7.13234916	NON	NON	7.39862	7.05896	57.67	57.67	0
MvSl-1064-A2-R4_A2g00071	56.65	MvSl-1064-A1-R4_A1g00071	56.65	0	bPAR	bPAR	4	97.5	390	0	0	0	0.520825111	0.502085315	4.194707427	4.275854357	3.737737906	3.69823218	NON	NON	4.23528	3.71799	52.35	52.35	0
MvSl-1064-A2-R4_A2g00072	67.47	MvSl-1064-A1-R4_A1g00072	67.47	0	bPAR	bPAR	4	110.25	441	0	0	0	0.103669735	0.999958419	8.111451187	7.511570802	7.54234444	7.911690595	NON	NON	7.81151	7.72702	55.02	55.02	0
MvSl-1064-A2-R4_A2g00073	66.76	MvSl-1064-A1-R4_A1g00073	66.76	0	bPAR	bPAR	3	107.667	323	0	0	0	-0.80991947	0.049762042	4.832088603	4.317466843	5.54883681	5.244996893	DE	Down	4.57478	5.39692	56.83	56.83	0
MvSl-1064-A2-R4_A2g00074	76.06	MvSl-1064-A1-R4_A1g00074	76.06	0	bPAR	bPAR	10	124.3	1243	0	0	0	0.569611229	0.460354434	8.635039383	9.275169495	8.615365001	8.195955786	NON	NON	8.9551	8.40566	58.2	58.2	0
MvSl-1064-A2-R4_A2g00076	55.35	MvSl-1064-A1-R4_A1g00076	55.35	0	bPAR	bPAR	1	125	125	0	0	0	-0.042967715	0.999958419	7.005657271	7.137886629	7.102849018	7.129527847	NON	NON	7.07177	7.11619	53.1	53.1	0
MvSl-1064-A2-R4_A2g00077	53.58	MvSl-1064-A1-R4_A1g00077	53.8	0.22	bPAR	bPAR	1	93	93	0	0	0	0.049928904	0.999958419	6.504559513	6.686659062	6.665616765	6.421341294	NON	NON	6.59561	6.54348	57.99	58.13	-0.14
MvSl-1064-A2-R4_A2g00078	62.34	MvSl-1064-A1-R4_A1g00078	62.34	0	bPAR	bPAR	1	0	0	0	0	0	0.994579566	0.003970201	7.302393418	7.724802124	6.845949474	6.138506951	DE	Up	7.5136	6.49223	54.55	54.55	0
MvSl-1064-A2-R4_A2g00079	62.49	MvSl-1064-A1-R4_A1g00079	62.49	0	bPAR	bPAR	10	83.6	836	0	0.1	1	1.64719803	7.96E-08	6.547084735	5.863644433	4.361456565	4.807856549	DE	Up	6.20536	4.58466	54.4	54.4	0
MvSl-1064-A2-R4_A2g00080	57.24	MvSl-1064-A1-R4_A1g00080	57.24	0	bPAR	bPAR	3	92	276	0	0	0	1.361803636	8.67E-08	6.185765975	5.880148605	4.707452897	4.65667321	DE	Up	6.03296	4.68206	54.82	54.39	0.43
MvSl-1064-A2-R4_A2g00081	62.09	MvSl-1064-A1-R4_A1g00081	62.09	0	faBlack	NRR	8	84	672	0	0.25	2	2.862523103	8.17E-26	6.532218547	6.091154497	3.269272678	3.657029593	DE	Up	6.31169	3.46315	53.48	53.39	0.09
MvSl-1064-A2-R4_A2g00116	55.19	MvSl-1064-A1-R4_A1g00106	54.75	-0.44	faBlack	NRR	3	81	243	0	-9.3333	-28	-0.635472111	0.707465373	0.849484255	1.003142346	1.383594751	1.679883939	NON	NON	0.926313	1.53174	51.43	51.73	-0.3
MvSl-1064-A2-R4_A2g00117	59.55	MvSl-1064-A1-R4_A1g00107	59.55	0	faBlack	NRR	11	89	979	0	0	0	2.471248171	3.52E-06	2.051446505	1.889468994	-0.440443164	-0.271390809	DE	Up	1.97046	-0.355917	54.23	54.31	-0.08
MvSl-1064-A2-R4_A2g00118	75	MvSl-1064-A1-R4_A1g00108	75	0	faBlack	NRR	1	0	0	0	0	0	0.321456545	0.836808331	4.866736322	5.330655535	4.832954941	4.760012405	NON	NON	5.0987	4.79648	63.1	63.1	0
MvSl-1064-A2-R4_A2g00119	65.11	MvSl-1064-A1-R4_A1g00109	64.44	-0.67	cGreen	NRR	2	71	142	0	0	0	0.203157286	0.976804264	6.865750029	7.340009714	7.105721829	6.705225379	NON	NON	7.10288	6.90547	64.02	64.26	-0.24
MvSl-1064-A2-R4_A2g00120	64.76	MvSl-1064-A1-R4_A1g00110	64.88	0.12	cGreen	NRR	2	200.5	401	0	0	0	-0.239746971	0.940149944	8.180611842	7.995437599	8.264298626	8.394092918	NON	NON	8.08802	8.3292	60.52	60.56	-0.04
MvSl-1064-A2-R4_A2g00122	60.53	MvSl-1064-A1-R4_A1g00112	62.96	2.43	cGreen	NRR	2	148	296	0	-23	-46	-1.252868453	0.015981452	2.637443386	1.806881504	3.393586075	3.630667327	DE	Down	2.22216	3.51213	57.41	57.31	0.1
MvSl-1064-A2-R4_A2g00123	72.22	MvSl-1064-A1-R4_A1g00113	72.33	0.11	cGreen	NRR	2	84	168	0	0	0	0.078226036	0.999958419	8.137060205	7.784357893	7.869483977	7.916608751	NON	NON	7.96071	7.89305	61.59	61.48	0.11
MvSl-1064-A2-R4_A2g00124	62.13	MvSl-1064-A1-R4_A1g00367	63.79	1.66	dRed	NRR	4	75.25	301	0	0	0	0.55317147	0.436857925	4.194707427	4.264294048	3.666888549	3.693145751	NON	NON	4.2295	3.68002	56.68	56.62	0.06
MvSl-1064-A2-R4_A2g00125	63.84	MvSl-1064-A1-R4_A1g00368	64.34	0.5	dRed	NRR	3	85.6667	257	0	-0.3333	-1	0.047631159	0.999958419	6.048561394	6.377108691	6.354700873	5.968948674	NON	NON	6.21284	6.16182	57.44	57.19	0.25
MvSl-1064-A2-R4_A2g00126	66.15	MvSl-1064-A1-R4_A1g00369	66.15	0	dRed	NRR	5	75.8	379	0	0	0	0.088019809	0.999958419	6.983362633	7.208454582	7.064972384	6.957785847	NON	NON	7.09591	7.01138	56.46	56.46	0
MvSl-1064-A2-R4_A2g00127	68.35	MvSl-1064-A1-R4_A1g00370	68.34	-0.01	dRed	NRR	5	64.8	324	0	0	0	0.071834435	0.999958419	6.995456553	7.051409761	6.933710852	6.969928766	NON	NON	7.02343	6.95182	56.01	56.02	-0.01
MvSl-1064-A2-R4_A2g00128	64.63	MvSl-1064-A1-R4_A1g00371	64.01	-0.62	dRed	NRR	6	91.3333	548	0	2.6666	16	0.323685138	0.638844931	7.404333904	7.500938328	7.096123462	7.163024829	NON	NON	7.45264	7.12957	58.06	58.3	-0.24
MvSl-1064-A2-R4_A2g00129	69.52	MvSl-1064-A1-R4_A1g00372	69.82	0.3	dRed	NRR	5	79	395	0	0	0	-0.153090469	0.999958419	7.300445036	7.394051345	7.518828324	7.483007586	NON	NON	7.34725	7.50092	55.85	55.75	0.1
MvSl-1064-A2-R4_A2g00130	68.73	MvSl-1064-A1-R4_A1g00373	68.73	0	dRed	NRR	3	100	300	0	0	0	-0.309993049	0.817155424	5.203424239	5.705940177	5.921337318	5.636761223	NON	NON	5.45468	5.77905	61.03	61.03	0
MvSl-1064-A2-R4_A2g00131	66.19	MvSl-1064-A1-R4_A1g00374	66.05	-0.14	dRed	NRR	4	71.5	286	0	0	0	-0.126027095	0.999958419	7.885434747	7.463937658	7.749095114	7.879866999	NON	NON	7.67469	7.81448	55.02	55.11	-0.09
MvSl-1064-A2-R4_A2g00132	58.27	MvSl-1064-A1-R4_A1g00375	57.46	-0.81	dRed	NRR	1	75	75	0	0	0	0.630356769	0.368264994	4.768673228	4.379505229	3.65124305	4.213612838	NON	NON	4.57409	3.93243	53.48	53.48	0
MvSl-1064-A2-R4_A2g00153	59.69	MvSl-1064-A1-R4_A1g01392	59.47	-0.22	faBlack	NRR	4	72.5	290	0	-4.5	-18	0.221441848	0.954006241	5.47102781	5.938290068	5.575331098	5.426052316	NON	NON	5.70466	5.50069	56.56	56.68	-0.12
MvSl-1064-A2-R4_A2g00160	55.08	MvSl-1064-A1-R4_A1g00209	55.31	0.23	faBlack	NRR	3	204.667	614	2	143.667	553	1.275245122	1.08E-07	6.343580288	6.224399169	4.982149778	5.041920655	DE	Up	6.28399	5.01204	53.54	53.93	-0.39
MvSl-1064-A2-R4_A2g00163	63.01	MvSl-1064-A1-R4_A1g01415	63.29	0.28	faBlack	NRR	10	107.8	1078	0	0.1	1	-0.3938514	0.418578881	6.689373383	6.611856504	7.199245606	6.871486828	NON	NON	6.65061	7.03537	53.24	53.06	0.18
MvSl-1064-A2-R4_A2g00169	67.38	MvSl-1064-A1-R4_A1g00290	68.12	0.74	faBlack	NRR	4	86.75	347	0	0.5	2	-0.171909394	0.99271075	7.042843218	7.233373128	7.196553288	7.420904294	NON	NON	7.13811	7.30873	55.89	55.67	0.22
MvSl-1064-A2-R4_A2g00179	63.71	MvSl-1064-A1-R4_A1g00772	64.24	0.53	fBlue	NRR	3	82.6667	248	0	17	51	0.40820065	0.870622395	3.850402413	4.704363765	4.198779582	3.609225091	NON	NON	4.27738	3.904	56.01	55.96	0.05
MvSl-1064-A2-R4_A2g00185	81.25	MvSl-1064-A1-R4_A1g01389	82.65	1.4	faBlack	NRR	1	0	0	0	0	0	0.424743351	0.425618247	6.707131379	7.098825877	6.654542294	6.308625653	NON	NON	6.90298	6.48158	63.27	62.15	1.12
MvSl-1064-A2-R4_A2g00186	73.22	MvSl-1064-A1-R4_A1g01388	75.17	1.95	faBlack	NRR	2	65.5	131	0	1.5	3	-0.405275717	0.781615123	4.66345529	5.628403965	5.78101958	5.46088575	NON	NON	5.14593	5.62095	55.76	56.5	-0.74
MvSl-1064-A2-R4_A2g00195	63.39	MvSl-1064-A1-R4_A1g01252	60.56	-2.83	eOrange	NRR	4	130.25	521	0	-19.5	-78	-0.196291943	0.939446752	6.963798978	6.984879815	7.184828165	7.156110139	NON	NON	6.97434	7.17047	55.9	56.5	-0.6
MvSl-1064-A2-R4_A2g00196	62.35	MvSl-1064-A1-R4_A1g01253	61.75	-0.6	faBlack	NRR	4	105	420	0	10	40	0.883920258	0.001349784	6.908589455	7.116078726	6.325425345	5.910981333	DE	Up	7.01233	6.1182	52.64	51.57	1.07
MvSl-1064-A2-R4_A2g00203	70.52	MvSl-1064-A1-R4_A1g00800	70.85	0.33	faBlack	NRR	8	102.375	819	-1	6.2639	-46	0.846571444	0.000546173	7.016973367	7.322930157	6.35791734	6.306129117	DE	Up	7.16995	6.33202	58.74	59.17	-0.43
MvSl-1064-A2-R4_A2g00204	63.61	MvSl-1064-A1-R4_A1g00801	63.61	0	fBlue	NRR	2	76	152	0	0	0	0.03150145	0.999958419	3.35284876	3.954783646	3.874281606	3.394137716	NON	NON	3.65382	3.63421	53.58	53.49	0.09
MvSl-1064-A2-R4_A2g00210	64.34	MvSl-1064-A1-R4_A1g00593	64.34	0	fBlue	NRR	6	90.1667	541	0	0.5	3	-0.033157431	0.999958419	8.150102016	7.916704828	7.981638843	8.155616452	NON	NON	8.0334	8.06863	56.83	56.69	0.14
MvSl-1064-A2-R4_A2g00231	65.45	MvSl-1064-A1-R4_A1g00641	62.96	-2.49	faBlack	NRR	1	128	128	0	-1	-1	2.24131479	1.10E-08	3.650764111	4.196976043	1.616276656	1.854061975	DE	Up	3.92387	1.73517	53.7	55.76	-2.06
MvSl-1064-A2-R4_A2g00239	60.89	MvSl-1064-A1-R4_A1g00726	62.6	1.71	faBlack	NRR	6	114.833	689	-1	3.833	-88	0.311615773	0.728923198	7.490172823	7.808437404	7.40293606	7.288052196	NON	NON	7.64931	7.34549	55.22	54.74	0.48
MvSl-1064-A2-R4_A2g00241	62.03	MvSl-1064-A1-R4_A1g00246	62.9	0.87	faBlack	NRR	2	173	346	0	3	6	-0.870177676	0.00016678	5.890461818	5.808994983	6.688152922	6.749999634	DE	Down	5.84973	6.71908	56.33	56.04	0.29
MvSl-1064-A2-R4_A2g00258	55.56	MvSl-1064-A1-R4_A1g00215	58.93	3.37	faBlack	NRR	1	0	0	0	0	0	0.696380719	0.293071488	3.397281046	3.621898716	2.777373466	2.87094983	NON	NON	3.50959	2.82416	59.52	56.61	2.91
