Gene	Genomicloc	intronnra1	intronmeana1	introntotala1	Genea2	intronnra2	intronmeana2	introntotala2	intronnrdiff	intronmeandiff	introntotaldiff	genea1v	loc	start	end	Logfc
MvSl-1064-A1-R4_A1g00624	Purple	7	107.286	751	MvSl-1064-A2-R4_A2g00431	7	99	693	0	8.286	58	MvSl-1064-A1-R4_A1g00624	MvSl-1064-A1-R4_A1	aMAT	908654	911656	0.808088471763115
MvSl-1064-A1-R4_A1g00635	Black	10	66.5	665	MvSl-1064-A2-R4_A2g00615	8	87.5	700	2	-21	-35	MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1091186	1095689	3.59765044110069
MvSl-1064-A1-R4_A1g00641	Black	1	128	128	MvSl-1064-A2-R4_A2g00231	1	129	129	0	-1	-1	MvSl-1064-A1-R4_A1g00641	MvSl-1064-A1-R4_A1	aMAT	545893	546933	2.24131478981213
MvSl-1064-A1-R4_A1g00644	Black	1	156	156	MvSl-1064-A2-R4_A2g01002	1	45	45	0	111	111	MvSl-1064-A1-R4_A1g00644	MvSl-1064-A1-R4_A1	aMAT	1588797	1592442	1.3207337051043
MvSl-1064-A1-R4_A1g00646	Black	2	86	172	MvSl-1064-A2-R4_A2g01534	2	86	172	0	0	0	MvSl-1064-A1-R4_A1g00646	MvSl-1064-A1-R4_A1	aMAT	2776699	2777667	1.50964723349858
MvSl-1064-A1-R4_A1g00668	Orange	7	131	917	MvSl-1064-A2-R4_A2g00904	6	126.167	757	1	4.833	160	MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1389234	1391759	5.49597304172742
MvSl-1064-A1-R4_A1g00800	Black	8	102.375	819	MvSl-1064-A2-R4_A2g00203	9	96.1111	865	-1	6.2639	-46	MvSl-1064-A1-R4_A1g00800	MvSl-1064-A1-R4_A1	aMAT	486140	486307	0.846571443694008
MvSl-1064-A1-R4_A1g00853	Purple	6	114.833	689	MvSl-1064-A2-R4_A2g01112	5	159.6	798	1	-44.767	-109	MvSl-1064-A1-R4_A1g00853	MvSl-1064-A1-R4_A1	aMAT	1711315	1715586	1.60202969465559
MvSl-1064-A1-R4_A1g00920	Black	4	115.5	462	MvSl-1064-A2-R4_A2g01577	3	95.3333	286	1	20.1667	176	MvSl-1064-A1-R4_A1g00920	MvSl-1064-A1-R4_A1	aMAT	3000503	3001944	0.945533516235328
MvSl-1064-A1-R4_A1g00972	Black	3	81.3333	244	MvSl-1064-A2-R4_A2g01289	3	81.3333	244	0	0	0	MvSl-1064-A1-R4_A1g00972	MvSl-1064-A1-R4_A1	aMAT	2138970	2141225	1.76142274328535
MvSl-1064-A1-R4_A1g00997	Blue	4	92.25	369	MvSl-1064-A2-R4_A2g01153	4	89.25	357	0	3	12	MvSl-1064-A1-R4_A1g00997	MvSl-1064-A1-R4_A1	aMAT	1790347	1792433	2.95453030625525
MvSl-1064-A1-R4_A1g01137	Black	6	77.5	465	MvSl-1064-A2-R4_A2g00825	6	75.8333	455	0	1.6667	10	MvSl-1064-A1-R4_A1g01137	MvSl-1064-A1-R4_A1	aMAT	1164529	1164771	0.636191170333576
MvSl-1064-A1-R4_A1g01164	Black	10	83.2	832	MvSl-1064-A2-R4_A2g01564	9	83.2222	749	1	-0.0222	83	MvSl-1064-A1-R4_A1g01164	MvSl-1064-A1-R4_A1	aMAT	2987402	2994226	0.771436125356979
MvSl-1064-A1-R4_A1g01212	Black	7	79.5714	557	MvSl-1064-A2-R4_A2g00841	6	76.1667	457	1	3.4047	100	MvSl-1064-A1-R4_A1g01212	MvSl-1064-A1-R4_A1	aMAT	1185421	1186806	1.98008134205863
MvSl-1064-A1-R4_A1g01253	Black	4	105	420	MvSl-1064-A2-R4_A2g00196	4	95	380	0	10	40	MvSl-1064-A1-R4_A1g01253	MvSl-1064-A1-R4_A1	aMAT	473140	476235	0.883920257920335
MvSl-1064-A1-R4_A1g01261	Orange	7	146	1022	MvSl-1064-A2-R4_A2g01419	7	137	959	0	9	63	MvSl-1064-A1-R4_A1g01261	MvSl-1064-A1-R4_A1	aMAT	2570487	2572532	2.08306420383073
MvSl-1064-A1-R4_A1g01359	Black	5	78.2	391	MvSl-1064-A2-R4_A2g01110	5	66.2	331	0	12	60	MvSl-1064-A1-R4_A1g01359	MvSl-1064-A1-R4_A1	aMAT	1699348	1701504	0.921473077031638
MvSl-1064-A1-R4_A1g01384	Black	1	77	77	MvSl-1064-A2-R4_A2g01135	1	129	129	0	-52	-52	MvSl-1064-A1-R4_A1g01384	MvSl-1064-A1-R4_A1	aMAT	1761367	1764288	0.957219371976048
MvSl-1064-A1-R4_MC01-1g01952	Autosome	2	185	370	MvSl-1064-A2-R4_MC01g02233	2	185	370	0	0	0	MvSl-1064-A1-R4_MC01-1g01952	MvSl-1064-A1-R4_MC01-2	Chr01	349846	350081	0.612699942965943
MvSl-1064-A1-R4_MC01-1g02022	Autosome	2	93.5	187	MvSl-1064-A2-R4_MC01g02303	2	93.5	187	0	0	0	MvSl-1064-A1-R4_MC01-1g02022	MvSl-1064-A1-R4_MC01-1	Chr01	443094	443969	1.01427252193341
MvSl-1064-A1-R4_MC01-1g02161	Autosome	2	75.5	151	MvSl-1064-A2-R4_MC01g02442	2	75.5	151	0	0	0	MvSl-1064-A1-R4_MC01-1g02161	MvSl-1064-A1-R4_MC01-1	Chr01	700448	701057	1.6143253815741
MvSl-1064-A1-R4_MC01-1g02176	Autosome	4	176.25	705	MvSl-1064-A2-R4_MC01g02458	4	176.25	705	0	0	0	MvSl-1064-A1-R4_MC01-1g02176	MvSl-1064-A1-R4_MC01-1	Chr01	722869	724783	1.70690576953784
MvSl-1064-A1-R4_MC01-1g02598	Autosome	1	53	53	MvSl-1064-A2-R4_MC01g02880	1	53	53	0	0	0	MvSl-1064-A1-R4_MC01-1g02598	MvSl-1064-A1-R4_MC01-1	Chr01	1729784	1733845	2.02519603590215
MvSl-1064-A1-R4_MC01-1g02603	Autosome	3	105.333	316	MvSl-1064-A2-R4_MC01g02885	3	105.333	316	0	0	0	MvSl-1064-A1-R4_MC01-1g02603	MvSl-1064-A1-R4_MC01-1	Chr01	1744104	1745938	0.996392695186873
MvSl-1064-A1-R4_MC01-1g02785	Autosome	3	79	237	MvSl-1064-A2-R4_MC01g03067	3	79	237	0	0	0	MvSl-1064-A1-R4_MC01-1g02785	MvSl-1064-A1-R4_MC01-1	Chr01	2188911	2189774	1.81025775398997
MvSl-1064-A1-R4_MC01-1g02837	Autosome	1	90	90	MvSl-1064-A2-R4_MC01g03119	1	90	90	0	0	0	MvSl-1064-A1-R4_MC01-1g02837	MvSl-1064-A1-R4_MC01-1	Chr01	2299525	2301343	1.87941961144806
MvSl-1064-A1-R4_MC01-1g02869	Autosome	1	117	117	MvSl-1064-A2-R4_MC01g03151	1	117	117	0	0	0	MvSl-1064-A1-R4_MC01-1g02869	MvSl-1064-A1-R4_MC01-1	Chr01	2388232	2388937	5.23662639047278
MvSl-1064-A1-R4_MC01-1g02870	Autosome	7	109.143	764	MvSl-1064-A2-R4_MC01g03152	7	109.143	764	0	0	0	MvSl-1064-A1-R4_MC01-1g02870	MvSl-1064-A1-R4_MC01-1	Chr01	2389164	2391367	3.4212633127282
MvSl-1064-A1-R4_MC01-2g03113	Autosome	4	78.75	315	MvSl-1064-A2-R4_MC01g03393	4	78.75	315	0	0	0	MvSl-1064-A1-R4_MC01-2g03113	MvSl-1064-A1-R4_MC01-1	Chr01	2877953	2880822	1.19574608313116
MvSl-1064-A1-R4_MC01-2g03166	Autosome	1	83	83	MvSl-1064-A2-R4_MC01g03446	1	83	83	0	0	0	MvSl-1064-A1-R4_MC01-2g03166	MvSl-1064-A1-R4_MC02	Chr02	46893	50202	3.8248128880543
MvSl-1064-A1-R4_MC02g03224	Autosome	2	99.5	199	MvSl-1064-A2-R4_MC02g03504	2	99.5	199	0	0	0	MvSl-1064-A1-R4_MC02g03224	MvSl-1064-A1-R4_MC02	Chr02	198023	198831	0.829492030686843
MvSl-1064-A1-R4_MC02g03484	Autosome	1	94	94	MvSl-1064-A2-R4_MC02g03762	1	94	94	0	0	0	MvSl-1064-A1-R4_MC02g03484	MvSl-1064-A1-R4_MC02	Chr02	806915	808042	1.08084307440932
MvSl-1064-A1-R4_MC02g03498	Autosome	1	157	157	MvSl-1064-A2-R4_MC02g03776	1	157	157	0	0	0	MvSl-1064-A1-R4_MC02g03498	MvSl-1064-A1-R4_MC02	Chr02	834046	835876	2.37714819502237
MvSl-1064-A1-R4_MC03g04642	Autosome	4	148.75	595	MvSl-1064-A2-R4_MC03g04920	4	148.75	595	0	0	0	MvSl-1064-A1-R4_MC03g04642	MvSl-1064-A1-R4_MC03	Chr03	973608	977163	1.07079693085493
MvSl-1064-A1-R4_MC03g04747	Autosome	12	93.1667	1118	MvSl-1064-A2-R4_MC03g05025	12	93.1667	1118	0	0	0	MvSl-1064-A1-R4_MC03g04747	MvSl-1064-A1-R4_MC03	Chr03	1234285	1237148	0.842917789884051
MvSl-1064-A1-R4_MC03g04807	Autosome	1	73	73	MvSl-1064-A2-R4_MC03g05085	1	73	73	0	0	0	MvSl-1064-A1-R4_MC03g04807	MvSl-1064-A1-R4_MC03	Chr03	1389676	1391164	2.13155799551768
MvSl-1064-A1-R4_MC03g04844	Autosome	1	41	41	MvSl-1064-A2-R4_MC03g05122	1	41	41	0	0	0	MvSl-1064-A1-R4_MC03g04844	MvSl-1064-A1-R4_MC03	Chr03	1477378	1479347	1.47510513356149
MvSl-1064-A1-R4_MC03g04845	Autosome	2	161	322	MvSl-1064-A2-R4_MC03g05123	2	161	322	0	0	0	MvSl-1064-A1-R4_MC03g04845	MvSl-1064-A1-R4_MC03	Chr03	1480098	1480448	1.4869825572436
MvSl-1064-A1-R4_MC03g04929	Autosome	3	90.6667	272	MvSl-1064-A2-R4_MC03g05207	3	90.6667	272	0	0	0	MvSl-1064-A1-R4_MC03g04929	MvSl-1064-A1-R4_MC03	Chr03	1698538	1701021	1.53914510062594
MvSl-1064-A1-R4_MC03g05082	Autosome	1	80	80	MvSl-1064-A2-R4_MC03g05359	1	80	80	0	0	0	MvSl-1064-A1-R4_MC03g05082	MvSl-1064-A1-R4_MC03	Chr03	2070240	2071403	1.76462838833369
MvSl-1064-A1-R4_MC03g05154	Autosome	9	162.333	1461	MvSl-1064-A2-R4_MC03g05431	9	162.333	1461	0	0	0	MvSl-1064-A1-R4_MC03g05154	MvSl-1064-A1-R4_MC03	Chr03	2236247	2236895	1.27273254416559
MvSl-1064-A1-R4_MC03g05233	Autosome	11	112.636	1239	MvSl-1064-A2-R4_MC03g05510	11	112.636	1239	0	0	0	MvSl-1064-A1-R4_MC03g05233	MvSl-1064-A1-R4_MC03	Chr03	2430829	2431709	1.26986543578312
MvSl-1064-A1-R4_MC03g05235	Autosome	7	99.2857	695	MvSl-1064-A2-R4_MC03g05512	7	99.2857	695	0	0	0	MvSl-1064-A1-R4_MC03g05235	MvSl-1064-A1-R4_MC03	Chr03	2437236	2440046	1.7659332110009
MvSl-1064-A1-R4_MC04-1g05373	Autosome	9	110.444	994	MvSl-1064-A2-R4_MC04-1g05650	9	110.444	994	0	0	0	MvSl-1064-A1-R4_MC04-1g05373	MvSl-1064-A1-R4_MC04-1	Chr04	218527	219073	0.623684676508805
MvSl-1064-A1-R4_MC04-1g05411	Autosome	2	57	114	MvSl-1064-A2-R4_MC04-1g05688	4	57.5	230	-2	-0.5	-116	MvSl-1064-A1-R4_MC04-1g05411	MvSl-1064-A1-R4_MC04-1	Chr04	343240	347427	3.87394131480699
MvSl-1064-A1-R4_MC04-1g05441	Autosome	8	70.75	566	MvSl-1064-A2-R4_MC04-1g05718	8	70.75	566	0	0	0	MvSl-1064-A1-R4_MC04-1g05441	MvSl-1064-A1-R4_MC04-1	Chr04	421065	421307	0.664901010940451
MvSl-1064-A1-R4_MC04-1g05502	Autosome	3	78	234	MvSl-1064-A2-R4_MC04-1g05779	3	78	234	0	0	0	MvSl-1064-A1-R4_MC04-1g05502	MvSl-1064-A1-R4_MC04-1	Chr04	552732	553186	3.2736429012965
MvSl-1064-A1-R4_MC04-1g05729	Autosome	3	168	504	MvSl-1064-A2-R4_MC04-1g06005	3	168	504	0	0	0	MvSl-1064-A1-R4_MC04-1g05729	MvSl-1064-A1-R4_MC04-1	Chr04	1116693	1119291	0.804899346647012
MvSl-1064-A1-R4_MC04-1g05865	Autosome	8	88.625	709	MvSl-1064-A2-R4_MC04-1g06141	8	88.625	709	0	0	0	MvSl-1064-A1-R4_MC04-1g05865	MvSl-1064-A1-R4_MC04-1	Chr04	1439123	1440432	0.797419697558942
MvSl-1064-A1-R4_MC04-1g05911	Autosome	1	208	208	MvSl-1064-A2-R4_MC04-1g06187	1	208	208	0	0	0	MvSl-1064-A1-R4_MC04-1g05911	MvSl-1064-A1-R4_MC04-1	Chr04	1554327	1556717	1.89302608740147
MvSl-1064-A1-R4_MC04-1g05945	Autosome	4	86	344	MvSl-1064-A2-R4_MC04-1g06221	4	86	344	0	0	0	MvSl-1064-A1-R4_MC04-1g05945	MvSl-1064-A1-R4_MC04-1	Chr04	1623051	1624038	0.84875161925792
MvSl-1064-A1-R4_MC04-1g05987	Autosome	1	40	40	MvSl-1064-A2-R4_MC04-2g06269	1	40	40	0	0	0	MvSl-1064-A1-R4_MC04-1g05987	MvSl-1064-A1-R4_MC04-1	Chr04	1713418	1713721	1.29745721479352
MvSl-1064-A1-R4_MC05-1g06149	Autosome	6	79.8333	479	MvSl-1064-A2-R4_MC05g06421	6	79.8333	479	0	0	0	MvSl-1064-A1-R4_MC05-1g06149	MvSl-1064-A1-R4_MC05-3	Chr05	71756	72543	0.680708917123863
MvSl-1064-A1-R4_MC05-2g06430	Autosome	8	80	640	MvSl-1064-A2-R4_MC05g06704	8	80	640	0	0	0	MvSl-1064-A1-R4_MC05-2g06430	MvSl-1064-A1-R4_MC05-1	Chr05	285041	285279	0.937505774280328
MvSl-1064-A1-R4_MC05-2g06432	Autosome	5	73.8	369	MvSl-1064-A2-R4_MC05g06706	5	73.8	369	0	0	0	MvSl-1064-A1-R4_MC05-2g06432	MvSl-1064-A1-R4_MC05-2	Chr05	285886	287358	1.98532349812941
MvSl-1064-A1-R4_MC05-3g06511	Autosome	4	84.5	338	MvSl-1064-A2-R4_MC05g06774	4	84.5	338	0	0	0	MvSl-1064-A1-R4_MC05-3g06511	MvSl-1064-A1-R4_MC05-3	Chr05	333416	334242	1.32277700633424
MvSl-1064-A1-R4_MC05-3g06514	Autosome	5	72	360	MvSl-1064-A2-R4_MC05g06777	5	72	360	0	0	0	MvSl-1064-A1-R4_MC05-3g06514	MvSl-1064-A1-R4_MC05-1	Chr05	336152	336708	1.11981521224292
MvSl-1064-A1-R4_MC05-3g06515	Autosome	5	259.6	1298	MvSl-1064-A2-R4_MC05g06778	5	259.6	1298	0	0	0	MvSl-1064-A1-R4_MC05-3g06515	MvSl-1064-A1-R4_MC05-1	Chr05	337264	338212	1.15710190864823
MvSl-1064-A1-R4_MC05-3g06516	Autosome	2	88.5	177	MvSl-1064-A2-R4_MC05g06779	2	88.5	177	0	0	0	MvSl-1064-A1-R4_MC05-3g06516	MvSl-1064-A1-R4_MC05-3	Chr05	339298	341280	0.75447327280513
MvSl-1064-A1-R4_MC05-3g06517	Autosome	4	90.25	361	MvSl-1064-A2-R4_MC05g06780	4	90.25	361	0	0	0	MvSl-1064-A1-R4_MC05-3g06517	MvSl-1064-A1-R4_MC05-1	Chr05	339369	346823	1.04132479426921
MvSl-1064-A1-R4_MC05-3g06518	Autosome	8	88	704	MvSl-1064-A2-R4_MC05g06781	8	88	704	0	0	0	MvSl-1064-A1-R4_MC05-3g06518	MvSl-1064-A1-R4_MC05-2	Chr05	342012	342758	1.07563613576318
MvSl-1064-A1-R4_MC05-3g06519	Autosome	5	171.2	856	MvSl-1064-A2-R4_MC05g06782	5	171.2	856	0	0	0	MvSl-1064-A1-R4_MC05-3g06519	MvSl-1064-A1-R4_MC05-3	Chr05	342167	343614	0.99468536781328
MvSl-1064-A1-R4_MC05-3g06707	Autosome	11	89.5455	985	MvSl-1064-A2-R4_MC05g06971	11	89.5455	985	0	0	0	MvSl-1064-A1-R4_MC05-3g06707	MvSl-1064-A1-R4_MC05-3	Chr05	623804	624999	1.0365632191192
MvSl-1064-A1-R4_MC06g06896	Autosome	5	104.2	521	MvSl-1064-A2-R4_MC06-1g07159	5	104.2	521	0	0	0	MvSl-1064-A1-R4_MC06g06896	MvSl-1064-A1-R4_MC06	Chr06	164622	167040	1.01442842786391
MvSl-1064-A1-R4_MC06g06944	Autosome	3	74	222	MvSl-1064-A2-R4_MC06-1g07207	3	74	222	0	0	0	MvSl-1064-A1-R4_MC06g06944	MvSl-1064-A1-R4_MC06	Chr06	283718	287261	1.9828512257197
MvSl-1064-A1-R4_MC06g06945	Autosome	6	69.8333	419	MvSl-1064-A2-R4_MC06-1g07208	6	69.8333	419	0	0	0	MvSl-1064-A1-R4_MC06g06945	MvSl-1064-A1-R4_MC06	Chr06	287765	289283	2.9508269319495
MvSl-1064-A1-R4_MC06g07033	Autosome	16	79.75	1276	MvSl-1064-A2-R4_C25g01886	16	79.75	1276	0	0	0	MvSl-1064-A1-R4_MC06g07033	MvSl-1064-A1-R4_MC01-2	Chr01	21439	22441	2.93518343902903
MvSl-1064-A1-R4_MC06g07136	Autosome	1	95	95	MvSl-1064-A2-R4_MC06-2g07401	1	95	95	0	0	0	MvSl-1064-A1-R4_MC06g07136	MvSl-1064-A1-R4_MC06	Chr06	800364	806063	1.42766996902994
MvSl-1064-A1-R4_MC06g07137	Autosome	7	78.8571	552	MvSl-1064-A2-R4_MC06-2g07402	7	78.8571	552	0	0	0	MvSl-1064-A1-R4_MC06g07137	MvSl-1064-A1-R4_MC06	Chr06	806773	806949	4.9614362376576
MvSl-1064-A1-R4_MC06g07298	Autosome	4	94	376	MvSl-1064-A2-R4_MC06-2g07563	4	94	376	0	0	0	MvSl-1064-A1-R4_MC06g07298	MvSl-1064-A1-R4_MC06	Chr06	1221202	1222069	0.789319846822894
MvSl-1064-A1-R4_MC06g07419	Autosome	5	80	400	MvSl-1064-A2-R4_MC06-2g07684	5	80	400	0	0	0	MvSl-1064-A1-R4_MC06g07419	MvSl-1064-A1-R4_MC06	Chr06	1508105	1508263	0.847864364958502
MvSl-1064-A1-R4_MC07g07855	Autosome	9	110.778	997	MvSl-1064-A2-R4_MC07g08120	9	110.778	997	0	0	0	MvSl-1064-A1-R4_MC07g07855	MvSl-1064-A1-R4_MC07	Chr07	803187	804691	0.843074327829665
MvSl-1064-A1-R4_MC07g07981	Autosome	3	51.6667	155	MvSl-1064-A2-R4_MC07g08246	3	51.6667	155	0	0	0	MvSl-1064-A1-R4_MC07g07981	MvSl-1064-A1-R4_MC07	Chr07	1123124	1123801	0.812984352373353
MvSl-1064-A1-R4_MC07g08057	Autosome	3	83.3333	250	MvSl-1064-A2-R4_MC07g08322	3	83.3333	250	0	0	0	MvSl-1064-A1-R4_MC07g08057	MvSl-1064-A1-R4_MC07	Chr07	1312446	1314003	1.07689215512294
MvSl-1064-A1-R4_MC07g08097	Autosome	2	123.5	247	MvSl-1064-A2-R4_MC07g08362	2	123.5	247	0	0	0	MvSl-1064-A1-R4_MC07g08097	MvSl-1064-A1-R4_MC07	Chr07	1410040	1412737	1.42269813421156
MvSl-1064-A1-R4_MC07g08104	Autosome	5	132.8	664	MvSl-1064-A2-R4_MC07g08369	5	132.8	664	0	0	0	MvSl-1064-A1-R4_MC07g08104	MvSl-1064-A1-R4_MC07	Chr07	1429990	1433590	0.8189352710305
MvSl-1064-A1-R4_MC07g08138	Autosome	8	84.5	676	MvSl-1064-A2-R4_MC07g08403	8	84.5	676	0	0	0	MvSl-1064-A1-R4_MC07g08138	MvSl-1064-A1-R4_MC07	Chr07	1502445	1503999	0.830411176071576
MvSl-1064-A1-R4_MC07g08235	Autosome	4	96.75	387	MvSl-1064-A2-R4_MC07g08500	4	96.75	387	0	0	0	MvSl-1064-A1-R4_MC07g08235	MvSl-1064-A1-R4_MC08	Chr08	21352	26574	5.63747020586569
MvSl-1064-A1-R4_MC08g08318	Autosome	6	87.5	525	MvSl-1064-A2-R4_MC08-1g08583	6	87.5	525	0	0	0	MvSl-1064-A1-R4_MC08g08318	MvSl-1064-A1-R4_MC08	Chr08	228358	231681	2.38626528606108
MvSl-1064-A1-R4_MC08g08647	Autosome	8	94.25	754	MvSl-1064-A2-R4_MC08-1g08912	8	94.25	754	0	0	0	MvSl-1064-A1-R4_MC08g08647	MvSl-1064-A1-R4_MC08	Chr08	1049752	1052546	2.58167902792748
MvSl-1064-A1-R4_MC08g08665	Autosome	2	178	356	MvSl-1064-A2-R4_MC08-1g08930	2	178	356	0	0	0	MvSl-1064-A1-R4_MC08g08665	MvSl-1064-A1-R4_MC08	Chr08	1093774	1094085	1.58105826808999
MvSl-1064-A1-R4_MC09-2g08945	Autosome	1	141	141	MvSl-1064-A2-R4_MC09g09220	1	141	141	0	0	0	MvSl-1064-A1-R4_MC09-2g08945	MvSl-1064-A1-R4_MC09-2	Chr09	122911	123324	1.9807532888904
MvSl-1064-A1-R4_MC09-2g09215	Autosome	6	165	990	MvSl-1064-A2-R4_MC09g09490	6	165	990	0	0	0	MvSl-1064-A1-R4_MC09-2g09215	MvSl-1064-A1-R4_MC09-2	Chr09	784918	785094	1.413346670887
MvSl-1064-A1-R4_MC09-2g09232	Autosome	2	135.5	271	MvSl-1064-A2-R4_MC09g09507	2	135.5	271	0	0	0	MvSl-1064-A1-R4_MC09-2g09232	MvSl-1064-A1-R4_MC09-2	Chr09	825754	830191	1.69231699448802
MvSl-1064-A1-R4_MC09-2g09340	Autosome	5	80.8	404	MvSl-1064-A2-R4_MC09g09614	5	80.8	404	0	0	0	MvSl-1064-A1-R4_MC09-2g09340	MvSl-1064-A1-R4_MC09-2	Chr09	1106688	1107914	0.703577393384905
MvSl-1064-A1-R4_MC10-1g09620	Autosome	2	139.5	279	MvSl-1064-A2-R4_MC10g09887	2	139.5	279	0	0	0	MvSl-1064-A1-R4_MC10-1g09620	MvSl-1064-A1-R4_MC10-2	Chr10	81247	81645	1.10804641603316
MvSl-1064-A1-R4_MC10-1g09718	Autosome	7	77.1429	540	MvSl-1064-A2-R4_MC10g09985	7	77.1429	540	0	0	0	MvSl-1064-A1-R4_MC10-1g09718	MvSl-1064-A1-R4_MC10-2	Chr10	210089	212095	0.784862468399961
MvSl-1064-A1-R4_MC10-1g09733	Autosome	1	239	239	MvSl-1064-A2-R4_MC10g10000	1	239	239	0	0	0	MvSl-1064-A1-R4_MC10-1g09733	MvSl-1064-A1-R4_MC10-1	Chr10	224612	227162	1.24401964833127
MvSl-1064-A1-R4_MC10-1g09734	Autosome	6	109.833	659	MvSl-1064-A2-R4_MC10g10001	6	109.833	659	0	0	0	MvSl-1064-A1-R4_MC10-1g09734	MvSl-1064-A1-R4_MC10-2	Chr10	226029	227197	1.01224409985496
