gid	chr	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	logFC.A1.A2	DE_status	A1_mean	A2_mean
MvSl-1064-A1-R4_A1g00106	faBlack	3	81	243	0	-9.3333	-28	-0.635472111	NON	0.926313	1.53174
MvSl-1064-A1-R4_A1g00107	faBlack	11	89	979	0	0	0	2.471248171	DE	1.97046	-0.355917
MvSl-1064-A1-R4_A1g00108	faBlack	1	0	0	0	0	0	0.321456545	NON	5.0987	4.79648
MvSl-1064-A1-R4_A1g00109	cGreen	2	71	142	0	0	0	0.203157286	NON	7.10288	6.90547
MvSl-1064-A1-R4_A1g00110	cGreen	2	200.5	401	0	0	0	-0.239746971	NON	8.08802	8.3292
MvSl-1064-A1-R4_A1g00112	cGreen	2	148	296	0	-23	-46	-1.252868453	DE	2.22216	3.51213
MvSl-1064-A1-R4_A1g00113	cGreen	2	84	168	0	0	0	0.078226036	NON	7.96071	7.89305
MvSl-1064-A1-R4_A1g00118	faBlack	2	66.5	133	0	10.5	21	-0.640841648	NON	3.94276	4.581
MvSl-1064-A1-R4_A1g00144	faBlack	3	121.333	364	0	7	21	0.362255569	NON	6.78608	6.43547
MvSl-1064-A1-R4_A1g00153	faBlack	9	72.3333	651	-1	-0.9667	-82	0.232458835	NON	7.96759	7.72594
MvSl-1064-A1-R4_A1g00154	faBlack	1	127	127	0	3	3	1.199907107	DE	5.37663	4.18211
MvSl-1064-A1-R4_A1g00155	faBlack	1	0	0	0	0	0	-0.424687393	NON	6.07553	6.50918
MvSl-1064-A1-R4_A1g00163	faBlack	1	56	56	0	0	0	2.306986183	DE	2.37989	0.167581
MvSl-1064-A1-R4_A1g00165	faBlack	6	82.8333	497	0	-2.5	-15	0.648642332	DE	7.88292	7.23642
MvSl-1064-A1-R4_A1g00175	gPurple	3	85.6667	257	-2	9.0667	-126	0.179277963	NON	7.22224	7.04445
MvSl-1064-A1-R4_A1g00184	gPurple	2	124.5	249	0	1	2	-0.151634745	NON	6.12355	6.26744
MvSl-1064-A1-R4_A1g00185	gPurple	13	82.2308	1069	0	-0.6923	-9	-0.391179053	NON	8.19607	8.58709
MvSl-1064-A1-R4_A1g00186	gPurple	4	124.25	497	0	0	0	-0.052625562	NON	7.46662	7.51608
MvSl-1064-A1-R4_A1g00193	faBlack	8	105.75	846	1	-8.679	45	0.702608647	NON	8.83716	8.13453
MvSl-1064-A1-R4_A1g00209	faBlack	3	204.667	614	2	143.667	553	1.275245122	DE	6.28399	5.01204
MvSl-1064-A1-R4_A1g00210	faBlack	4	105	420	0	-0.25	-1	0.094374743	NON	5.32552	5.22932
MvSl-1064-A1-R4_A1g00211	faBlack	8	76.5	612	0	0	0	-0.182895244	NON	8.93073	9.11142
MvSl-1064-A1-R4_A1g00215	faBlack	1	0	0	0	0	0	0.696380719	NON	3.50959	2.82416
MvSl-1064-A1-R4_A1g00241	faBlack	1	0	0	0	0	0	-0.662073361	DE	7.20617	7.86623
MvSl-1064-A1-R4_A1g00242	faBlack	4	84.25	337	0	-0.25	-1	-0.639026403	DE	5.27274	5.91129
MvSl-1064-A1-R4_A1g00245	faBlack	1	72	72	0	0	0	0.822763866	NON	4.8937	4.04443
MvSl-1064-A1-R4_A1g00246	faBlack	2	173	346	0	3	6	-0.870177676	DE	5.84973	6.71908
MvSl-1064-A1-R4_A1g00254	faBlack	3	73	219	0	0.3333	1	1.93412253	DE	5.43568	3.49938
MvSl-1064-A1-R4_A1g00270	faBlack	3	208	624	0	-1	-3	1.146581982	DE	5.98653	4.83005
MvSl-1064-A1-R4_A1g00280	faBlack	9	70	630	0	0	0	-0.225684153	NON	7.75692	7.9807
MvSl-1064-A1-R4_A1g00281	faBlack	9	77	693	1	7.875	140	-0.066072746	NON	6.37088	6.43088
MvSl-1064-A1-R4_A1g00290	faBlack	4	86.75	347	0	0.5	2	-0.171909394	NON	7.13811	7.30873
MvSl-1064-A1-R4_A1g00292	faBlack	8	90.125	721	0	0.125	1	0.909844551	DE	7.22122	6.31033
MvSl-1064-A1-R4_A1g00307	faBlack	1	80	80	0	26	26	0.482989826	NON	6.77776	6.29506
MvSl-1064-A1-R4_A1g00311	faBlack	9	86.1111	775	0	0.7778	7	-0.024241788	NON	8.27128	8.29385
MvSl-1064-A1-R4_A1g00312	faBlack	1	118	118	0	-2	-2	3.506293707	DE	9.31927	5.83482
MvSl-1064-A1-R4_A1g00326	faBlack	1	0	0	0	0	0	-12.52043259	DE	-3.35702	5.16158
MvSl-1064-A1-R4_A1g00327	faBlack	4	91.75	367	0	6	24	0.092850987	NON	4.2327	4.14009
MvSl-1064-A1-R4_A1g00351	faBlack	9	70.8889	638	0	-4.2222	-38	-0.242191733	NON	8.4489	8.69108
MvSl-1064-A1-R4_A1g00352	faBlack	2	60	120	0	-16	-32	-0.189240511	NON	5.49701	5.68192
MvSl-1064-A1-R4_A1g00359	faBlack	8	125.375	1003	0	0.125	1	0.268073831	NON	8.74363	8.45702
MvSl-1064-A1-R4_A1g00367	dRed	4	75.25	301	0	0	0	0.55317147	NON	4.2295	3.68002
MvSl-1064-A1-R4_A1g00368	dRed	3	85.6667	257	0	-0.3333	-1	0.047631159	NON	6.21284	6.16182
MvSl-1064-A1-R4_A1g00369	dRed	5	75.8	379	0	0	0	0.088019809	NON	7.09591	7.01138
MvSl-1064-A1-R4_A1g00370	dRed	5	64.8	324	0	0	0	0.071834435	NON	7.02343	6.95182
MvSl-1064-A1-R4_A1g00371	dRed	6	91.3333	548	0	2.6666	16	0.323685138	NON	7.45264	7.12957
MvSl-1064-A1-R4_A1g00372	dRed	5	79	395	0	0	0	-0.153090469	NON	7.34725	7.50092
MvSl-1064-A1-R4_A1g00373	dRed	3	100	300	0	0	0	-0.309993049	NON	5.45468	5.77905
MvSl-1064-A1-R4_A1g00374	dRed	4	71.5	286	0	0	0	-0.126027095	NON	7.67469	7.81448
MvSl-1064-A1-R4_A1g00375	dRed	1	75	75	0	0	0	0.630356769	NON	4.57409	3.93243
MvSl-1064-A1-R4_A1g00379	dRed	1	0	0	0	0	0	1.171757232	NON	0.835894	-0.232921
MvSl-1064-A1-R4_A1g00380	dRed	2	210.5	421	0	0	0	0.520490676	NON	6.59571	6.07542
MvSl-1064-A1-R4_A1g00390	dRed	1	280	280	0	-3	-3	0.02557557	NON	5.09269	5.06919
MvSl-1064-A1-R4_A1g00391	dRed	6	102.5	615	1	-2.3	91	-0.025817744	NON	6.97601	7.0025
MvSl-1064-A1-R4_A1g00394	dRed	3	108.333	325	0	0	0	0.026695248	NON	6.28567	6.26911
MvSl-1064-A1-R4_A1g00395	dRed	9	73.2222	659	0	0	0	0.272243153	NON	8.31047	8.0394
MvSl-1064-A1-R4_A1g00396	dRed	5	83.6	418	0	0	0	0.170097067	NON	7.64196	7.47297
MvSl-1064-A1-R4_A1g00397	dRed	3	121	363	0	0.333	1	0.122156205	NON	9.20386	9.09226
MvSl-1064-A1-R4_A1g00398	dRed	4	183.75	735	0	0	0	0.150737593	NON	8.12088	7.969
MvSl-1064-A1-R4_A1g00399	dRed	2	74.5	149	0	0	0	-0.035908126	NON	7.90739	7.93652
MvSl-1064-A1-R4_A1g00400	dRed	7	91.2857	639	0	0.4286	3	1.072020036	DE	5.20188	4.09926
MvSl-1064-A1-R4_A1g00401	dRed	4	93.5	374	0	0	0	0.358466712	NON	7.46416	7.11203
MvSl-1064-A1-R4_A1g00402	dRed	3	82.3333	247	-1	2.5833	-72	0.029052116	NON	7.88788	7.85882
MvSl-1064-A1-R4_A1g00403	dRed	7	66.7143	467	0	0	0	0.477123411	NON	6.94312	6.46711
MvSl-1064-A1-R4_A1g00404	dRed	5	70.4	352	0	0	0	-0.312501154	NON	3.25203	3.56132
MvSl-1064-A1-R4_A1g00405	dRed	5	80.2	401	0	0	0	0.555792081	NON	4.91736	4.39709
MvSl-1064-A1-R4_A1g00406	dRed	1	83	83	0	0	0	-0.245088081	NON	5.4273	5.67762
MvSl-1064-A1-R4_A1g00432	faBlack	3	111.667	335	0	7	21	0.147701251	NON	7.04245	6.89158
MvSl-1064-A1-R4_A1g00433	faBlack	3	74.3333	223	0	0	0	0.348274381	NON	5.48775	5.13976
MvSl-1064-A1-R4_A1g00441	gPurple	7	118	826	0	0.143	1	0.104254767	NON	5.36297	5.28764
MvSl-1064-A1-R4_A1g00478	fBlue	3	85	255	-2	2	-160	0.123482527	NON	7.12428	6.99809
MvSl-1064-A1-R4_A1g00481	faBlack	2	49.5	99	0	-16	-32	-0.001846554	NON	3.14207	3.14775
MvSl-1064-A1-R4_A1g00492	faBlack	1	52	52	0	52	52	0.443340488	NON	4.59952	4.06463
MvSl-1064-A1-R4_A1g00495	fBlue	2	144.5	289	0	66	132	2.067703556	DE	7.62627	5.56242
MvSl-1064-A1-R4_A1g00503	faBlack	8	78.625	629	0	0	0	-0.31062679	NON	6.40021	6.71817
MvSl-1064-A1-R4_A1g00504	faBlack	4	76.5	306	0	0	0	0.045809758	NON	3.63611	3.59215
MvSl-1064-A1-R4_A1g00505	faBlack	8	114.625	917	-2	9.025	-139	0.172207716	NON	6.32966	6.16998
MvSl-1064-A1-R4_A1g00506	faBlack	8	80	640	0	0	0	0.018095169	NON	4.94461	4.92562
MvSl-1064-A1-R4_A1g00507	faBlack	13	96.3846	1253	0	-0.2308	-3	0.00574296	NON	5.87003	5.88043
MvSl-1064-A1-R4_A1g00510	faBlack	1	0	0	0	0	0	0.001327671	NON	5.78679	5.78432
MvSl-1064-A1-R4_A1g00511	faBlack	7	75.8571	531	0	0	0	0.101736763	NON	6.84203	6.74019
MvSl-1064-A1-R4_A1g00512	faBlack	7	105.429	738	0	0.429	3	-0.035270485	NON	5.06025	5.09498
MvSl-1064-A1-R4_A1g00513	faBlack	9	71.3333	642	0	0	0	0.052249887	NON	5.75686	5.70457
MvSl-1064-A1-R4_A1g00514	faBlack	2	82	164	0	0	0	0.109706751	NON	8.17824	8.0773
MvSl-1064-A1-R4_A1g00515	faBlack	3	69.6667	209	0	0	0	0.65435269	NON	5.49204	4.84497
MvSl-1064-A1-R4_A1g00516	faBlack	6	131.5	789	1	-4.5	109	0.995708515	DE	9.00577	8.02046
MvSl-1064-A1-R4_A1g00517	faBlack	2	216	432	0	-5	-10	-0.533503452	NON	8.62919	9.15788
MvSl-1064-A1-R4_A1g00518	faBlack	6	94.1667	565	0	0	0	0.322480627	NON	6.47379	6.1586
MvSl-1064-A1-R4_A1g00519	faBlack	1	71	71	0	0	0	0.329453209	NON	7.3177	6.98667
MvSl-1064-A1-R4_A1g00520	faBlack	2	72	144	0	0	0	0.210251201	NON	5.6604	5.45215
MvSl-1064-A1-R4_A1g00521	faBlack	3	106.667	320	0	-0.333	-1	0.294232959	NON	6.11793	5.84787
MvSl-1064-A1-R4_A1g00522	faBlack	6	84.6667	508	0	2	12	4.658089516	DE	2.27398	-2.03205
MvSl-1064-A1-R4_A1g00525	faBlack	3	105.333	316	0	0	0	0.428603192	NON	7.49626	7.06795
MvSl-1064-A1-R4_A1g00527	faBlack	2	88.5	177	1	-18.5	70	0.581882017	NON	5.07576	4.483
MvSl-1064-A1-R4_A1g00528	faBlack	2	85	170	0	0	0	-0.174837032	NON	2.67387	2.86024
MvSl-1064-A1-R4_A1g00529	faBlack	1	0	0	0	0	0	0.383201312	NON	3.46142	3.0746
MvSl-1064-A1-R4_A1g00530	faBlack	7	81.7143	572	0	0	0	0.006866399	NON	6.85964	6.8521
MvSl-1064-A1-R4_A1g00532	faBlack	1	74	74	0	0	0	0.189104916	NON	5.16366	4.97404
MvSl-1064-A1-R4_A1g00533	faBlack	4	107.25	429	-2	-53.417	-535	-0.3416455	NON	6.06063	6.40241
MvSl-1064-A1-R4_A1g00534	faBlack	9	110	990	0	0	0	0.347983004	NON	7.75529	7.40558
MvSl-1064-A1-R4_A1g00541	faBlack	3	71.3333	214	0	-1.3334	-4	0.128964275	NON	6.28255	6.18482
MvSl-1064-A1-R4_A1g00542	faBlack	4	79.5	318	0	0	0	-0.323479209	NON	5.03925	5.36292
MvSl-1064-A1-R4_A1g00543	faBlack	9	97.2222	875	0	0	0	-0.052555432	NON	7.02619	7.09211
MvSl-1064-A1-R4_A1g00544	faBlack	2	153.5	307	-1	-28.167	-238	-0.086776727	NON	5.63937	5.72885
MvSl-1064-A1-R4_A1g00575	faBlack	7	116.286	814	0	-1.428	-10	0.421916294	NON	7.63479	7.20901
MvSl-1064-A1-R4_A1g00576	faBlack	1	0	0	0	0	0	0.180959978	NON	4.00066	3.82585
MvSl-1064-A1-R4_A1g00593	fBlue	6	90.1667	541	0	0.5	3	-0.033157431	NON	8.0334	8.06863
MvSl-1064-A1-R4_A1g00594	faBlack	3	102.333	307	-1	29.333	15	1.188992125	DE	5.93226	4.72438
MvSl-1064-A1-R4_A1g00624	gPurple	7	107.286	751	0	8.286	58	0.808088472	DE	7.88098	7.07619
MvSl-1064-A1-R4_A1g00635	faBlack	10	66.5	665	2	-21	-35	3.597650441	DE	4.67781	1.05148
MvSl-1064-A1-R4_A1g00641	faBlack	1	128	128	0	-1	-1	2.24131479	DE	3.92387	1.73517
MvSl-1064-A1-R4_A1g00644	faBlack	1	156	156	0	111	111	1.320733705	DE	5.55818	4.23911
MvSl-1064-A1-R4_A1g00645	faBlack	5	89.4	447	0	0	0	0.002624131	NON	6.09457	6.10112
MvSl-1064-A1-R4_A1g00646	faBlack	2	86	172	0	0	0	1.509647233	DE	8.56593	7.07022
MvSl-1064-A1-R4_A1g00648	faBlack	3	109.667	329	0	0	0	-0.64351508	DE	6.10116	6.7441
MvSl-1064-A1-R4_A1g00668	eOrange	7	131	917	1	4.833	160	5.495973042	DE	7.30375	1.81606
MvSl-1064-A1-R4_A1g00669	eOrange	2	101	202	0	18	36	0.154053322	NON	6.01191	5.85735
MvSl-1064-A1-R4_A1g00693	faBlack	5	98.6	493	0	0	0	0.01252285	NON	7.24269	7.22961
MvSl-1064-A1-R4_A1g00694	faBlack	4	76.5	306	0	-0.25	-1	-0.19789549	NON	7.19115	7.38799
MvSl-1064-A1-R4_A1g00718	faBlack	2	71.5	143	0	0.5	1	-1.039972343	DE	4.61018	5.63724
MvSl-1064-A1-R4_A1g00726	faBlack	6	114.833	689	-1	3.833	-88	0.311615773	NON	7.64931	7.34549
MvSl-1064-A1-R4_A1g00732	faBlack	1	60	60	0	0	0	0.418964568	NON	6.55024	6.13372
MvSl-1064-A1-R4_A1g00749	faBlack	2	81.5	163	0	0	0	0.496680815	NON	7.67663	7.1475
MvSl-1064-A1-R4_A1g00750	faBlack	4	79.5	318	0	0	0	-0.012311706	NON	6.03858	6.05543
MvSl-1064-A1-R4_A1g00751	faBlack	10	72.7	727	0	0	0	0.330966011	NON	8.22365	7.89161
MvSl-1064-A1-R4_A1g00756	faBlack	1	0	0	0	0	0	0.00213009	NON	0.437223	0.420011
MvSl-1064-A1-R4_A1g00757	faBlack	2	99	198	1	50	149	0.227771882	NON	1.88795	1.76856
MvSl-1064-A1-R4_A1g00772	fBlue	3	82.6667	248	0	17	51	0.40820065	NON	4.27738	3.904
MvSl-1064-A1-R4_A1g00778	faBlack	7	76.8571	538	0	-0.2858	-2	-0.38590473	NON	4.58693	5.0061
MvSl-1064-A1-R4_A1g00779	faBlack	10	96	960	0	0.8	8	-0.654128401	NON	7.67674	8.33029
MvSl-1064-A1-R4_A1g00794	faBlack	4	87.25	349	0	-1.5	-6	-0.016901964	NON	5.23834	5.25244
MvSl-1064-A1-R4_A1g00800	faBlack	8	102.375	819	-1	6.2639	-46	0.846571444	DE	7.16995	6.33202
MvSl-1064-A1-R4_A1g00801	fBlue	2	76	152	0	0	0	0.03150145	NON	3.65382	3.63421
MvSl-1064-A1-R4_A1g00804	faBlack	1	0	0	0	0	0	-2.267327395	DE	0.327346	2.50446
MvSl-1064-A1-R4_A1g00832	faBlack	5	112.8	564	-1	20.8	12	-0.101008859	NON	7.36923	7.47033
MvSl-1064-A1-R4_A1g00835	faBlack	2	65.5	131	0	-3	-6	-4.211399549	DE	1.09865	5.2833
MvSl-1064-A1-R4_A1g00840	faBlack	2	75.5	151	1	-43.5	32	-0.270688657	NON	6.58748	6.85615
MvSl-1064-A1-R4_A1g00842	faBlack	6	114.333	686	1	13.333	181	0.358832298	NON	7.59865	7.22738
MvSl-1064-A1-R4_A1g00843	faBlack	2	129.5	259	-1	14.167	-87	0.646969295	NON	4.212	3.57834
MvSl-1064-A1-R4_A1g00845	faBlack	3	92.3333	277	-1	1.3333	-87	-0.038260324	NON	6.68877	6.72671
MvSl-1064-A1-R4_A1g00853	gPurple	6	114.833	689	1	-44.767	-109	1.602029695	DE	8.02149	6.42042
MvSl-1064-A1-R4_A1g00854	gPurple	8	97.125	777	-1	-2.0972	-116	-0.781634241	DE	7.50358	8.28684
MvSl-1064-A1-R4_A1g00869	faBlack	10	84.8	848	0	0.8	8	0.783136283	NON	9.56132	8.80913
MvSl-1064-A1-R4_A1g00886	faBlack	1	94	94	-1	-4	-102	-0.728654196	NON	4.27201	4.99736
MvSl-1064-A1-R4_A1g00911	faBlack	6	87.8333	527	0	-1.1667	-7	0.220741495	NON	6.6911	6.47066
MvSl-1064-A1-R4_A1g00912	faBlack	4	90.25	361	0	0	0	0.202295333	NON	5.54275	5.34074
MvSl-1064-A1-R4_A1g00920	faBlack	4	115.5	462	1	20.1667	176	0.945533516	DE	6.16843	5.22477
MvSl-1064-A1-R4_A1g00921	faBlack	7	96.5714	676	0	3.7143	26	-0.14131149	NON	7.34827	7.49137
MvSl-1064-A1-R4_A1g00922	faBlack	1	107	107	0	0	0	-0.258848306	NON	6.42017	6.67906
MvSl-1064-A1-R4_A1g00923	faBlack	1	0	0	0	0	0	-1.149396742	DE	3.10884	4.27209
MvSl-1064-A1-R4_A1g00929	faBlack	2	69	138	0	0	0	-2.777924797	DE	-1.63218	0.944117
MvSl-1064-A1-R4_A1g00956	faBlack	1	83	83	0	-9	-9	-1.568578928	DE	5.00345	6.58052
MvSl-1064-A1-R4_A1g00957	faBlack	2	105.5	211	0	0.5	1	-0.331606852	NON	4.90728	5.23305
MvSl-1064-A1-R4_A1g00958	faBlack	4	73.25	293	0	0.25	1	0.55996284	NON	7.09191	6.5318
MvSl-1064-A1-R4_A1g00959	faBlack	1	79	79	0	-71	-71	-1.929359364	DE	3.71321	5.63199
MvSl-1064-A1-R4_A1g00960	faBlack	4	67.5	270	0	-8.25	-33	0.016497306	NON	7.7993	7.77617
MvSl-1064-A1-R4_A1g00968	faBlack	4	89.5	358	0	24	96	0.075082805	NON	6.17246	6.10512
MvSl-1064-A1-R4_A1g00969	faBlack	1	0	0	0	0	0	-0.807823086	NON	1.73944	2.52709
MvSl-1064-A1-R4_A1g00970	faBlack	3	71.3333	214	0	0	0	-0.873348638	DE	6.27788	7.1604
MvSl-1064-A1-R4_A1g00971	faBlack	1	118	118	0	0	0	0.545396327	NON	5.85832	5.33059
MvSl-1064-A1-R4_A1g00972	faBlack	3	81.3333	244	0	0	0	1.761422743	DE	6.78475	5.04357
MvSl-1064-A1-R4_A1g00977	faBlack	4	79	316	0	-64.25	-257	0.509087203	NON	3.9466	3.46719
MvSl-1064-A1-R4_A1g00997	fBlue	4	92.25	369	0	3	12	2.954530306	DE	6.89267	3.94168
MvSl-1064-A1-R4_A1g00998	fBlue	3	109.667	329	0	0	0	-0.36983637	NON	4.44409	4.80724
MvSl-1064-A1-R4_A1g01017	gPurple	17	99.3529	1689	0	2.7058	46	0.258676241	NON	8.34288	8.089
MvSl-1064-A1-R4_A1g01127	faBlack	2	106.5	213	1	106.5	213	-0.896398974	NON	0.740091	1.61997
MvSl-1064-A1-R4_A1g01129	faBlack	1	126	126	-1	32	-62	0.37050565	NON	7.16336	6.79304
